id,name,shirtNumber,positionId,link
161056,Joshua Kimmich,6,3,/joshua-kimmich/profil/spieler/161056
153084,Leon Goretzka,8,3,/leon-goretzka/profil/spieler/153084
159471,Serge Gnabry,7,4,/serge-gnabry/profil/spieler/159471
424204,Alphonso Davies,19,2,/alphonso-davies/profil/spieler/424204
38253,Robert Lewandowski,9,4,/robert-lewandowski/profil/spieler/38253
192565,Leroy Sané,10,4,/leroy-sane/profil/spieler/192565
344695,Dayot Upamecano,2,2,/dayot-upamecano/profil/spieler/344695
243714,Kingsley Coman,11,4,/kingsley-coman/profil/spieler/243714
580195,Jamal Musiala,42,3,/jamal-musiala/profil/spieler/580195
281963,Lucas Hernández,21,2,/lucas-hernandez/profil/spieler/281963
612826,Silas Katompa Mvumpa,14,3,/silas-katompa-mvumpa/profil/spieler/612826
289592,Orel Mangala,23,3,/orel-mangala/profil/spieler/289592
369567,Sasa Kalajdzic,9,4,/sasa-kalajdzic/profil/spieler/369567
293194,Borna Sosa,24,2,/borna-sosa/profil/spieler/293194
146310,Wataru Endo,3,3,/wataru-endo/profil/spieler/146310
193004,Waldemar Anton,2,2,/waldemar-anton/profil/spieler/193004
160938,Marc Oliver Kempf,4,2,/marc-oliver-kempf/profil/spieler/160938
284769,Florian Müller,1,1,/florian-muller/profil/spieler/284769
415912,Konstantinos Mavropanos,5,2,/konstantinos-mavropanos/profil/spieler/415912
166601,Niklas Süle,4,2,/niklas-sule/profil/spieler/166601
353366,Benjamin Pavard,5,2,/benjamin-pavard/profil/spieler/353366
106987,Marcel Sabitzer,18,3,/marcel-sabitzer/profil/spieler/106987
58358,Thomas Müller,25,4,/thomas-muller/profil/spieler/58358
17259,Manuel Neuer,1,1,/manuel-neuer/profil/spieler/17259
190393,Corentin Tolisso,24,3,/corentin-tolisso/profil/spieler/190393
538996,Tanguy Nianzou,23,2,/tanguy-nianzou/profil/spieler/538996
336869,Marc Roca,22,3,/marc-roca/profil/spieler/336869
344600,Michaël Cuisance,17,3,/michael-cuisance/profil/spieler/344600
424881,Omar Richards,3,2,/omar-richards/profil/spieler/424881
540302,Mateo Klimowicz,31,3,/mateo-klimowicz/profil/spieler/540302
618425,Tanguy Coulibaly,7,4,/tanguy-coulibaly/profil/spieler/618425
610431,Wahid Faghir,19,4,/wahid-faghir/profil/spieler/610431
445939,Omar Marmoush,17,4,/omar-marmoush/profil/spieler/445939
179635,Philipp Förster,20,3,/philipp-forster/profil/spieler/179635
431561,Roberto Massimo,30,3,/roberto-massimo/profil/spieler/431561
272278,Chris Führich,22,4,/chris-fuhrich/profil/spieler/272278
195246,Pascal Stenzel,15,2,/pascal-stenzel/profil/spieler/195246
232320,Atakan Karazor,16,3,/atakan-karazor/profil/spieler/232320
569366,Enzo Millot,8,3,/enzo-millot/profil/spieler/569366
45660,Eric Maxim Choupo-Moting,13,4,/eric-maxim-choupo-moting/profil/spieler/45660
483046,Josip Stanisic,44,2,/josip-stanisic/profil/spieler/483046
190685,Bouna Sarr,20,2,/bouna-sarr/profil/spieler/190685
467437,Malik Tillman,40,4,/malik-tillman/profil/spieler/467437
40680,Sven Ulreich,26,1,/sven-ulreich/profil/spieler/40680
336307,Christian Früchtl,36,1,/christian-fruchtl/profil/spieler/336307
57995,Daniel Didavi,10,3,/daniel-didavi/profil/spieler/57995
156779,Erik Thommy,11,3,/erik-thommy/profil/spieler/156779
