id,name,shirtNumber,positionId,position,club,link
566723,Michael Olise,17,4,Forward,Bayern Munich,/michael-olise/profil/spieler/566723
580195,Jamal Musiala,10,3,Midfield,Bayern Munich,/jamal-musiala/profil/spieler/580195
792380,Aleksandar Pavlovic,45,3,Midfield,Bayern Munich,/aleksandar-pavlovic/profil/spieler/792380
344695,Dayot Upamecano,2,2,Defender,Bayern Munich,/dayot-upamecano/profil/spieler/344695
480692,Luis Díaz,14,4,Forward,Bayern Munich,/luis-diaz/profil/spieler/480692
1075147,Lennart Karl,42,3,Midfield,Bayern Munich,/lennart-karl/profil/spieler/1075147
132098,Harry Kane,9,4,Forward,Bayern Munich,/harry-kane/profil/spieler/132098
702869,Ismael Saibari,34,3,Midfield,Bayern Munich,/ismael-saibari/profil/spieler/702869
691892,Nathaniel Brown,11,2,Defender,Bayern Munich,/nathaniel-brown/profil/spieler/691892
822959,Tom Bischof,8,3,Midfield,Bayern Munich,/tom-bischof/profil/spieler/822959
424204,Alphonso Davies,19,2,Defender,Bayern Munich,/alphonso-davies/profil/spieler/424204
483046,Josip Stanisic,44,2,Defender,Bayern Munich,/josip-stanisic/profil/spieler/483046
161056,Joshua Kimmich,6,3,Midfield,Bayern Munich,/joshua-kimmich/profil/spieler/161056
223967,Konrad Laimer,27,2,Defender,Bayern Munich,/konrad-laimer/profil/spieler/223967
196357,Jonathan Tah,4,2,Defender,Bayern Munich,/jonathan-tah/profil/spieler/196357
503482,Min-jae Kim,3,2,Defender,Bayern Munich,/min-jae-kim/profil/spieler/503482
159471,Serge Gnabry,7,4,Forward,Bayern Munich,/serge-gnabry/profil/spieler/159471
607720,Jonas Urbig,40,1,Goalkeeper,Bayern Munich,/jonas-urbig/profil/spieler/607720
353892,Hiroki Ito,21,2,Defender,Bayern Munich,/hiroki-ito/profil/spieler/353892
475413,Sacha Boey,23,2,Defender,Bayern Munich,/sacha-boey/profil/spieler/475413
744728,Arijon Ibrahimovic,22,4,Forward,Bayern Munich,/arijon-ibrahimovic/profil/spieler/744728
17259,Manuel Neuer,1,1,Goalkeeper,Bayern Munich,/manuel-neuer/profil/spieler/17259
1497653,Bara Sapoko Ndiaye,39,3,Midfield,Bayern Munich,/bara-sapoko-ndiaye/profil/spieler/1497653
1118495,David Santos Daiber,47,3,Midfield,Bayern Munich,/david-santos-daiber/profil/spieler/1118495
40680,Sven Ulreich,26,1,Goalkeeper,Bayern Munich,/sven-ulreich/profil/spieler/40680
668606,Yuito Suzuki,14,4,Forward,SC Freiburg,/yuito-suzuki/profil/spieler/668606
605268,Igor Matanovic,31,4,Forward,SC Freiburg,/igor-matanovic/profil/spieler/605268
863759,Bruno Ogbus,43,2,Defender,SC Freiburg,/bruno-ogbus/profil/spieler/863759
620295,Mio Backhaus,1,1,Goalkeeper,SC Freiburg,/mio-backhaus/profil/spieler/620295
335993,Philipp Treu,29,2,Defender,SC Freiburg,/philipp-treu/profil/spieler/335993
443331,Patrick Osterhage,6,3,Midfield,SC Freiburg,/patrick-osterhage/profil/spieler/443331
916623,Keisuke Goto,42,4,Forward,SC Freiburg,/keisuke-goto/profil/spieler/916623
190284,Maximilian Eggestein,8,3,Midfield,SC Freiburg,/maximilian-eggestein/profil/spieler/190284
225657,Philipp Lienhart,3,2,Defender,SC Freiburg,/philipp-lienhart/profil/spieler/225657
342967,Niklas Beste,19,4,Forward,SC Freiburg,/niklas-beste/profil/spieler/342967
1145064,Cyriaque Irié,22,4,Forward,SC Freiburg,/cyriaque-irie/profil/spieler/1145064
820957,Derry Scherhant,7,4,Forward,SC Freiburg,/derry-scherhant/profil/spieler/820957
907087,Berkay Yılmaz,27,2,Defender,SC Freiburg,/berkay-yilmaz/profil/spieler/907087
405670,Yannik Engelhardt,16,3,Midfield,SC Freiburg,/yannik-engelhardt/profil/spieler/405670
432403,Rihito Yamamoto,20,3,Midfield,SC Freiburg,/rihito-yamamoto/profil/spieler/432403
599419,Max Rosenfelder,37,2,Defender,SC Freiburg,/max-rosenfelder/profil/spieler/599419
815078,Jordy Makengo,33,2,Defender,SC Freiburg,/jordy-makengo/profil/spieler/815078
124502,Matthias Ginter,28,2,Defender,SC Freiburg,/matthias-ginter/profil/spieler/124502
185077,Vincenzo Grifo,32,4,Forward,SC Freiburg,/vincenzo-grifo/profil/spieler/185077
248999,Lucas Höler,9,4,Forward,SC Freiburg,/lucas-holer/profil/spieler/248999
93707,Christian Günter,30,2,Defender,SC Freiburg,/christian-gunter/profil/spieler/93707
337036,Florent Muslija,23,4,Forward,SC Freiburg,/florent-muslija/profil/spieler/337036
93604,Lukas Kübler,17,2,Defender,SC Freiburg,/lukas-kubler/profil/spieler/93604
284769,Florian Müller,21,1,Goalkeeper,SC Freiburg,/florian-muller/profil/spieler/284769
58995,Anthony Jung,5,2,Defender,SC Freiburg,/anthony-jung/profil/spieler/58995
160954,Jannik Huth,24,1,Goalkeeper,SC Freiburg,/jannik-huth/profil/spieler/160954
1159439,Rouven Tarnutzer,39,3,Midfield,SC Freiburg,/rouven-tarnutzer/profil/spieler/1159439
618472,Castello Lukeba,23,2,Defender,RB Leipzig,/castello-lukeba/profil/spieler/618472
324278,Christoph Baumgartner,14,3,Midfield,RB Leipzig,/christoph-baumgartner/profil/spieler/324278
894914,Antonio Nusa,7,4,Forward,RB Leipzig,/antonio-nusa/profil/spieler/894914
957874,Rômulo,40,4,Forward,RB Leipzig,/romulo/profil/spieler/957874
897424,Assan Ouédraogo,8,3,Midfield,RB Leipzig,/assan-ouedraogo/profil/spieler/897424
842341,Maxime Estève,3,2,Defender,RB Leipzig,/maxime-esteve/profil/spieler/842341
700106,Brajan Gruda,10,3,Midfield,RB Leipzig,/brajan-gruda/profil/spieler/700106
318204,David Raum,22,2,Defender,RB Leipzig,/david-raum/profil/spieler/318204
344381,Christopher Nkunku,28,4,Forward,RB Leipzig,/christopher-nkunku/profil/spieler/344381
404950,Nicolas Seiwald,13,3,Midfield,RB Leipzig,/nicolas-seiwald/profil/spieler/404950
565424,Johan Bakayoko,11,4,Forward,RB Leipzig,/johan-bakayoko/profil/spieler/565424
926694,Arthur Vermeeren,48,3,Midfield,RB Leipzig,/arthur-vermeeren/profil/spieler/926694
467434,Rocco Reitz,20,3,Midfield,RB Leipzig,/rocco-reitz/profil/spieler/467434
787912,El Chadaille Bitshiabu,5,2,Defender,RB Leipzig,/el-chadaille-bitshiabu/profil/spieler/787912
807386,Conrad Harder,9,4,Forward,RB Leipzig,/conrad-harder/profil/spieler/807386
865682,Ezechiel Banzuzi,6,3,Midfield,RB Leipzig,/ezechiel-banzuzi/profil/spieler/865682
486046,Maarten Vandevoordt,26,1,Goalkeeper,RB Leipzig,/maarten-vandevoordt/profil/spieler/486046
1130445,Abdoul Koné,2,2,Defender,RB Leipzig,/abdoul-kone/profil/spieler/1130445
327251,Ridle Baku,17,2,Defender,RB Leipzig,/ridle-baku/profil/spieler/327251
952779,Andrija Maksimovic,30,3,Midfield,RB Leipzig,/andrija-maksimovic/profil/spieler/952779
202591,Benjamin Henrichs,39,2,Defender,RB Leipzig,/benjamin-henrichs/profil/spieler/202591
93740,Willi Orbán,4,2,Defender,RB Leipzig,/willi-orban/profil/spieler/93740
955448,Tidiam Gomis,27,4,Forward,RB Leipzig,/tidiam-gomis/profil/spieler/955448
1235583,Suleman Sani,18,4,Forward,RB Leipzig,/suleman-sani/profil/spieler/1235583
810649,Max Finkgräfe,35,2,Defender,RB Leipzig,/max-finkgrafe/profil/spieler/810649
215599,Lukas Klostermann,16,2,Defender,RB Leipzig,/lukas-klostermann/profil/spieler/215599
763948,Ayodele Thomas,21,4,Forward,RB Leipzig,/ayodele-thomas/profil/spieler/763948
