player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Robert Lewandowski,#9,Centre-Forward,FC Bayern ,Bundesliga,7,7,1,-,-,-,,,577'
Joshua Kimmich,#6,Defensive Midfield,FC Bayern ,Bundesliga,7,3,4,-,-,-,,,612'
Dayot Upamecano,#2,Centre-Back,FC Bayern ,Bundesliga,6,-,-,1,-,-,,,495'
Leroy Sané,#10,Left Winger,FC Bayern ,Bundesliga,7,2,3,1,-,-,,,443'
Alphonso Davies,#19,Left-Back,FC Bayern ,Bundesliga,7,-,3,1,-,-,,,583'
Serge Gnabry,#7,Right Winger,FC Bayern ,Bundesliga,7,3,-,-,-,-,,,437'
Kingsley Coman,#11,Left Winger,FC Bayern ,Bundesliga,2,-,-,-,-,-,,,38'
Leon Goretzka,#8,Central Midfield,FC Bayern ,Bundesliga,7,1,1,-,-,-,,,572'
Jamal Musiala,#42,Attacking Midfield,FC Bayern ,Bundesliga,6,2,2,-,-,-,,,188'
Silas Katompa Mvumpa,#14,Right Midfield,VfB Stuttgart,,,,,,,,,,
Orel Mangala,#23,Defensive Midfield,VfB Stuttgart,Bundesliga,4,1,-,1,-,-,,,241'
Sasa Kalajdzic,#9,Centre-Forward,VfB Stuttgart,Bundesliga,1,-,-,-,-,-,,,17'
Lucas Hernández,#21,Centre-Back,FC Bayern ,Bundesliga,4,-,-,-,-,-,,,360'
Borna Sosa,#24,Left-Back,VfB Stuttgart,Bundesliga,7,-,3,1,-,-,,,610'
Wataru Endo,#3,Defensive Midfield,VfB Stuttgart,Bundesliga,7,1,1,1,-,-,,,630'
Waldemar Anton,#2,Centre-Back,VfB Stuttgart,Bundesliga,6,-,-,1,-,1,,,532'
Marc Oliver Kempf,#4,Centre-Back,VfB Stuttgart,Bundesliga,7,3,-,1,-,-,,,535'
Konstantinos Mavropanos,#5,Centre-Back,VfB Stuttgart,Bundesliga,7,2,1,1,-,-,,,590'
Niklas Süle,#4,Centre-Back,FC Bayern ,Bundesliga,7,-,-,1,-,-,,,536'
Florian Müller,#1,Goalkeeper,VfB Stuttgart,Bundesliga,7,-,,-,-,-,13,1,630'
Marcel Sabitzer,#18,Central Midfield,FC Bayern ,Bundesliga,6,-,-,1,-,-,,,151'
Thomas Müller,#25,Second Striker,FC Bayern ,Bundesliga,7,2,4,-,-,-,,,584'
Manuel Neuer,#1,Goalkeeper,FC Bayern ,Bundesliga,7,-,,-,-,-,7,2,630'
Tanguy Nianzou,#23,Centre-Back,FC Bayern ,Bundesliga,3,-,1,-,-,-,,,107'
Marc Roca,#22,Defensive Midfield,FC Bayern ,Bundesliga,-,-,-,-,-,-,,,-
Michaël Cuisance,#17,Central Midfield,FC Bayern ,DFB-Pokal,1,1,1,-,-,-,,,44'
Omar Richards,#3,Left-Back,FC Bayern ,Bundesliga,1,-,-,-,-,-,,,44'
Benjamin Pavard,#5,Right-Back,FC Bayern ,Bundesliga,2,-,-,-,-,1,,,123'
Mateo Klimowicz,#31,Attacking Midfield,VfB Stuttgart,Bundesliga,7,-,1,2,-,-,,,368'
Corentin Tolisso,#24,Central Midfield,FC Bayern ,Bundesliga,1,-,-,-,-,-,,,24'
Wahid Faghir,#19,Centre-Forward,VfB Stuttgart,Superligaen,7,2,-,2,-,-,,,630'
