player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
566723,Michael Olise,#17,Forward,Bayern Munich,Bundesliga,1,1,-,-,-,-,,,90'
580195,Jamal Musiala,#10,Midfield,Bayern Munich,Bundesliga,,,,,,,,,
792380,Aleksandar Pavlovic,#45,Midfield,Bayern Munich,Bundesliga,1,1,-,-,-,-,,,84'
344695,Dayot Upamecano,#2,Defender,Bayern Munich,Bundesliga,1,1,-,-,-,-,,,90'
480692,Luis Díaz,#14,Forward,Bayern Munich,Bundesliga,1,1,-,-,-,-,,,90'
1075147,Lennart Karl,#42,Midfield,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,6'
132098,Harry Kane,#9,Forward,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,84'
702869,Ismael Saibari,#34,Midfield,Bayern Munich,Bundesliga,1,-,2,-,-,-,,,29'
691892,Nathaniel Brown,#11,Defender,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,61'
822959,Tom Bischof,#8,Midfield,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,6'
424204,Alphonso Davies,#19,Defender,Bayern Munich,Bundesliga,1,-,1,-,-,-,,,74'
483046,Josip Stanisic,#44,Defender,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,16'
161056,Joshua Kimmich,#6,Midfield,Bayern Munich,Bundesliga,1,-,2,-,-,-,,,90'
223967,Konrad Laimer,#27,Defender,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,90'
196357,Jonathan Tah,#4,Defender,Bayern Munich,Bundesliga,1,-,-,-,-,-,,,6'
503482,Min-jae Kim,#3,Defender,Bayern Munich,Bundesliga,1,-,-,1,-,-,,,84'
159471,Serge Gnabry,#7,Forward,Bayern Munich,Bundesliga,,,,,,,,,
607720,Jonas Urbig,#40,Goalkeeper,Bayern Munich,Bundesliga,,,,,,,,,
353892,Hiroki Ito,#21,Defender,Bayern Munich,Bundesliga,,,,,,,,,
475413,Sacha Boey,#23,Defender,Bayern Munich,Bundesliga,,,,,,,,,
744728,Arijon Ibrahimovic,#22,Forward,Bayern Munich,Bundesliga,,,,,,,,,
17259,Manuel Neuer,#1,Goalkeeper,Bayern Munich,Bundesliga,1,-,,-,-,-,1,-,90'
1497653,Bara Sapoko Ndiaye,#39,Midfield,Bayern Munich,Bundesliga,,,,,,,,,
1118495,David Santos Daiber,#47,Midfield,Bayern Munich,Bundesliga,,,,,,,,,
40680,Sven Ulreich,#26,Goalkeeper,Bayern Munich,Bundesliga,,,,,,,,,
668606,Yuito Suzuki,#14,Forward,SC Freiburg,Bundesliga,1,3,-,-,-,-,,,80'
605268,Igor Matanovic,#31,Forward,SC Freiburg,Bundesliga,1,1,1,-,-,-,,,73'
