rank,club,played,wins,draws,losses,goals,diff,points
1,FC Bayern ,7,5,1,1,24:7,17,16
2,Bay. Leverkusen,7,5,1,1,20:7,13,16
3,Bor. Dortmund,7,5,0,2,19:13,6,15
4,SC Freiburg,7,4,3,0,11:5,6,15
5,VfL Wolfsburg,7,4,1,2,9:8,1,13
6,1. FC Köln,7,3,3,1,13:9,4,12
7,Union Berlin,7,3,3,1,10:9,1,12
8,RB Leipzig,7,3,1,3,15:7,8,10
9,1.FSV Mainz 05,7,3,1,3,7:5,2,10
10,Bor. M'gladbach,7,3,1,3,9:10,-1,10
11,TSG Hoffenheim,7,2,2,3,12:11,1,8
12,VfB Stuttgart,7,2,2,3,12:13,-1,8
13,E. Frankfurt,7,1,5,1,8:10,-2,8
14,Hertha BSC,7,2,0,5,8:20,-12,6
15,FC Augsburg,7,1,2,4,3:13,-10,5
16,Arm. Bielefeld,7,0,4,3,3:10,-7,4
17,VfL Bochum,7,1,1,5,4:16,-12,4
18,Greuther Fürth,7,0,1,6,5:19,-14,1
