rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Bayern Munich,https://tmssl.akamaized.net//images/wappen/head/27.png?lm=1729503608,34,28,5,1,122:36,86,89,WWWDWW
2,Borussia Dortmund,https://tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,34,22,7,5,70:34,36,73,LLWLWW
3,RB Leipzig,https://tmssl.akamaized.net//images/wappen/head/23826.png?lm=1619431624,34,20,5,9,66:47,19,65,WWWLWL
4,VfB Stuttgart,https://tmssl.akamaized.net//images/wappen/head/79.png?lm=1680587427,34,18,8,8,71:49,22,62,WLDDWD
5,TSG 1899 Hoffenheim,https://tmssl.akamaized.net//images/wappen/head/533.png?lm=1675591766,34,18,7,9,65:52,13,61,DWWDWL
6,Bayer 04 Leverkusen,https://tmssl.akamaized.net//images/wappen/head/15.png?lm=1710156317,34,17,8,9,68:47,21,59,WLWWLD
7,SC Freiburg,https://tmssl.akamaized.net//images/wappen/head/60.png?lm=1517249279,34,13,8,13,51:57,-6,47,WWLDLW
8,Eintracht Frankfurt,https://tmssl.akamaized.net//images/wappen/head/24.png?lm=1700074979,34,11,11,12,61:65,-4,44,WLDLLD
9,FC Augsburg,https://tmssl.akamaized.net//images/wappen/head/167.png?lm=1656582897,34,12,7,15,45:61,-16,43,DWDWWL
10,1.FSV Mainz 05,https://tmssl.akamaized.net//images/wappen/head/39.png?lm=1564748880,34,10,10,14,44:53,-9,40,LDLWLW
11,1.FC Union Berlin,https://tmssl.akamaized.net//images/wappen/head/89.png?lm=1402956210,34,10,9,15,44:58,-14,39,LLLDWW
12,Borussia Mönchengladbach,https://tmssl.akamaized.net//images/wappen/head/18.png?lm=1656585796,34,9,11,14,42:53,-11,38,LDDWLW
13,Hamburger SV,https://tmssl.akamaized.net//images/wappen/head/41.png?lm=1597319274,34,9,11,14,40:54,-14,38,LLLWWD
14,1.FC Köln,https://tmssl.akamaized.net//images/wappen/head/3.png?lm=1656580823,34,7,11,16,49:63,-14,32,WDLDLL
15,SV Werder Bremen,https://tmssl.akamaized.net//images/wappen/head/86.png?lm=1403082298,34,8,8,18,37:60,-23,32,LWDLLL
16,VfL Wolfsburg,https://tmssl.akamaized.net//images/wappen/head/82.png?lm=1778348110,34,7,8,19,45:69,-24,29,LWDDLW
17,1.FC Heidenheim 1846,https://tmssl.akamaized.net//images/wappen/head/2036.png?lm=1685457789,34,6,8,20,41:72,-31,26,WLWDWL
18,FC St. Pauli,https://tmssl.akamaized.net//images/wappen/head/35.png?lm=1521036360,34,6,8,20,29:60,-31,26,LDLLLL
