group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,Bayern Munich,https://img.a.transfermarkt.technology/wappen/big/27.png?lm=4711,1,1,0,0,5:1,4,3,W
,2,SC Freiburg,https://img.a.transfermarkt.technology/wappen/big/60.png?lm=4711,1,1,0,0,4:1,3,3,W
,3,RB Leipzig,https://img.a.transfermarkt.technology/wappen/big/23826.png?lm=4711,1,1,0,0,3:0,3,3,W
,4,FC Augsburg,https://img.a.transfermarkt.technology/wappen/big/167.png?lm=4711,1,1,0,0,3:0,3,3,W
,5,Borussia Dortmund,https://img.a.transfermarkt.technology/wappen/big/16.png?lm=4711,1,1,0,0,2:0,2,3,W
,6,1.FC Köln,https://img.a.transfermarkt.technology/wappen/big/3.png?lm=4711,1,1,0,0,3:2,1,3,W
,7,SV 07 Elversberg,https://img.a.transfermarkt.technology/wappen/big/64.png?lm=4711,1,1,0,0,3:2,1,3,W
,8,Eintracht Frankfurt,https://img.a.transfermarkt.technology/wappen/big/24.png?lm=4711,1,0,1,0,3:3,0,1,D
,9,1.FC Union Berlin,https://img.a.transfermarkt.technology/wappen/big/89.png?lm=4711,1,0,1,0,3:3,0,1,D
,10,1.FSV Mainz 05,https://img.a.transfermarkt.technology/wappen/big/39.png?lm=4711,1,0,1,0,0:0,0,1,D
,11,SC Paderborn 07,https://img.a.transfermarkt.technology/wappen/big/127.png?lm=4711,1,0,1,0,0:0,0,1,D
,12,TSG 1899 Hoffenheim,https://img.a.transfermarkt.technology/wappen/big/533.png?lm=4711,1,0,0,1,2:3,-1,0,L
,13,Bayer 04 Leverkusen,https://img.a.transfermarkt.technology/wappen/big/15.png?lm=4711,1,0,0,1,2:3,-1,0,L
,14,Hamburger SV,https://img.a.transfermarkt.technology/wappen/big/41.png?lm=4711,1,0,0,1,0:2,-2,0,L
,15,SV Werder Bremen,https://img.a.transfermarkt.technology/wappen/big/86.png?lm=4711,1,0,0,1,1:4,-3,0,L
,16,Borussia Mönchengladbach,https://img.a.transfermarkt.technology/wappen/big/18.png?lm=4711,1,0,0,1,0:3,-3,0,L
,17,FC Schalke 04,https://img.a.transfermarkt.technology/wappen/big/33.png?lm=4711,1,0,0,1,0:3,-3,0,L
,18,VfB Stuttgart,https://img.a.transfermarkt.technology/wappen/big/79.png?lm=4711,1,0,0,1,1:5,-4,0,L
