id,name,link
27,Bayern Munich,/bayern-munich/startseite/verein/27
23826,RB Leipzig,/rb-leipzig/startseite/verein/23826
16,Borussia Dortmund,/borussia-dortmund/startseite/verein/16
82,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82
24,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24
15,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15
89,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89
18,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18
79,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79
60,SC Freiburg,/sc-freiburg/startseite/verein/60
533,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533
39,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39
167,FC Augsburg,/fc-augsburg/startseite/verein/167
44,Hertha BSC,/hertha-bsc/startseite/verein/44
10,Arminia Bielefeld,/arminia-bielefeld/startseite/verein/10
3,1. FC Köln,/1-fc-koln/startseite/verein/3
80,VfL Bochum,/vfl-bochum/startseite/verein/80
65,SpVgg Greuther Fürth,/spvgg-greuther-furth/startseite/verein/65
