id,name,shirtNumber,positionId,link
433177,Bukayo Saka,7,3,/bukayo-saka/profil/spieler/433177
230784,Thomas Partey,5,3,/thomas-partey/profil/spieler/230784
316264,Martin Ødegaard,8,3,/martin-odegaard/profil/spieler/316264
335721,Ben White,4,2,/ben-white/profil/spieler/335721
343052,Nicolas Pépé,19,4,/nicolas-pepe/profil/spieler/343052
300716,Kieran Tierney,3,2,/kieran-tierney/profil/spieler/300716
392765,Emile Smith Rowe,10,3,/emile-smith-rowe/profil/spieler/392765
58864,Pierre-Emerick Aubameyang,14,4,/pierre-emerick-aubameyang/profil/spieler/58864
435338,Gabriel,6,2,/gabriel/profil/spieler/435338
93720,Alexandre Lacazette,9,4,/alexandre-lacazette/profil/spieler/93720
111455,Granit Xhaka,34,3,/granit-xhaka/profil/spieler/111455
655488,Gabriel Martinelli,35,4,/gabriel-martinelli/profil/spieler/655488
351749,Kalvin Phillips,23,3,/kalvin-phillips/profil/spieler/351749
411295,Raphinha,10,4,/raphinha/profil/spieler/411295
183334,Patrick Bamford,9,4,/patrick-bamford/profil/spieler/183334
246291,Diego Llorente,14,2,/diego-llorente/profil/spieler/246291
542586,Illan Meslier,1,1,/illan-meslier/profil/spieler/542586
131505,Rodrigo,19,4,/rodrigo/profil/spieler/131505
319301,Daniel James,20,4,/daniel-james/profil/spieler/319301
328784,Robin Koch,5,2,/robin-koch/profil/spieler/328784
417346,Jack Harrison,22,4,/jack-harrison/profil/spieler/417346
374139,Junior Firpo,3,2,/junior-firpo/profil/spieler/374139
410708,Pascal Struijk,21,2,/pascal-struijk/profil/spieler/410708
331560,Takehiro Tomiyasu,18,2,/takehiro-tomiyasu/profil/spieler/331560
427568,Aaron Ramsdale,32,1,/aaron-ramsdale/profil/spieler/427568
72476,Bernd Leno,1,1,/bernd-leno/profil/spieler/72476
253341,Rob Holding,16,2,/rob-holding/profil/spieler/253341
285845,Ainsley Maitland-Niles,15,3,/ainsley-maitland-niles/profil/spieler/285845
381967,Albert Sambi Lokonga,23,3,/albert-sambi-lokonga/profil/spieler/381967
215118,Calum Chambers,21,2,/calum-chambers/profil/spieler/215118
340324,Eddie Nketiah,30,4,/eddie-nketiah/profil/spieler/340324
160438,Mohamed Elneny,25,3,/mohamed-elneny/profil/spieler/160438
535955,Nuno Tavares,20,2,/nuno-tavares/profil/spieler/535955
75067,Liam Cooper,6,2,/liam-cooper/profil/spieler/75067
296986,Tyler Roberts,11,4,/tyler-roberts/profil/spieler/296986
67420,Luke Ayling,2,2,/luke-ayling/profil/spieler/67420
92738,Mateusz Klich,43,3,/mateusz-klich/profil/spieler/92738
158764,Stuart Dallas,15,2,/stuart-dallas/profil/spieler/158764
534700,Jamie Shackleton,46,3,/jamie-shackleton/profil/spieler/534700
121257,Adam Forshaw,4,3,/adam-forshaw/profil/spieler/121257
418561,Kristoffer Klaesson,13,1,/kristoffer-klaesson/profil/spieler/418561
474701,Crysencio Summerville,38,4,/crysencio-summerville/profil/spieler/474701
503980,Joe Gelhardt,30,4,/joe-gelhardt/profil/spieler/503980
532178,Sam Greenwood,42,4,/sam-greenwood/profil/spieler/532178
112988,Cédric Soares,17,2,/cedric-soares/profil/spieler/112988
210178,Pablo Marí,22,2,/pablo-mari/profil/spieler/210178
503770,Folarin Balogun,26,4,/folarin-balogun/profil/spieler/503770
94005,Sead Kolasinac,31,2,/sead-kolasinac/profil/spieler/94005
597659,Charlie Cresswell,35,2,/charlie-cresswell/profil/spieler/597659
614082,Liam McCarron,45,2,/liam-mccarron/profil/spieler/614082
274839,Wilfred Ndidi,25,3,/wilfred-ndidi/profil/spieler/274839
249565,Youri Tielemans,8,3,/youri-tielemans/profil/spieler/249565
294057,James Maddison,10,3,/james-maddison/profil/spieler/294057
320141,Caglar Söyüncü,4,2,/caglar-soyuncu/profil/spieler/320141
475411,Wesley Fofana,3,2,/wesley-fofana/profil/spieler/475411
398065,Harvey Barnes,7,3,/harvey-barnes/profil/spieler/398065
215876,Ricardo Pereira,21,2,/ricardo-pereira/profil/spieler/215876
262226,Timothy Castagne,27,2,/timothy-castagne/profil/spieler/262226
344605,Boubakary Soumaré,42,3,/boubakary-soumare/profil/spieler/344605
365172,Patson Daka,29,4,/patson-daka/profil/spieler/365172
295330,Kelechi Iheanacho,14,4,/kelechi-iheanacho/profil/spieler/295330
99331,Jannik Vestergaard,23,2,/jannik-vestergaard/profil/spieler/99331
246968,Ayoze Pérez,17,4,/ayoze-perez/profil/spieler/246968
413220,James Justin,2,2,/james-justin/profil/spieler/413220
406040,Ademola Lookman,37,4,/ademola-lookman/profil/spieler/406040
40611,Ryan Bertrand,5,2,/ryan-bertrand/profil/spieler/40611
111051,Nampalys Mendy,24,3,/nampalys-mendy/profil/spieler/111051
505194,Luke Thomas,33,2,/luke-thomas/profil/spieler/505194
42412,Jonny Evans,6,2,/jonny-evans/profil/spieler/42412
197838,Jamie Vardy,9,4,/jamie-vardy/profil/spieler/197838
341501,Hamza Choudhury,20,3,/hamza-choudhury/profil/spieler/341501
16911,Kasper Schmeichel,1,1,/kasper-schmeichel/profil/spieler/16911
203026,Danny Ward,12,1,/danny-ward/profil/spieler/203026
214056,Daniel Amartey,18,2,/daniel-amartey/profil/spieler/214056
61560,Marc Albrighton,11,3,/marc-albrighton/profil/spieler/61560
293168,Filip Benkovic,16,2,/filip-benkovic/profil/spieler/293168
475188,Kiernan Dewsbury-Hall,22,3,/kiernan-dewsbury-hall/profil/spieler/475188
2857,Eldin Jakupovic,35,1,/eldin-jakupovic/profil/spieler/2857
111873,Emiliano Martínez,1,1,/emiliano-martinez/profil/spieler/111873
321247,Emiliano Buendía,10,4,/emiliano-buendia/profil/spieler/321247
387626,Leon Bailey,31,4,/leon-bailey/profil/spieler/387626
447661,Douglas Luiz,6,3,/douglas-luiz/profil/spieler/447661
324358,Ollie Watkins,11,4,/ollie-watkins/profil/spieler/324358
193116,John McGinn,7,3,/john-mcginn/profil/spieler/193116
253677,Tyrone Mings,5,2,/tyrone-mings/profil/spieler/253677
413403,Ezri Konsa,4,2,/ezri-konsa/profil/spieler/413403
134294,Danny Ings,20,4,/danny-ings/profil/spieler/134294
425334,Matty Cash,2,2,/matty-cash/profil/spieler/425334
131996,Bertrand Traoré,15,4,/bertrand-traore/profil/spieler/131996
250478,Matt Targett,3,2,/matt-targett/profil/spieler/250478
174094,Morgan Sanson,8,3,/morgan-sanson/profil/spieler/174094
183720,Anwar El Ghazi,21,4,/anwar-el-ghazi/profil/spieler/183720
234189,Trezeguet,17,4,/trezeguet/profil/spieler/234189
342046,Axel Tuanzebe,16,2,/axel-tuanzebe/profil/spieler/342046
503749,Jacob Ramsey,41,3,/jacob-ramsey/profil/spieler/503749
324882,Marvelous Nakamba,19,3,/marvelous-nakamba/profil/spieler/324882
233124,Kortney Hause,30,2,/kortney-hause/profil/spieler/233124
412660,Keinan Davis,39,4,/keinan-davis/profil/spieler/412660
659459,Carney Chukwuemeka,33,3,/carney-chukwuemeka/profil/spieler/659459
14086,Ashley Young,18,2,/ashley-young/profil/spieler/14086
145988,Wilfried Zaha,11,4,/wilfried-zaha/profil/spieler/145988
260827,Joachim Andersen,16,2,/joachim-andersen/profil/spieler/260827
392757,Marc Guehi,6,2,/marc-guehi/profil/spieler/392757
479999,Eberechi Eze,10,3,/eberechi-eze/profil/spieler/479999
344152,Odsonne Edouard,22,4,/odsonne-edouard/profil/spieler/344152
488362,Conor Gallagher,23,3,/conor-gallagher/profil/spieler/488362
566723,Michael Olise,7,3,/michael-olise/profil/spieler/566723
730893,Tyrick Mitchell,3,2,/tyrick-mitchell/profil/spieler/730893
50201,Christian Benteke,20,4,/christian-benteke/profil/spieler/50201
157506,Jeffrey Schlupp,15,3,/jeffrey-schlupp/profil/spieler/157506
110867,Jed Steer,12,1,/jed-steer/profil/spieler/110867
665390,Jaden Philogene-Bidace,32,4,/jaden-philogene-bidace/profil/spieler/665390
148455,Mohamed Salah,11,4,/mohamed-salah/profil/spieler/148455
200512,Sadio Mané,10,4,/sadio-mane/profil/spieler/200512
314353,Trent Alexander-Arnold,66,2,/trent-alexander-arnold/profil/spieler/314353
234803,Andrew Robertson,26,2,/andrew-robertson/profil/spieler/234803
105470,Alisson,1,1,/alisson/profil/spieler/105470
225693,Fabinho,3,3,/fabinho/profil/spieler/225693
139208,Virgil van Dijk,4,2,/virgil-van-dijk/profil/spieler/139208
340950,Diogo Jota,20,4,/diogo-jota/profil/spieler/340950
131789,Roberto Firmino,9,4,/roberto-firmino/profil/spieler/131789
357119,Ibrahima Konaté,5,2,/ibrahima-konate/profil/spieler/357119
251664,Ivan Toney,17,4,/ivan-toney/profil/spieler/251664
262749,David Raya,1,1,/david-raya/profil/spieler/262749
328658,Kristoffer Ajer,20,2,/kristoffer-ajer/profil/spieler/328658
413039,Bryan Mbeumo,19,4,/bryan-mbeumo/profil/spieler/413039
251845,Sergi Canós,7,4,/sergi-canos/profil/spieler/251845
270171,Vitaly Janelt,27,3,/vitaly-janelt/profil/spieler/270171
339556,Rico Henry,3,2,/rico-henry/profil/spieler/339556
340321,Josh Dasilva,10,3,/josh-dasilva/profil/spieler/340321
388165,Yoane Wissa,11,4,/yoane-wissa/profil/spieler/388165
421637,Frank Onyeka,15,3,/frank-onyeka/profil/spieler/421637
148153,Lewis Dunk,5,2,/lewis-dunk/profil/spieler/148153
410425,Yves Bissouma,8,3,/yves-bissouma/profil/spieler/410425
217115,Neal Maupay,9,4,/neal-maupay/profil/spieler/217115
284857,Marc Cucurella,3,3,/marc-cucurella/profil/spieler/284857
490307,Enock Mwepu,12,3,/enock-mwepu/profil/spieler/490307
212847,Adam Webster,4,2,/adam-webster/profil/spieler/212847
504148,Tariq Lamptey,2,2,/tariq-lamptey/profil/spieler/504148
144028,Leandro Trossard,11,4,/leandro-trossard/profil/spieler/144028
403151,Robert Sánchez,1,1,/robert-sanchez/profil/spieler/403151
384461,Jakub Moder,15,3,/jakub-moder/profil/spieler/384461
534033,Alexis Mac Allister,10,3,/alexis-mac-allister/profil/spieler/534033
209212,Solly March,20,3,/solly-march/profil/spieler/209212
96341,Romelu Lukaku,9,4,/romelu-lukaku/profil/spieler/96341
346483,Mason Mount,19,3,/mason-mount/profil/spieler/346483
309400,Kai Havertz,29,3,/kai-havertz/profil/spieler/309400
170527,Timo Werner,11,4,/timo-werner/profil/spieler/170527
225083,N'Golo Kanté,7,3,/ngolo-kante/profil/spieler/225083
315779,Christian Pulisic,10,4,/christian-pulisic/profil/spieler/315779
51471,Mateo Kovacic,8,3,/mateo-kovacic/profil/spieler/51471
102017,Jorginho,5,3,/jorginho/profil/spieler/102017
472423,Reece James,24,2,/reece-james/profil/spieler/472423
74300,Luka Milivojevic,4,3,/luka-milivojevic/profil/spieler/74300
108354,Jordan Ayew,9,4,/jordan-ayew/profil/spieler/108354
241481,Jairo Riedewald,44,3,/jairo-riedewald/profil/spieler/241481
420002,Jean-Philippe Mateta,14,4,/jean-philippe-mateta/profil/spieler/420002
207014,Will Hughes,12,3,/will-hughes/profil/spieler/207014
66934,Cheikhou Kouyaté,8,3,/cheikhou-kouyate/profil/spieler/66934
507254,Nathan Ferguson,36,2,/nathan-ferguson/profil/spieler/507254
85177,Nathaniel Clyne,17,2,/nathaniel-clyne/profil/spieler/85177
61592,James Tomkins,5,2,/james-tomkins/profil/spieler/61592
92572,Joel Ward,2,2,/joel-ward/profil/spieler/92572
378710,Richarlison,7,4,/richarlison/profil/spieler/378710
306024,Dominic Calvert-Lewin,9,4,/dominic-calvert-lewin/profil/spieler/306024
126664,Lucas Digne,12,2,/lucas-digne/profil/spieler/126664
118534,Michael Keane,5,2,/michael-keane/profil/spieler/118534
127187,Abdoulaye Doucouré,16,3,/abdoulaye-doucoure/profil/spieler/127187
130164,Jordan Pickford,1,1,/jordan-pickford/profil/spieler/130164
343475,Ben Godfrey,22,2,/ben-godfrey/profil/spieler/343475
126422,Allan,6,3,/allan/profil/spieler/126422
242631,Alex Iwobi,17,4,/alex-iwobi/profil/spieler/242631
221025,André Gomes,21,3,/andre-gomes/profil/spieler/221025
289446,Yerry Mina,13,2,/yerry-mina/profil/spieler/289446
173504,James Tarkowski,5,2,/james-tarkowski/profil/spieler/173504
584769,Dwight McNeil,11,4,/dwight-mcneil/profil/spieler/584769
192080,Nick Pope,1,1,/nick-pope/profil/spieler/192080
234781,Maxwel Cornet,20,2,/maxwel-cornet/profil/spieler/234781
108725,Chris Wood,9,4,/chris-wood/profil/spieler/108725
469050,Nathan Collins,22,2,/nathan-collins/profil/spieler/469050
293569,Josh Brownhill,8,3,/josh-brownhill/profil/spieler/293569
74810,Ben Mee,6,2,/ben-mee/profil/spieler/74810
40613,Jack Cork,4,3,/jack-cork/profil/spieler/40613
91317,Ashley Westwood,18,3,/ashley-westwood/profil/spieler/91317
214666,Connor Roberts,14,2,/connor-roberts/profil/spieler/214666
302215,Naby Keïta,8,3,/naby-keita/profil/spieler/302215
256178,Joe Gomez,12,2,/joe-gomez/profil/spieler/256178
433188,Curtis Jones,17,3,/curtis-jones/profil/spieler/433188
60444,Thiago,6,3,/thiago/profil/spieler/60444
61651,Jordan Henderson,14,3,/jordan-henderson/profil/spieler/61651
82105,Joel Matip,32,2,/joel-matip/profil/spieler/82105
143424,Alex Oxlade-Chamberlain,15,3,/alex-oxlade-chamberlain/profil/spieler/143424
565822,Harvey Elliott,67,4,/harvey-elliott/profil/spieler/565822
148368,Divock Origi,27,4,/divock-origi/profil/spieler/148368
165793,Takumi Minamino,18,4,/takumi-minamino/profil/spieler/165793
319859,Mathias Jensen,8,3,/mathias-jensen/profil/spieler/319859
442248,Ethan Pinnock,5,2,/ethan-pinnock/profil/spieler/442248
148367,Christian Nörgaard,6,3,/christian-norgaard/profil/spieler/148367
125314,Pontus Jansson,18,2,/pontus-jansson/profil/spieler/125314
404584,Marcus Forss,9,4,/marcus-forss/profil/spieler/404584
372240,Mads Bech Sörensen,29,2,/mads-bech-sorensen/profil/spieler/372240
453704,Álvaro Fernández,40,1,/alvaro-fernandez/profil/spieler/453704
204294,Saman Ghoddos,14,3,/saman-ghoddos/profil/spieler/204294
249873,Tariqe Fosu,24,4,/tariqe-fosu/profil/spieler/249873
52059,Zanka,22,2,/zanka/profil/spieler/52059
82873,Pascal Groß,13,3,/pascal-gross/profil/spieler/82873
434207,Aaron Connolly,7,4,/aaron-connolly/profil/spieler/434207
111195,Joël Veltman,34,2,/joel-veltman/profil/spieler/111195
476237,Steven Alzate,17,3,/steven-alzate/profil/spieler/476237
119269,Shane Duffy,24,2,/shane-duffy/profil/spieler/119269
134270,Dan Burn,33,2,/dan-burn/profil/spieler/134270
43530,Adam Lallana,14,3,/adam-lallana/profil/spieler/43530
67063,Danny Welbeck,18,4,/danny-welbeck/profil/spieler/67063
166240,Jürgen Locadia,27,4,/jurgen-locadia/profil/spieler/166240
463527,Kjell Scherpen,16,1,/kjell-scherpen/profil/spieler/463527
148928,Saúl Ñíguez,17,3,/saul-niguez/profil/spieler/148928
217111,Hakim Ziyech,22,3,/hakim-ziyech/profil/spieler/217111
316125,Ben Chilwell,21,2,/ben-chilwell/profil/spieler/316125
86202,Antonio Rüdiger,2,2,/antonio-rudiger/profil/spieler/86202
196948,Andreas Christensen,4,2,/andreas-christensen/profil/spieler/196948
392768,Callum Hudson-Odoi,20,4,/callum-hudson-odoi/profil/spieler/392768
442531,Edouard Mendy,16,1,/edouard-mendy/profil/spieler/442531
202886,Ruben Loftus-Cheek,12,3,/ruben-loftus-cheek/profil/spieler/202886
131978,Ross Barkley,18,3,/ross-barkley/profil/spieler/131978
112515,Marcos Alonso,3,2,/marcos-alonso/profil/spieler/112515
57500,César Azpilicueta,28,2,/cesar-azpilicueta/profil/spieler/57500
41416,James McArthur,18,3,/james-mcarthur/profil/spieler/41416
64399,Vicente Guaita,13,1,/vicente-guaita/profil/spieler/64399
128899,Jack Butland,1,1,/jack-butland/profil/spieler/128899
78959,Martin Kelly,34,2,/martin-kelly/profil/spieler/78959
327755,Jaroslaw Jach,33,2,/jaroslaw-jach/profil/spieler/327755
196722,Remi Matthews,19,1,/remi-matthews/profil/spieler/196722
348623,Mason Holgate,4,2,/mason-holgate/profil/spieler/348623
314210,Tom Davies,26,3,/tom-davies/profil/spieler/314210
182894,Jean-Philippe Gbamin,25,3,/jean-philippe-gbamin/profil/spieler/182894
292417,Demarai Gray,11,4,/demarai-gray/profil/spieler/292417
61842,Andros Townsend,14,4,/andros-townsend/profil/spieler/61842
258883,Jonjoe Kenny,2,2,/jonjoe-kenny/profil/spieler/258883
68390,Seamus Coleman,23,2,/seamus-coleman/profil/spieler/68390
80197,Salomón Rondón,33,4,/salomon-rondon/profil/spieler/80197
503733,Anthony Gordon,24,4,/anthony-gordon/profil/spieler/503733
50362,Fabian Delph,8,3,/fabian-delph/profil/spieler/50362
45671,Cenk Tosun,28,4,/cenk-tosun/profil/spieler/45671
53360,Jay Rodríguez,19,4,/jay-rodriguez/profil/spieler/53360
195633,Charlie Taylor,3,2,/charlie-taylor/profil/spieler/195633
63200,Ashley Barnes,10,4,/ashley-barnes/profil/spieler/63200
89231,Jóhann Berg Gudmundsson,7,4,/johann-berg-gudmundsson/profil/spieler/89231
101500,Matej Vydra,27,4,/matej-vydra/profil/spieler/101500
49755,Dale Stephens,16,3,/dale-stephens/profil/spieler/49755
102258,Matthew Lowton,2,2,/matthew-lowton/profil/spieler/102258
43763,Erik Pieters,23,2,/erik-pieters/profil/spieler/43763
