player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Ben White,#4,Centre-Back,Arsenal,Premier League,7,-,-,1,-,-,,,630'
Kieran Tierney,#3,Left-Back,Arsenal,Premier League,8,-,-,-,-,-,,,684'
Bukayo Saka,#7,Left Midfield,Arsenal,Premier League,9,1,1,1,-,-,,,629'
Martin Ødegaard,#8,Attacking Midfield,Arsenal,Premier League,7,1,-,1,-,-,,,493'
Thomas Partey,#5,Defensive Midfield,Arsenal,Premier League,6,1,-,2,-,-,,,454'
Pierre-Emerick Aubameyang,#14,Centre-Forward,Arsenal,Premier League,8,4,1,1,-,-,,,610'
Nicolas Pépé,#19,Right Winger,Arsenal,Premier League,6,-,1,-,-,-,,,477'
Emile Smith Rowe,#10,Attacking Midfield,Arsenal,Premier League,9,2,2,-,-,-,,,717'
Kalvin Phillips,#23,Defensive Midfield,Leeds,Premier League,6,-,-,1,-,-,,,540'
Gabriel Martinelli,#35,Left Winger,Arsenal,Premier League,4,-,-,-,-,-,,,159'
Raphinha,#10,Right Winger,Leeds,Premier League,8,3,-,2,-,-,,,640'
Granit Xhaka,#34,Defensive Midfield,Arsenal,Premier League,4,-,-,-,-,1,,,297'
Gabriel,#6,Centre-Back,Arsenal,Premier League,6,-,-,-,-,-,,,540'
Patrick Bamford,#9,Centre-Forward,Leeds,Premier League,5,1,2,1,-,-,,,437'
Diego Llorente,#14,Centre-Back,Leeds,Premier League,5,1,-,2,-,-,,,368'
Rodrigo,#19,Second Striker,Leeds,Premier League,8,1,-,3,-,-,,,587'
Pascal Struijk,#21,Centre-Back,Leeds,Premier League,7,-,-,2,-,1,,,477'
Junior Firpo,#3,Left-Back,Leeds,Premier League,6,-,-,1,-,-,,,464'
Alexandre Lacazette,#9,Centre-Forward,Arsenal,Premier League,4,1,-,-,-,-,,,140'
Takehiro Tomiyasu,#18,Right-Back,Arsenal,Premier League,6,-,-,-,-,-,,,512'
Aaron Ramsdale,#32,Goalkeeper,Arsenal,Premier League,6,-,,-,-,-,4,3,540'
Rob Holding,#16,Centre-Back,Arsenal,EFL Cup,3,-,-,1,-,-,,,256'
Bernd Leno,#1,Goalkeeper,Arsenal,Premier League,3,-,,-,-,-,9,-,270'
Albert Sambi Lokonga,#23,Central Midfield,Arsenal,Premier League,8,-,-,3,-,-,,,486'
Illan Meslier,#1,Goalkeeper,Leeds,Premier League,9,-,,1,-,-,16,1,810'
Calum Chambers,#21,Right-Back,Arsenal,Premier League,2,-,-,-,-,-,,,171'
Ainsley Maitland-Niles,#15,Right Midfield,Arsenal,Premier League,6,-,-,-,-,-,,,136'
Eddie Nketiah,#30,Centre-Forward,Arsenal,EFL Cup,2,2,-,-,-,-,,,173'
Tyler Roberts,#11,Second Striker,Leeds,Premier League,9,-,-,2,-,-,,,291'
Nuno Tavares,#20,Left-Back,Arsenal,Premier League,5,-,-,1,-,-,,,137'
Daniel James,#20,Left Winger,Leeds,Premier League,8,-,-,-,-,-,,,526'
Luke Ayling,#2,Right-Back,Leeds,Premier League,5,1,-,-,-,-,,,449'
Stuart Dallas,#15,Right-Back,Leeds,Premier League,9,-,1,-,-,-,,,798'
Mohamed Elneny,#25,Defensive Midfield,Arsenal,EFL Cup,2,-,-,-,-,-,,,162'
Mateusz Klich,#43,Central Midfield,Leeds,Premier League,7,1,1,-,-,-,,,560'
Kristoffer Klaesson,#13,Goalkeeper,Leeds,Premier League 2,9,-,,1,-,-,19,1,810'
Liam Cooper,#6,Centre-Back,Leeds,Premier League,9,-,1,3,-,-,,,810'
Robin Koch,#5,Centre-Back,Leeds,Premier League,1,-,-,-,-,-,,,90'
Sam Greenwood,#42,Centre-Forward,Leeds U23,Premier League 2,8,4,3,2,-,-,,,583'
Cédric Soares,#17,Right-Back,Arsenal,Premier League,3,-,-,1,-,-,,,188'
Pablo Marí,#22,Centre-Back,Arsenal,Premier League,2,-,-,1,-,-,,,180'
Folarin Balogun,#26,Centre-Forward,Arsenal,Premier League 2,6,7,1,-,-,-,,,489'
Sead Kolasinac,#31,Left-Back,Arsenal,EFL Cup,2,-,-,1,-,-,,,180'
Jack Harrison,#22,Left Winger,Leeds,Premier League,7,-,-,-,-,-,,,496'
Liam McCarron,#45,Left-Back,Leeds U23,Premier League 2,7,1,1,-,-,-,,,401'
Wilfred Ndidi,#25,Defensive Midfield,Leicester,Premier League,6,-,-,1,-,-,,,540'
James Maddison,#10,Attacking Midfield,Leicester,Premier League,9,1,-,-,-,-,,,529'
Caglar Söyüncü,#4,Centre-Back,Leicester,Premier League,9,1,-,2,-,-,,,788'
Wesley Fofana,#3,Centre-Back,Leicester,,,,,,,,,,
Harvey Barnes,#7,Left Midfield,Leicester,Premier League,7,-,1,2,-,-,,,546'
Ricardo Pereira,#21,Right-Back,Leicester,Premier League,7,-,2,1,-,-,,,506'
Jamie Shackleton,#46,Central Midfield,Leeds,Premier League,7,-,-,1,-,-,,,416'
Patson Daka,#29,Centre-Forward,Leicester,Europa League,3,4,-,-,-,-,,,243'
Crysencio Summerville,#38,Right Winger,Leeds,Premier League 2,6,2,-,-,-,-,,,253'
Kelechi Iheanacho,#14,Centre-Forward,Leicester,Premier League,9,1,2,-,-,-,,,348'
Jannik Vestergaard,#23,Centre-Back,Leicester,Premier League,7,-,-,1,-,-,,,383'
James Justin,#2,Right-Back,Leicester,,,,,,,,,,
Ademola Lookman,#37,Left Winger,Leicester,Premier League,4,-,-,-,-,-,,,219'
Joe Gelhardt,#30,Centre-Forward,Leeds U23,Premier League 2,7,6,1,1,-,-,,,504'
Ryan Bertrand,#5,Left-Back,Leicester,Premier League,4,-,-,1,-,-,,,338'
Ayoze Pérez,#17,Second Striker,Leicester,Premier League,4,-,2,-,-,1,,,131'
Adam Forshaw,#4,Central Midfield,Leeds,EFL Cup,3,-,-,-,-,-,,,171'
Jonny Evans,#6,Centre-Back,Leicester,Premier League,3,-,-,-,-,-,,,207'
Jamie Vardy,#9,Centre-Forward,Leicester,Premier League,9,7,1,1,-,-,,,756'
Hamza Choudhury,#20,Central Midfield,Leicester,Europa League,1,-,-,-,-,-,,,25'
Timothy Castagne,#27,Right-Back,Leicester,Premier League,7,-,-,-,-,-,,,505'
Danny Ward,#12,Goalkeeper,Leicester,EFL Cup,1,-,,-,-,-,-,1,90'
Daniel Amartey,#18,Centre-Back,Leicester,Premier League,5,-,-,-,-,-,,,450'
Youri Tielemans,#8,Central Midfield,Leicester,Premier League,9,3,2,1,-,-,,,810'
Filip Benkovic,#16,Centre-Back,Leicester,Premier League 2,1,-,-,1,-,-,,,90'
Kiernan Dewsbury-Hall,#22,Defensive Midfield,Leicester,Europa League,1,-,-,-,-,-,,,67'
Eldin Jakupovic,#35,Goalkeeper,Leicester,Europa League,-,-,,-,-,-,-,-,-
Charlie Cresswell,#35,Centre-Back,Leeds U23,Premier League 2,6,-,-,2,-,-,,,315'
Kasper Schmeichel,#1,Goalkeeper,Leicester,Premier League,9,-,,-,-,-,15,1,810'
Emiliano Buendía,#10,Right Winger,Aston Villa,Premier League,7,1,-,1,-,-,,,423'
Douglas Luiz,#6,Defensive Midfield,Aston Villa,Premier League,8,-,2,2,-,-,,,685'
Ollie Watkins,#11,Centre-Forward,Aston Villa,Premier League,7,1,-,2,-,-,,,551'
John McGinn,#7,Central Midfield,Aston Villa,Premier League,8,2,1,3,-,-,,,670'
Tyrone Mings,#5,Centre-Back,Aston Villa,Premier League,8,-,1,4,-,-,,,720'
Ezri Konsa,#4,Centre-Back,Aston Villa,Premier League,9,-,-,-,-,-,,,809'
Matty Cash,#2,Right-Back,Aston Villa,Premier League,9,1,-,2,-,-,,,795'
Danny Ings,#20,Centre-Forward,Aston Villa,Premier League,9,3,2,1,-,-,,,763'
Bertrand Traoré,#15,Right Winger,Aston Villa,Premier League,4,-,-,-,-,-,,,53'
Leon Bailey,#31,Left Winger,Aston Villa,Premier League,4,1,2,1,-,-,,,129'
Morgan Sanson,#8,Central Midfield,Aston Villa,EFL Trophy,1,-,1,-,-,-,,,45'
Anwar El Ghazi,#21,Right Winger,Aston Villa,Premier League,4,1,-,1,-,-,,,253'
Axel Tuanzebe,#16,Centre-Back,Aston Villa,Premier League,6,-,-,-,-,-,,,407'
Jacob Ramsey,#41,Attacking Midfield,Aston Villa,Premier League,8,1,-,2,-,-,,,473'
Matt Targett,#3,Left-Back,Aston Villa,Premier League,8,-,1,2,-,-,,,646'
Marvelous Nakamba,#19,Defensive Midfield,Aston Villa,Premier League,5,-,-,-,-,-,,,200'
Kortney Hause,#30,Centre-Back,Aston Villa,Premier League,3,1,-,-,-,-,,,171'
Keinan Davis,#39,Centre-Forward,Aston Villa,EFL Trophy,1,1,1,1,-,-,,,72'
Carney Chukwuemeka,#33,Central Midfield,Aston Villa,Premier League 2,4,2,2,-,-,-,,,284'
Ashley Young,#18,Left-Back,Aston Villa,Premier League,5,-,-,-,-,-,,,278'
Wilfried Zaha,#11,Left Winger,Crystal Palace,Premier League,8,2,1,1,-,-,,,654'
Boubakary Soumaré,#42,Defensive Midfield,Leicester,Premier League,7,-,-,-,-,-,,,384'
Trezeguet,#17,Left Winger,Aston Villa,,,,,,,,,,
Eberechi Eze,#10,Attacking Midfield,Crystal Palace,,,,,,,,,,
Odsonne Edouard,#22,Centre-Forward,Crystal Palace,Premier League,6,3,-,-,-,-,,,360'
Michael Olise,#7,Attacking Midfield,Crystal Palace,Premier League,5,1,1,-,-,-,,,134'
Tyrick Mitchell,#3,Left-Back,Crystal Palace,Premier League,9,-,1,-,-,-,,,810'
Christian Benteke,#20,Centre-Forward,Crystal Palace,Premier League,9,2,1,2,-,-,,,565'
Jeffrey Schlupp,#15,Left Midfield,Crystal Palace,Premier League,6,1,-,-,-,-,,,167'
Jed Steer,#12,Goalkeeper,Aston Villa,EFL Cup,2,-,,-,-,-,1,1,180'
Nampalys Mendy,#24,Defensive Midfield,Leicester,Premier League 2,1,-,-,-,-,-,,,61'
Jaden Philogene-Bidace,#32,Left Winger,Aston Villa,Premier League 2,3,4,1,-,-,-,,,225'
Mohamed Salah,#11,Right Winger,Liverpool,Premier League,9,10,5,1,-,-,,,810'
Trent Alexander-Arnold,#66,Right-Back,Liverpool,Premier League,7,-,3,-,-,-,,,604'
Andrew Robertson,#26,Left-Back,Liverpool,Premier League,6,-,1,1,-,-,,,510'
Alisson,#1,Goalkeeper,Liverpool,Premier League,8,-,,-,-,-,6,5,720'
Fabinho,#3,Defensive Midfield,Liverpool,Premier League,6,1,1,2,-,-,,,479'
Virgil van Dijk,#4,Centre-Back,Liverpool,Premier League,9,-,1,-,-,-,,,810'
Diogo Jota,#20,Left Winger,Liverpool,Premier League,8,4,1,1,-,-,,,596'
Roberto Firmino,#9,Centre-Forward,Liverpool,Premier League,7,4,1,-,-,-,,,291'
Ibrahima Konaté,#5,Centre-Back,Liverpool,Premier League,2,-,-,-,-,-,,,180'
Ivan Toney,#17,Centre-Forward,Brentford,Premier League,9,2,2,1,-,-,,,810'
David Raya,#1,Goalkeeper,Brentford,Premier League,9,-,,-,-,-,9,3,810'
Kristoffer Ajer,#20,Centre-Back,Brentford,Premier League,7,-,-,1,-,-,,,565'
Conor Gallagher,#23,Central Midfield,Crystal Palace,Premier League,8,2,1,2,-,-,,,697'
Joachim Andersen,#16,Centre-Back,Crystal Palace,Premier League,9,-,-,3,-,-,,,753'
Sadio Mané,#10,Left Winger,Liverpool,Premier League,9,5,-,-,-,-,,,733'
Vitaly Janelt,#27,Defensive Midfield,Brentford,Premier League,6,1,-,1,-,-,,,514'
Sergi Canós,#7,Right Winger,Brentford,Premier League,9,1,-,3,-,-,,,741'
Rico Henry,#3,Left-Back,Brentford,Premier League,9,-,-,1,-,-,,,795'
Josh Dasilva,#10,Defensive Midfield,Brentford,,,,,,,,,,
Luke Thomas,#33,Left-Back,Leicester,Premier League,3,-,-,-,-,-,,,270'
Marc Guehi,#6,Centre-Back,Crystal Palace,Premier League,9,-,-,-,-,-,,,810'
Yves Bissouma,#8,Central Midfield,Brighton,Premier League,5,-,1,1,-,-,,,439'
Neal Maupay,#9,Centre-Forward,Brighton,Premier League,9,4,-,2,-,-,,,733'
Marc Cucurella,#3,Left Midfield,Brighton,Premier League,6,-,-,2,-,-,,,508'
Enock Mwepu,#12,Central Midfield,Brighton,Premier League,4,-,1,1,-,-,,,123'
Adam Webster,#4,Centre-Back,Brighton,Premier League,4,-,-,1,-,-,,,307'
Tariq Lamptey,#2,Right-Back,Brighton,Premier League,2,-,-,-,-,-,,,64'
Leandro Trossard,#11,Left Winger,Brighton,Premier League,9,1,1,1,-,-,,,778'
Jakub Moder,#15,Central Midfield,Brighton,Premier League,9,-,1,2,-,-,,,442'
Emiliano Martínez,#1,Goalkeeper,Aston Villa,Premier League,8,-,,1,-,-,12,3,720'
Alexis Mac Allister,#10,Attacking Midfield,Brighton,Premier League,7,2,1,-,-,-,,,211'
Solly March,#20,Left Midfield,Brighton,Premier League,7,-,-,1,-,-,,,370'
Romelu Lukaku,#9,Centre-Forward,Chelsea,Premier League,7,3,-,-,-,-,,,617'
Marc Albrighton,#11,Right Midfield,Leicester,Premier League,3,1,-,1,-,-,,,190'
Frank Onyeka,#15,Central Midfield,Brentford,Premier League,8,-,-,1,-,-,,,480'
Lewis Dunk,#5,Centre-Back,Brighton,Premier League,9,-,-,-,-,-,,,810'
N'Golo Kanté,#7,Defensive Midfield,Chelsea,Premier League,5,1,-,-,-,-,,,257'
Christian Pulisic,#10,Right Winger,Chelsea,UEFA Super Cup,1,-,-,-,-,-,,,77'
Jorginho,#5,Defensive Midfield,Chelsea,Premier League,8,-,1,-,-,-,,,559'
Reece James,#24,Right-Back,Chelsea,Premier League,6,2,2,-,-,1,,,278'
Robert Sánchez,#1,"Jun 30, 2025",Brighton,Premier League,9,-,,2,-,-,9,4,810'
Mateo Kovacic,#8,Central Midfield,Chelsea,Premier League,9,1,5,1,-,-,,,704'
Jordan Ayew,#9,Centre-Forward,Crystal Palace,Premier League,8,-,1,-,-,-,,,588'
Jairo Riedewald,#44,Defensive Midfield,Crystal Palace,Premier League,2,-,-,-,-,-,,,102'
Will Hughes,#12,Central Midfield,Crystal Palace,Premier League,-,-,-,-,-,-,,,-
Cheikhou Kouyaté,#8,Defensive Midfield,Crystal Palace,Premier League,7,-,-,-,-,-,,,460'
Luka Milivojevic,#4,Defensive Midfield,Crystal Palace,Premier League,5,-,-,-,-,-,,,325'
