rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Arsenal FC,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,34,22,7,5,64:26,38,73,WDLLW
2,Manchester City,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,33,21,7,5,66:29,37,70,DWWW
3,Manchester United,https://tmssl.akamaized.net//images/wappen/head/985.png?lm=1457975903,34,17,10,7,60:46,14,61,WDLWW
4,Liverpool FC,https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,34,17,7,10,57:44,13,58,DLWWW
5,Aston Villa,https://tmssl.akamaized.net//images/wappen/head/405.png?lm=1717155982,34,17,7,10,47:42,5,58,LWDWL
6,Brentford FC,https://tmssl.akamaized.net//images/wappen/head/1148.png?lm=1625150543,35,14,9,12,50:46,4,51,DDDDL
7,Brighton & Hove Albion,https://tmssl.akamaized.net//images/wappen/head/1237.png?lm=1492718902,35,13,11,11,48:41,7,50,WWWDW
8,AFC Bournemouth,https://tmssl.akamaized.net//images/wappen/head/989.png?lm=1457991811,34,11,16,7,52:52,0,49,DDWWD
9,Sunderland AFC,https://tmssl.akamaized.net//images/wappen/head/289.png?lm=1485645633,35,13,10,12,37:45,-8,49,LWWLL
10,Chelsea FC,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,34,13,9,12,53:45,8,48,LLLLL
11,Fulham FC,https://tmssl.akamaized.net//images/wappen/head/931.png?lm=1556831687,34,14,6,14,44:46,-2,48,DWLDW
12,Everton FC,https://tmssl.akamaized.net//images/wappen/head/29.png?lm=1445949846,34,13,8,13,41:41,0,47,LWDLL
13,Newcastle United,https://tmssl.akamaized.net//images/wappen/head/762.png?lm=1472921161,35,13,6,16,48:50,-2,45,WLLLL
14,Crystal Palace,https://tmssl.akamaized.net//images/wappen/head/873.png?lm=1457723287,33,11,10,12,36:39,-3,43,DWDL
15,Leeds United,https://tmssl.akamaized.net//images/wappen/head/399.png?lm=1645652224,35,10,13,12,47:52,-5,43,DDWWDW
16,Nottingham Forest,https://tmssl.akamaized.net//images/wappen/head/703.png?lm=1598890289,34,10,9,15,41:45,-4,39,DWDWW
17,West Ham United,https://tmssl.akamaized.net//images/wappen/head/379.png?lm=1464675260,35,9,9,17,42:59,-17,36,DLWDW
18,Tottenham Hotspur,https://tmssl.akamaized.net//images/wappen/head/148.png?lm=1732011953,34,8,10,16,43:53,-10,34,DLLDW
19,Burnley FC,https://tmssl.akamaized.net//images/wappen/head/1132.png?lm=1686818840,35,4,8,23,35:71,-36,20,DLLLLL
20,Wolverhampton Wanderers,https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784,35,3,8,24,24:63,-39,17,DDLLL
