id,name,link,rank,played,wins,draws,losses,goals,diff,points
11,Arsenal FC,/fc-arsenal/startseite/verein/11,1,31,21,7,3,61:22,39,70
281,Manchester City,/manchester-city/startseite/verein/281,2,30,18,7,5,60:28,32,61
985,Manchester United,/manchester-united/startseite/verein/985,3,31,15,10,6,56:43,13,55
405,Aston Villa,/aston-villa/startseite/verein/405,4,31,16,6,9,42:37,5,54
31,Liverpool FC,/fc-liverpool/startseite/verein/31,5,31,14,7,10,50:42,8,49
631,Chelsea FC,/fc-chelsea/startseite/verein/631,6,31,13,9,9,53:38,15,48
1148,Brentford FC,/fc-brentford/startseite/verein/1148,7,31,13,7,11,46:42,4,46
29,Everton FC,/fc-everton/startseite/verein/29,8,31,13,7,11,37:35,2,46
931,Fulham FC,/fc-fulham/startseite/verein/931,9,31,13,5,13,43:44,-1,44
1237,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,10,31,11,10,10,41:37,4,43
289,Sunderland AFC,/afc-sunderland/startseite/verein/289,11,31,11,10,10,32:36,-4,43
762,Newcastle United,/newcastle-united/startseite/verein/762,12,31,12,6,13,44:45,-1,42
989,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,13,31,9,15,7,46:48,-2,42
873,Crystal Palace,/crystal-palace/startseite/verein/873,14,30,10,9,11,33:35,-2,39
399,Leeds United,/leeds-united/startseite/verein/399,15,31,7,12,12,37:48,-11,33
703,Nottingham Forest,/nottingham-forest/startseite/verein/703,16,31,8,8,15,31:43,-12,32
148,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,17,31,7,9,15,40:50,-10,30
379,West Ham United,/west-ham-united/startseite/verein/379,18,31,7,8,16,36:57,-21,29
1132,Burnley FC,/fc-burnley/startseite/verein/1132,19,31,4,8,19,33:61,-28,20
543,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,20,31,3,8,20,24:54,-30,17
