id,name,shirtNumber,positionId,link
282411,Marcos Llorente,14,3,/marcos-llorente/profil/spieler/282411
462250,João Félix,7,4,/joao-felix/profil/spieler/462250
121483,Jan Oblak,13,1,/jan-oblak/profil/spieler/121483
74229,Koke,6,3,/koke/profil/spieler/74229
125781,Antoine Griezmann,8,4,/antoine-griezmann/profil/spieler/125781
250845,José María Giménez,2,2,/jose-maria-gimenez/profil/spieler/250845
140776,Yannick Carrasco,21,4,/yannick-carrasco/profil/spieler/140776
255901,Rodrigo de Paul,5,3,/rodrigo-de-paul/profil/spieler/255901
266807,Ángel Correa,10,4,/angel-correa/profil/spieler/266807
281769,Mario Hermoso,22,2,/mario-hermoso/profil/spieler/281769
517894,Matheus Cunha,19,4,/matheus-cunha/profil/spieler/517894
107010,Stefan Savic,15,2,/stefan-savic/profil/spieler/107010
257376,Domingos Duarte,22,2,/domingos-duarte/profil/spieler/257376
211251,Darwin Machís,11,4,/darwin-machis/profil/spieler/211251
424784,Luis Suárez,9,4,/luis-suarez/profil/spieler/424784
330684,Luis Abram,18,2,/luis-abram/profil/spieler/330684
120443,Santiago Arias,2,2,/santiago-arias/profil/spieler/120443
262365,Antonio Puertas,10,4,/antonio-puertas/profil/spieler/262365
367464,Luís Maximiano,1,1,/luis-maximiano/profil/spieler/367464
281989,Luis Milla,5,3,/luis-milla/profil/spieler/281989
282727,Monchu,14,3,/monchu/profil/spieler/282727
448844,Carlos Neva,15,2,/carlos-neva/profil/spieler/448844
205562,Thomas Lemar,11,3,/thomas-lemar/profil/spieler/205562
476352,Renan Lodi,12,2,/renan-lodi/profil/spieler/476352
95810,Kieran Trippier,23,2,/kieran-trippier/profil/spieler/95810
44352,Luis Suárez,9,4,/luis-suarez/profil/spieler/44352
127189,Geoffrey Kondogbia,4,3,/geoffrey-kondogbia/profil/spieler/127189
156501,Felipe,18,2,/felipe/profil/spieler/156501
127181,Benjamin Lecomte,1,1,/benjamin-lecomte/profil/spieler/127181
122043,Héctor Herrera,16,3,/hector-herrera/profil/spieler/122043
76061,Sime Vrsaljko,24,2,/sime-vrsaljko/profil/spieler/76061
274347,Ivan Saponjic,17,4,/ivan-saponjic/profil/spieler/274347
487688,Alberto Soro,7,4,/alberto-soro/profil/spieler/487688
67548,Rubén Rochina,21,4,/ruben-rochina/profil/spieler/67548
60542,Maxime Gonalons,4,3,/maxime-gonalons/profil/spieler/60542
93935,Sergio Escudero,3,2,/sergio-escudero/profil/spieler/93935
297784,Yan Eteki,8,3,/yan-eteki/profil/spieler/297784
119235,Carlos Bacca,20,4,/carlos-bacca/profil/spieler/119235
57825,Jorge Molina,23,4,/jorge-molina/profil/spieler/57825
59551,Ángel Montoro,19,3,/angel-montoro/profil/spieler/59551
58330,Víctor Díaz,16,2,/victor-diaz/profil/spieler/58330
284430,Aarón Escandell,13,1,/aaron-escandell/profil/spieler/284430
95963,Germán Sánchez,6,2,/german-sanchez/profil/spieler/95963
223053,Quini,17,2,/quini/profil/spieler/223053
468700,Neyder Lozano,0,2,/neyder-lozano/profil/spieler/468700
198638,João Costa,0,1,/joao-costa/profil/spieler/198638
326330,Frenkie de Jong,21,3,/frenkie-de-jong/profil/spieler/326330
683840,Pedri,16,3,/pedri/profil/spieler/683840
74857,Marc-André ter Stegen,1,1,/marc-andre-ter-stegen/profil/spieler/74857
466810,Ansu Fati,10,4,/ansu-fati/profil/spieler/466810
288230,Ousmane Dembélé,7,4,/ousmane-dembele/profil/spieler/288230
167850,Memphis Depay,9,4,/memphis-depay/profil/spieler/167850
80444,Philippe Coutinho,14,3,/philippe-coutinho/profil/spieler/80444
361104,Sergiño Dest,2,2,/sergino-dest/profil/spieler/361104
182904,Clément Lenglet,15,2,/clement-lenglet/profil/spieler/182904
480267,Ronald Araújo,4,2,/ronald-araujo/profil/spieler/480267
277137,Renato Tapia,14,3,/renato-tapia/profil/spieler/277137
255653,Santi Mina,22,4,/santi-mina/profil/spieler/255653
309110,Brais Méndez,23,4,/brais-mendez/profil/spieler/309110
165007,Denis Suárez,6,3,/denis-suarez/profil/spieler/165007
423444,Fran Beltrán,8,3,/fran-beltran/profil/spieler/423444
72047,Iago Aspas,10,4,/iago-aspas/profil/spieler/72047
137616,Okay Yokuslu,5,3,/okay-yokuslu/profil/spieler/137616
64134,Néstor Araújo,4,2,/nestor-araujo/profil/spieler/64134
131102,Jeison Murillo,24,2,/jeison-murillo/profil/spieler/131102
358250,Joseph Aidoo,15,2,/joseph-aidoo/profil/spieler/358250
448628,Javi Galán,17,2,/javi-galan/profil/spieler/448628
69751,Jordi Alba,18,2,/jordi-alba/profil/spieler/69751
466794,Eric García,24,2,/eric-garcia/profil/spieler/466794
26399,Sergio Agüero,19,4,/sergio-aguero/profil/spieler/26399
85370,Sergi Roberto,20,3,/sergi-roberto/profil/spieler/85370
331511,Riqui Puig,6,3,/riqui-puig/profil/spieler/331511
331505,Óscar Mingueza,22,2,/oscar-mingueza/profil/spieler/331505
18944,Gerard Piqué,3,2,/gerard-pique/profil/spieler/18944
72522,Luuk de Jong,17,4,/luuk-de-jong/profil/spieler/72522
65230,Sergio Busquets,5,3,/sergio-busquets/profil/spieler/65230
95732,Martin Braithwaite,12,4,/martin-braithwaite/profil/spieler/95732
119905,Hugo Mallo,2,2,/hugo-mallo/profil/spieler/119905
199321,Rubén Blanco,13,1,/ruben-blanco/profil/spieler/199321
341110,Franco Cervi,11,4,/franco-cervi/profil/spieler/341110
282694,Augusto Solari,21,4,/augusto-solari/profil/spieler/282694
186399,Thiago Galhardo,7,4,/thiago-galhardo/profil/spieler/186399
523977,Miguel Baeza,16,3,/miguel-baeza/profil/spieler/523977
70934,Nolito,9,4,/nolito/profil/spieler/70934
144128,Matías Dituro,1,1,/matias-dituro/profil/spieler/144128
609361,Jose Fontán,19,2,/jose-fontan/profil/spieler/609361
221315,Kevin Vázquez,20,2,/kevin-vazquez/profil/spieler/221315
126540,Samuel Umtiti,23,2,/samuel-umtiti/profil/spieler/126540
548031,Yusuf Demir,11,4,/yusuf-demir/profil/spieler/548031
111819,Neto,13,1,/neto/profil/spieler/111819
282722,Álex Collado,0,4,/alex-collado/profil/spieler/282722
364240,Moussa Wagué,0,2,/moussa-wague/profil/spieler/364240
283170,Iñaki Peña,26,1,/inaki-pena/profil/spieler/283170
466805,Nico González,28,3,/nico-gonzalez/profil/spieler/466805
636688,Álex Balde,31,2,/alex-balde/profil/spieler/636688
646740,Gavi,30,3,/gavi/profil/spieler/646740
411975,Jules Koundé,23,2,/jules-kounde/profil/spieler/411975
329145,Diego Carlos,20,2,/diego-carlos/profil/spieler/329145
189441,Lucas Ocampos,5,4,/lucas-ocampos/profil/spieler/189441
433049,Youssef En-Nesyri,15,4,/youssef-en-nesyri/profil/spieler/433049
263727,Joan Jordán,8,3,/joan-jordan/profil/spieler/263727
111961,Suso,7,4,/suso/profil/spieler/111961
207834,Bono,13,1,/bono/profil/spieler/207834
402733,Gonzalo Montiel,2,2,/gonzalo-montiel/profil/spieler/402733
111630,Erik Lamela,17,4,/erik-lamela/profil/spieler/111630
60410,Marcos Acuña,19,2,/marcos-acuna/profil/spieler/60410
255508,Iñaki Williams,9,4,/inaki-williams/profil/spieler/255508
158863,Iñigo Martínez,4,2,/inigo-martinez/profil/spieler/158863
255488,Yeray Álvarez,5,2,/yeray-alvarez/profil/spieler/255488
262396,Unai Simón,1,1,/unai-simon/profil/spieler/262396
338285,Unai Núñez,3,2,/unai-nunez/profil/spieler/338285
338425,Álex Berenguer,7,4,/alex-berenguer/profil/spieler/338425
54235,Iker Muniain,10,3,/iker-muniain/profil/spieler/54235
61812,Yuri Berchiche,17,2,/yuri-berchiche/profil/spieler/61812
197545,Ander Capa,21,2,/ander-capa/profil/spieler/197545
455349,Jon Morcillo,11,4,/jon-morcillo/profil/spieler/455349
610083,Unai Vencedor,16,3,/unai-vencedor/profil/spieler/610083
251897,Asier Villalibre,20,4,/asier-villalibre/profil/spieler/251897
91849,Thomas Delaney,18,3,/thomas-delaney/profil/spieler/91849
214775,Óliver Torres,21,3,/oliver-torres/profil/spieler/214775
284884,Óscar Rodríguez,14,3,/oscar-rodriguez/profil/spieler/284884
361254,Rafa Mir,12,4,/rafa-mir/profil/spieler/361254
32467,Ivan Rakitic,10,3,/ivan-rakitic/profil/spieler/32467
170646,Ludwig Augustinsson,3,2,/ludwig-augustinsson/profil/spieler/170646
223725,Munir El Haddadi,11,4,/munir-el-haddadi/profil/spieler/223725
20005,Papu Gómez,24,4,/papu-gomez/profil/spieler/20005
94308,Marko Dmitrovic,1,1,/marko-dmitrovic/profil/spieler/94308
241391,Oussama Idrissi,22,4,/oussama-idrissi/profil/spieler/241391
74294,Nemanja Gudelj,6,3,/nemanja-gudelj/profil/spieler/74294
571020,Oihan Sancet,8,3,/oihan-sancet/profil/spieler/571020
178425,Dani García,14,3,/dani-garcia/profil/spieler/178425
447052,Peru Nolaskoain,23,3,/peru-nolaskoain/profil/spieler/447052
34601,Raúl García,22,4,/raul-garcia/profil/spieler/34601
96718,Óscar de Marcos,18,2,/oscar-de-marcos/profil/spieler/96718
300168,Mikel Vesga,6,3,/mikel-vesga/profil/spieler/300168
255501,Iñigo Lekue,15,2,/inigo-lekue/profil/spieler/255501
524000,Dani Vivian,12,2,/dani-vivian/profil/spieler/524000
709187,Nico Williams,30,4,/nico-williams/profil/spieler/709187
85258,Mikel Balenziaga,24,2,/mikel-balenziaga/profil/spieler/85258
16306,Casemiro,14,3,/casemiro/profil/spieler/16306
369081,Federico Valverde,15,3,/federico-valverde/profil/spieler/369081
108390,Thibaut Courtois,1,1,/thibaut-courtois/profil/spieler/108390
59016,David Alaba,4,2,/david-alaba/profil/spieler/59016
640428,Eduardo Camavinga,25,3,/eduardo-camavinga/profil/spieler/640428
291417,Ferland Mendy,23,2,/ferland-mendy/profil/spieler/291417
31909,Toni Kroos,8,3,/toni-kroos/profil/spieler/31909
50202,Eden Hazard,7,4,/eden-hazard/profil/spieler/50202
371998,Vinícius Júnior,20,4,/vinicius-junior/profil/spieler/371998
401530,Éder Militão,3,2,/eder-militao/profil/spieler/401530
296622,Marco Asensio,11,4,/marco-asensio/profil/spieler/296622
205503,Ibrahim Amadou,0,3,/ibrahim-amadou/profil/spieler/205503
51174,Fernando Reges,25,3,/fernando-reges/profil/spieler/51174
15956,Jesús Navas,16,2,/jesus-navas/profil/spieler/15956
182579,Karim Rekik,4,2,/karim-rekik/profil/spieler/182579
396107,Javi Díaz,31,1,/javi-diaz/profil/spieler/396107
399776,Pau Torres,4,2,/pau-torres/profil/spieler/399776
177467,Gerard Moreno,7,4,/gerard-moreno/profil/spieler/177467
126716,Paco Alcácer,9,4,/paco-alcacer/profil/spieler/126716
127032,Serge Aurier,25,2,/serge-aurier/profil/spieler/127032
356197,Alfonso Pedraza,24,2,/alfonso-pedraza/profil/spieler/356197
401922,Samuel Chukwueze,11,4,/samuel-chukwueze/profil/spieler/401922
