id,name,shirtNumber,positionId,position,club,link
937958,Lamine Yamal,10,4,Forward,FC Barcelona,/lamine-yamal/profil/spieler/937958
683840,Pedri,8,3,Midfield,FC Barcelona,/pedri/profil/spieler/683840
636703,Fermín López,16,3,Midfield,FC Barcelona,/fermin-lopez/profil/spieler/636703
962110,Pau Cubarsí,5,2,Defender,FC Barcelona,/pau-cubarsi/profil/spieler/962110
411295,Raphinha,11,4,Forward,FC Barcelona,/raphinha/profil/spieler/411295
411975,Jules Koundé,23,2,Defender,FC Barcelona,/jules-kounde/profil/spieler/411975
293385,Dani Olmo,20,3,Midfield,FC Barcelona,/dani-olmo/profil/spieler/293385
636688,Alejandro Balde,3,2,Defender,FC Barcelona,/alejandro-balde/profil/spieler/636688
398184,Ferran Torres,7,4,Forward,FC Barcelona,/ferran-torres/profil/spieler/398184
326330,Frenkie de Jong,21,3,Midfield,FC Barcelona,/frenkie-de-jong/profil/spieler/326330
258923,Marcus Rashford,14,4,Forward,FC Barcelona,/marcus-rashford/profil/spieler/258923
561613,Joan García,13,1,Goalkeeper,FC Barcelona,/joan-garcia/profil/spieler/561613
466794,Eric García,24,2,Defender,FC Barcelona,/eric-garcia/profil/spieler/466794
1018920,Marc Bernal,22,3,Midfield,FC Barcelona,/marc-bernal/profil/spieler/1018920
646740,Gavi,6,3,Midfield,FC Barcelona,/gavi/profil/spieler/646740
705395,Gerard Martín,18,2,Defender,FC Barcelona,/gerard-martin/profil/spieler/705395
636695,Marc Casadó,17,3,Midfield,FC Barcelona,/marc-casado/profil/spieler/636695
480267,Ronald Araujo,4,2,Defender,FC Barcelona,/ronald-araujo/profil/spieler/480267
792331,Roony Bardghji,19,4,Forward,FC Barcelona,/roony-bardghji/profil/spieler/792331
196948,Andreas Christensen,15,2,Defender,FC Barcelona,/andreas-christensen/profil/spieler/196948
182712,João Cancelo,2,2,Defender,FC Barcelona,/joao-cancelo/profil/spieler/182712
38253,Robert Lewandowski,9,4,Forward,FC Barcelona,/robert-lewandowski/profil/spieler/38253
44058,Wojciech Szczęsny,25,1,Goalkeeper,FC Barcelona,/wojciech-szczesny/profil/spieler/44058
938144,Diego Kochen,31,1,Goalkeeper,FC Barcelona,/diego-kochen/profil/spieler/938144
342229,Kylian Mbappé,10,4,Forward,Real Madrid,/kylian-mbappe/profil/spieler/342229
371998,Vinicius Junior,7,4,Forward,Real Madrid,/vinicius-junior/profil/spieler/371998
581678,Jude Bellingham,5,3,Midfield,Real Madrid,/jude-bellingham/profil/spieler/581678
369081,Federico Valverde,8,3,Midfield,Real Madrid,/federico-valverde/profil/spieler/369081
861410,Arda Güler,15,3,Midfield,Real Madrid,/arda-guler/profil/spieler/861410
413112,Aurélien Tchouaméni,14,3,Midfield,Real Madrid,/aurelien-tchouameni/profil/spieler/413112
890290,Dean Huijsen,24,2,Defender,Real Madrid,/dean-huijsen/profil/spieler/890290
314353,Trent Alexander-Arnold,12,2,Defender,Real Madrid,/trent-alexander-arnold/profil/spieler/314353
811778,Álvaro Carreras,18,2,Defender,Real Madrid,/alvaro-carreras/profil/spieler/811778
640428,Eduardo Camavinga,6,3,Midfield,Real Madrid,/eduardo-camavinga/profil/spieler/640428
412363,Rodrygo,11,4,Forward,Real Madrid,/rodrygo/profil/spieler/412363
1057316,Franco Mastantuono,30,4,Forward,Real Madrid,/franco-mastantuono/profil/spieler/1057316
314678,Brahim Díaz,21,4,Forward,Real Madrid,/brahim-diaz/profil/spieler/314678
935230,Gonzalo García,16,4,Forward,Real Madrid,/gonzalo-garcia/profil/spieler/935230
401530,Éder Militão,3,2,Defender,Real Madrid,/eder-militao/profil/spieler/401530
935245,Raúl Asencio,17,2,Defender,Real Madrid,/raul-asencio/profil/spieler/935245
1375227,Thiago Pitarch,45,3,Midfield,Real Madrid,/thiago-pitarch/profil/spieler/1375227
108390,Thibaut Courtois,1,1,Goalkeeper,Real Madrid,/thibaut-courtois/profil/spieler/108390
404839,Andriy Lunin,13,1,Goalkeeper,Real Madrid,/andriy-lunin/profil/spieler/404839
341264,Fran García,20,2,Defender,Real Madrid,/fran-garcia/profil/spieler/341264
86202,Antonio Rüdiger,22,2,Defender,Real Madrid,/antonio-rudiger/profil/spieler/86202
319745,Dani Ceballos,19,3,Midfield,Real Madrid,/dani-ceballos/profil/spieler/319745
1186235,Jorge Cestero,28,3,Midfield,Real Madrid,/jorge-cestero/profil/spieler/1186235
291417,Ferland Mendy,23,2,Defender,Real Madrid,/ferland-mendy/profil/spieler/291417
138927,Daniel Carvajal,2,2,Defender,Real Madrid,/daniel-carvajal/profil/spieler/138927
646824,Manuel Ángel,37,3,Midfield,Real Madrid,/manuel-angel/profil/spieler/646824
