player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
João Félix,#7,Second Striker,Atlético Madrid,LaLiga,4,-,1,1,1,-,,,211'
Rodrigo de Paul,#5,Central Midfield,Atlético Madrid,LaLiga,8,-,1,2,-,-,,,417'
Antoine Griezmann,#8,Second Striker,Atlético Madrid,LaLiga,9,-,-,-,-,-,,,626'
Jan Oblak,#13,Goalkeeper,Atlético Madrid,LaLiga,9,-,,-,-,-,8,3,810'
Koke,#6,Central Midfield,Atlético Madrid,LaLiga,6,-,-,1,-,-,,,515'
Yannick Carrasco,#21,Left Winger,Atlético Madrid,LaLiga,9,1,1,3,-,-,,,649'
José María Giménez,#2,Centre-Back,Atlético Madrid,LaLiga,6,-,-,3,-,-,,,538'
Marcos Llorente,#14,Central Midfield,Atlético Madrid,LaLiga,8,-,-,1,-,-,,,696'
Mario Hermoso,#22,Centre-Back,Atlético Madrid,LaLiga,8,-,1,2,-,1,,,548'
Luis Suárez,#9,Centre-Forward,Granada CF,LaLiga,9,2,-,3,-,-,,,662'
Darwin Machís,#11,Left Winger,Granada CF,LaLiga,6,-,-,-,-,-,,,359'
Stefan Savic,#15,Centre-Back,Atlético Madrid,LaLiga,8,-,-,2,-,-,,,720'
Ángel Correa,#10,Right Winger,Atlético Madrid,LaLiga,9,3,1,1,-,-,,,516'
Matheus Cunha,#19,Centre-Forward,Atlético Madrid,LaLiga,6,-,-,2,-,-,,,113'
Luis Abram,#18,Centre-Back,Granada CF,LaLiga,5,-,-,1,-,-,,,334'
Domingos Duarte,#22,Centre-Back,Granada CF,LaLiga,7,1,-,3,-,-,,,617'
Antonio Puertas,#10,Right Winger,Granada CF,LaLiga,7,-,-,2,-,-,,,429'
Santiago Arias,#2,Right-Back,Granada CF,LaLiga,3,-,-,1,-,-,,,199'
Carlos Neva,#15,Left-Back,Granada CF,LaLiga,9,-,-,1,-,-,,,746'
Monchu,#14,Central Midfield,Granada CF,LaLiga,8,-,-,2,-,-,,,388'
Luís Maximiano,#1,Goalkeeper,Granada CF,LaLiga,6,-,,1,-,-,7,2,527'
Renan Lodi,#12,Left-Back,Atlético Madrid,LaLiga,9,-,-,-,-,-,,,275'
Kieran Trippier,#23,Right-Back,Atlético Madrid,LaLiga,9,-,-,1,-,-,,,520'
Geoffrey Kondogbia,#4,Defensive Midfield,Atlético Madrid,LaLiga,7,-,-,5,-,-,,,380'
Benjamin Lecomte,#1,Goalkeeper,Atlético Madrid,Champions League,-,-,,-,-,-,-,-,-
Felipe,#18,Centre-Back,Atlético Madrid,LaLiga,4,-,-,1,-,-,,,279'
Thomas Lemar,#11,Attacking Midfield,Atlético Madrid,LaLiga,6,2,2,2,-,-,,,386'
Luis Milla,#5,Central Midfield,Granada CF,LaLiga,8,1,1,1,-,-,,,604'
Ivan Saponjic,#17,Centre-Forward,Atlético Madrid,LaLiga,-,-,-,-,-,-,,,-
Sime Vrsaljko,#24,Right-Back,Atlético Madrid,LaLiga,3,-,1,-,-,-,,,22'
Alberto Soro,#7,Right Winger,Granada CF,LaLiga,4,-,-,-,-,-,,,217'
Carlos Bacca,#20,Centre-Forward,Granada CF,LaLiga,7,-,1,2,-,-,,,395'
Ángel Montoro,#19,Central Midfield,Granada CF,LaLiga,9,1,-,2,-,-,,,559'
Héctor Herrera,#16,Central Midfield,Atlético Madrid,LaLiga,4,-,-,1,-,-,,,165'
Víctor Díaz,#16,Right-Back,Granada CF,LaLiga,5,-,-,-,-,-,,,246'
Germán Sánchez,#6,Centre-Back,Granada CF,LaLiga,8,1,-,3,-,-,,,531'
Quini,#17,Right-Back,Granada CF,LaLiga,5,-,-,4,-,-,,,368'
João Costa,,Goalkeeper,Granada CF,,,,,,,,,,
Rubén Rochina,#21,Right Winger,Granada CF,LaLiga,5,1,2,2,-,-,,,284'
Jorge Molina,#23,Centre-Forward,Granada CF,LaLiga,7,-,-,-,-,-,,,191'
Pedri,#16,Central Midfield,Barcelona,Champions League,2,-,-,-,-,-,,,158'
Frenkie de Jong,#21,Central Midfield,Barcelona,LaLiga,8,-,2,-,1,-,,,663'
Ansu Fati,#10,Left Winger,Barcelona,LaLiga,4,2,1,-,-,-,,,168'
Ousmane Dembélé,#7,Right Winger,Barcelona,,,,,,,,,,
Memphis Depay,#9,Centre-Forward,Barcelona,LaLiga,9,4,2,1,-,-,,,810'
Philippe Coutinho,#14,Attacking Midfield,Barcelona,LaLiga,6,1,-,-,-,-,,,280'
Clément Lenglet,#15,Centre-Back,Barcelona,LaLiga,4,-,-,1,-,-,,,95'
Ronald Araújo,#4,Centre-Back,Barcelona,LaLiga,7,1,-,2,-,-,,,435'
Neyder Lozano,,Centre-Back,Granada CF,,,,,,,,,,
Renato Tapia,#14,Defensive Midfield,Celta de Vigo,LaLiga,8,-,-,3,-,-,,,589'
Santi Mina,#22,Centre-Forward,Celta de Vigo,LaLiga,10,4,3,1,-,-,,,863'
Brais Méndez,#23,Right Winger,Celta de Vigo,LaLiga,10,1,2,4,-,-,,,746'
Aarón Escandell,#13,Goalkeeper,Granada CF,LaLiga,4,-,,1,-,-,6,1,283'
Fran Beltrán,#8,Central Midfield,Celta de Vigo,LaLiga,10,-,-,-,-,-,,,498'
Iago Aspas,#10,Centre-Forward,Celta de Vigo,LaLiga,10,3,1,3,-,-,,,868'
Okay Yokuslu,#5,Defensive Midfield,Celta de Vigo,LaLiga,4,-,-,-,-,-,,,17'
Sergiño Dest,#2,Right-Back,Barcelona,LaLiga,9,-,3,-,-,-,,,702'
Jeison Murillo,#24,Centre-Back,Celta de Vigo,LaLiga,7,-,-,2,-,-,,,610'
Néstor Araújo,#4,Centre-Back,Celta de Vigo,LaLiga,8,-,-,2,-,-,,,650'
Joseph Aidoo,#15,Centre-Back,Celta de Vigo,LaLiga,5,-,-,1,-,-,,,248'
Javi Galán,#17,Left-Back,Celta de Vigo,LaLiga,10,-,-,-,-,-,,,899'
Eric García,#24,Centre-Back,Barcelona,LaLiga,6,-,-,1,-,1,,,533'
Sergi Roberto,#20,Central Midfield,Barcelona,LaLiga,8,2,1,1,-,-,,,338'
Sergio Agüero,#19,Centre-Forward,Barcelona,LaLiga,2,1,-,-,-,-,,,19'
Riqui Puig,#6,Central Midfield,Barcelona,LaLiga,4,-,-,-,-,-,,,72'
Sergio Escudero,#3,Left-Back,Granada CF,LaLiga,5,-,1,-,-,-,,,102'
Gerard Piqué,#3,Centre-Back,Barcelona,LaLiga,8,1,-,2,-,-,,,586'
Luuk de Jong,#17,Centre-Forward,Barcelona,LaLiga,5,1,-,-,-,-,,,213'
Sergio Busquets,#5,Defensive Midfield,Barcelona,LaLiga,9,-,-,3,-,-,,,787'
Martin Braithwaite,#12,Centre-Forward,Barcelona,LaLiga,3,2,1,-,-,-,,,226'
Óscar Mingueza,#22,Centre-Back,Barcelona,LaLiga,7,-,-,1,-,-,,,364'
Yan Eteki,#8,Central Midfield,Granada CF,LaLiga,3,-,-,-,-,-,,,63'
Franco Cervi,#11,Left Winger,Celta de Vigo,LaLiga,10,1,-,-,-,-,,,329'
Augusto Solari,#21,Right Winger,Celta de Vigo,LaLiga,7,-,-,2,-,-,,,182'
Miguel Baeza,#16,Attacking Midfield,Celta de Vigo,LaLiga,1,-,-,-,-,-,,,1'
Thiago Galhardo,#7,Centre-Forward,Celta de Vigo,LaLiga,7,-,1,1,-,-,,,141'
Nolito,#9,Left Winger,Celta de Vigo,LaLiga,10,-,-,1,-,-,,,569'
Jordi Alba,#18,Left-Back,Barcelona,LaLiga,5,-,1,1,-,-,,,450'
Jose Fontán,#19,Centre-Back,Celta de Vigo,LaLiga,2,-,-,1,-,-,,,135'
Kevin Vázquez,#20,Right-Back,Celta de Vigo,LaLiga,1,-,-,-,-,-,,,90'
Denis Suárez,#6,Attacking Midfield,Celta de Vigo,LaLiga,10,1,-,1,-,-,,,646'
Samuel Umtiti,#23,Centre-Back,Barcelona,Champions League,-,-,-,-,-,-,,,-
Neto,#13,Goalkeeper,Barcelona,LaLiga,2,-,,-,-,-,3,-,180'
Álex Collado,,Right Winger,Barcelona,,,,,,,,,,
Moussa Wagué,,Right-Back,Barcelona,,,,,,,,,,
Maxime Gonalons,#4,Defensive Midfield,Granada CF,LaLiga,9,-,-,4,-,-,,,616'
Nico González,#6,Defensive Midfield,Barcelona B,LaLiga,6,-,-,1,-,-,,,194'
Álex Balde,#25,Left-Back,Barcelona B,Primera Div. R.F.E.F. - Gr. II,2,-,-,1,-,-,,,168'
Jules Koundé,#23,Centre-Back,Sevilla FC,LaLiga,7,-,-,-,-,-,,,630'
Diego Carlos,#20,Centre-Back,Sevilla FC,LaLiga,8,1,-,-,1,-,,,720'
Lucas Ocampos,#5,Left Winger,Sevilla FC,LaLiga,6,-,-,1,-,-,,,307'
Youssef En-Nesyri,#15,Centre-Forward,Sevilla FC,LaLiga,6,3,1,-,-,-,,,440'
Joan Jordán,#8,Central Midfield,Sevilla FC,LaLiga,9,-,1,2,-,-,,,547'
Suso,#7,Right Winger,Sevilla FC,LaLiga,6,-,1,-,-,-,,,312'
Bono,#13,Goalkeeper,Sevilla FC,LaLiga,7,-,,-,-,-,3,4,630'
Gonzalo Montiel,#2,Right-Back,Sevilla FC,Liga Profesional,4,-,-,-,-,-,,,290'
Erik Lamela,#17,Right Winger,Sevilla FC,LaLiga,9,3,1,3,-,-,,,396'
Marcos Acuña,#19,Left-Back,Sevilla FC,LaLiga,8,-,1,1,-,-,,,553'
Iñaki Williams,#9,Centre-Forward,Athletic,LaLiga,10,3,1,-,-,-,,,781'
Iñigo Martínez,#4,Centre-Back,Athletic,LaLiga,9,2,-,2,-,-,,,810'
Yeray Álvarez,#5,Centre-Back,Athletic,LaLiga,1,-,-,1,-,-,,,90'
Unai Simón,#1,Goalkeeper,Athletic,LaLiga,8,-,,1,-,-,5,4,720'
Unai Núñez,#3,Centre-Back,Athletic,LaLiga,2,-,-,1,-,-,,,122'
Marc-André ter Stegen,#1,Goalkeeper,Barcelona,LaLiga,7,-,,-,-,-,7,2,630'
Álex Berenguer,#7,Left Winger,Athletic,LaLiga,10,-,1,3,-,-,,,697'
Iker Muniain,#10,Left Winger,Athletic,LaLiga,10,1,3,1,-,-,,,759'
Ander Capa,#21,Right-Back,Athletic,LaLiga,-,-,-,-,-,-,,,-
Gavi,#30,Central Midfield,Barcelona,LaLiga,7,-,1,3,-,-,,,431'
Jon Morcillo,#11,Left Winger,Athletic,LaLiga,4,-,-,-,-,-,,,37'
Hugo Mallo,#2,Right-Back,Celta de Vigo,LaLiga,9,-,-,2,1,-,,,810'
Iñaki Peña,#26,Goalkeeper,Barcelona,Primera Div. R.F.E.F. - Gr. II,5,-,,-,-,-,2,3,450'
Thomas Delaney,#18,Defensive Midfield,Sevilla FC,LaLiga,6,-,1,-,1,-,,,261'
Asier Villalibre,#20,Centre-Forward,Athletic,LaLiga,6,-,-,-,-,-,,,181'
Óscar Rodríguez,#14,Attacking Midfield,Sevilla FC,LaLiga,7,-,-,1,-,-,,,316'
Rafa Mir,#12,Centre-Forward,Sevilla FC,LaLiga,8,4,-,1,-,-,,,395'
Ivan Rakitic,#10,Central Midfield,Sevilla FC,LaLiga,7,-,-,3,-,-,,,362'
Ludwig Augustinsson,#3,Left-Back,Sevilla FC,LaLiga,2,-,1,-,-,-,,,168'
Munir El Haddadi,#11,Centre-Forward,Sevilla FC,LaLiga,2,1,-,-,-,-,,,113'
Papu Gómez,#24,Second Striker,Sevilla FC,LaLiga,6,1,-,1,-,-,,,332'
Oussama Idrissi,#22,Left Winger,Sevilla FC,LaLiga,3,-,1,1,-,-,,,71'
Matías Dituro,#1,Goalkeeper,Celta de Vigo,LaLiga,10,-,,-,-,-,12,4,900'
Nemanja Gudelj,#6,Defensive Midfield,Sevilla FC,LaLiga,3,-,-,1,-,-,,,104'
Oihan Sancet,#8,Attacking Midfield,Athletic,LaLiga,6,-,1,-,-,-,,,332'
Yusuf Demir,#11,Right Winger,Barcelona,LaLiga,4,-,-,-,-,-,,,157'
Peru Nolaskoain,#23,Defensive Midfield,Athletic,,,,,,,,,,
Raúl García,#22,Centre-Forward,Athletic,LaLiga,9,2,-,1,-,-,,,475'
Yuri Berchiche,#17,Left-Back,Athletic,,,,,,,,,,
Óscar de Marcos,#18,Right-Back,Athletic,LaLiga,4,-,-,1,-,-,,,269'
Dani García,#14,Central Midfield,Athletic,LaLiga,10,-,-,4,-,-,,,702'
Dani Vivian,#12,Centre-Back,Athletic,LaLiga,9,1,-,-,-,-,,,778'
Nico Williams,#30,Right Winger,Athletic,LaLiga,10,-,-,1,-,-,,,306'
Unai Vencedor,#16,Central Midfield,Athletic,LaLiga,10,-,-,1,-,-,,,711'
Casemiro,#14,Defensive Midfield,Real Madrid,LaLiga,8,-,1,2,-,-,,,636'
Mikel Vesga,#6,Defensive Midfield,Athletic,LaLiga,10,-,-,-,-,-,,,249'
Federico Valverde,#15,Central Midfield,Real Madrid,LaLiga,9,-,1,-,-,-,,,716'
David Alaba,#4,Centre-Back,Real Madrid,LaLiga,8,1,2,-,-,-,,,720'
Eduardo Camavinga,#25,Central Midfield,Real Madrid,LaLiga,5,1,-,3,-,-,,,196'
Ferland Mendy,#23,Left-Back,Real Madrid,Champions League,1,-,-,-,-,-,,,69'
Toni Kroos,#8,Central Midfield,Real Madrid,Champions League,2,-,-,-,-,-,,,102'
Eden Hazard,#7,Left Winger,Real Madrid,LaLiga,7,-,1,1,-,-,,,316'
Vinícius Júnior,#20,Left Winger,Real Madrid,LaLiga,9,5,3,3,-,-,,,650'
