player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
1038950,Karl Etta Eyong,#21,Forward,Levante UD,La Liga,31,7,4,3,-,-,,,1.663'
668179,Carlos Álvarez,#24,Midfield,Levante UD,La Liga,30,3,1,3,-,-,,,1.898'
628886,Iván Romero,#9,Forward,Levante UD,La Liga,30,7,2,5,-,-,,,2.112'
618809,Manu Sánchez,#23,Defender,Levante UD,La Liga,31,1,2,8,-,-,,,2.638'
1144700,Matías Moreno,#2,Defender,Levante UD,La Liga,26,-,-,8,-,-,,,2.076'
861981,Alan Matturro,#3,Defender,Levante UD,La Liga,19,1,1,-,-,1,,,941'
341263,Adrián Dela,#4,Defender,Levante UD,La Liga,31,3,1,5,-,-,,,2.530'
707230,Ugo Raghouber,#14,Midfield,Levante UD,La Liga,14,-,-,1,-,-,,,692'
1063338,Carlos Espí,#19,Forward,Levante UD,La Liga,23,9,-,3,-,-,,,1.159'
129674,Jeremy Toljan,#22,Defender,Levante UD,La Liga,35,1,4,7,-,-,,,3.060'
568835,Pablo Martínez,#10,Midfield,Levante UD,La Liga,25,1,4,3,-,-,,,1.688'
557057,Roger Brugué,#7,Forward,Levante UD,La Liga,18,1,1,1,-,-,,,987'
128969,Mathew Ryan,#13,Goalkeeper,Levante UD,La Liga,34,-,,3,-,-,54,8,3.060'
610083,Unai Vencedor,#12,Midfield,Levante UD,La Liga,16,-,-,3,-,1,,,818'
625660,Jon Ander Olasagasti,#8,Midfield,Levante UD,La Liga,31,1,4,2,-,1,,,1.562'
293388,Oriol Rey,#20,Midfield,Levante UD,La Liga,19,-,1,3,-,-,,,1.274'
617059,Pablo Campos,#1,Goalkeeper,Levante UD,La Liga,2,-,,-,-,-,5,-,180'
526050,Kervin Arriaga,#16,Midfield,Levante UD,La Liga,25,2,3,5,1,-,,,1.391'
632741,Iker Losada,#18,Forward,Levante UD,La Liga,21,3,1,1,-,-,,,821'
1232057,Paco Cortés,#27,Forward,Levante UD,La Liga,12,-,-,2,-,-,,,471'
590690,Víctor García,#17,Defender,Levante UD,La Liga,21,2,1,1,-,-,,,1.040'
1063340,Kareem Tunde,#26,Forward,Levante UD,La Liga,19,-,1,3,-,-,,,1.097'
505493,Diego Pampín,#6,Defender,Levante UD,La Liga,8,-,-,3,-,-,,,534'
921345,Tay Abed,#55,Forward,Levante UD,La Liga,6,-,-,-,-,-,,,42'
255495,Unai Elgezabal,#5,Defender,Levante UD,La Liga,12,1,-,2,-,-,,,958'
252677,José Luis Morales,#11,Forward,Levante UD,La Liga,20,1,1,1,-,-,,,346'
