rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,FC Barcelona,https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,33,28,1,4,87:30,57,85,WWWWW
2,Real Madrid,https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,33,23,5,5,68:31,37,74,WLDDW
3,Villarreal CF,https://tmssl.akamaized.net//images/wappen/head/1050.png?lm=1408655310,33,20,5,8,59:38,21,65,WLWWD
4,Atlético de Madrid,https://tmssl.akamaized.net//images/wappen/head/13.png?lm=1719915566,33,18,6,9,56:37,19,60,LLLWL
5,Real Betis Balompié,https://tmssl.akamaized.net//images/wappen/head/150.png?lm=1663358526,33,12,14,7,49:41,8,50,LDDDW
6,Celta de Vigo,https://tmssl.akamaized.net//images/wappen/head/940.png?lm=1406966406,33,11,11,11,45:43,2,44,LWLLL
7,Getafe CF,https://tmssl.akamaized.net//images/wappen/head/3709.png?lm=1408655116,33,13,5,15,28:34,-6,44,WWLLW
8,Real Sociedad,https://tmssl.akamaized.net//images/wappen/head/681.png?lm=1614795530,33,11,10,12,52:52,0,43,LWDDL
9,CA Osasuna,https://tmssl.akamaized.net//images/wappen/head/331.png?lm=1686070937,33,11,9,13,39:40,-1,42,WDDWL
10,Athletic Bilbao,https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,33,12,5,16,36:48,-12,41,WLLLW
11,Rayo Vallecano,https://tmssl.akamaized.net//images/wappen/head/367.png?lm=1653488445,33,9,12,12,33:41,-8,39,LWLDW
12,Valencia CF,https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320,33,10,9,14,37:48,-11,39,WLLWD
13,RCD Espanyol Barcelona,https://tmssl.akamaized.net//images/wappen/head/714.png?lm=1406966369,33,10,9,14,37:49,-12,39,LDLDL
14,Elche CF,https://tmssl.akamaized.net//images/wappen/head/1531.png?lm=1421955260,33,9,11,13,44:50,-6,38,WLWWW
15,Girona FC,https://tmssl.akamaized.net//images/wappen/head/12321.png?lm=1730455718,33,9,11,13,36:50,-14,38,LWDLL
16,Deportivo Alavés,https://tmssl.akamaized.net//images/wappen/head/1108.png?lm=1596131395,33,9,9,15,38:49,-11,36,WDDWL
17,RCD Mallorca,https://tmssl.akamaized.net//images/wappen/head/237.png?lm=1407484750,33,9,8,16,41:51,-10,35,LWWLD
18,Sevilla FC,https://tmssl.akamaized.net//images/wappen/head/368.png?lm=1730896593,33,9,7,17,40:55,-15,34,LLWLL
19,Levante UD,https://tmssl.akamaized.net//images/wappen/head/3368.png?lm=1408655062,33,8,9,16,37:50,-13,33,WLWDW
20,Real Oviedo,https://tmssl.akamaized.net//images/wappen/head/2497.png?lm=1417193316,33,6,10,17,26:51,-25,28,LWWLD
