group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,Real Madrid,https://img.a.transfermarkt.technology/wappen/big/418.png?lm=4711,3,3,0,0,10:2,8,9,WWW
,2,Atlético de Madrid,https://img.a.transfermarkt.technology/wappen/big/13.png?lm=4711,3,2,1,0,7:3,4,7,WDW
,3,Deportivo Alavés,https://img.a.transfermarkt.technology/wappen/big/1108.png?lm=4711,3,2,1,0,5:1,4,7,WDW
,4,FC Barcelona,https://img.a.transfermarkt.technology/wappen/big/131.png?lm=4711,2,2,0,0,7:0,7,6,WW
,5,Sevilla FC,https://img.a.transfermarkt.technology/wappen/big/368.png?lm=4711,3,2,0,1,6:5,1,6,WWL
,6,Real Betis Balompié,https://img.a.transfermarkt.technology/wappen/big/150.png?lm=4711,3,2,0,1,4:5,-1,6,WWL
,7,Deportivo A Coruña,https://img.a.transfermarkt.technology/wappen/big/897.png?lm=4711,3,1,2,0,5:3,2,5,DDW
,8,CA Osasuna,https://img.a.transfermarkt.technology/wappen/big/331.png?lm=4711,2,1,1,0,2:1,1,4,WD
,9,Levante UD,https://img.a.transfermarkt.technology/wappen/big/3368.png?lm=4711,3,1,1,1,5:5,0,4,LDW
,10,Racing Santander,https://img.a.transfermarkt.technology/wappen/big/630.png?lm=4711,3,1,1,1,5:5,0,4,DLW
,11,RCD Espanyol Barcelona,https://img.a.transfermarkt.technology/wappen/big/714.png?lm=4711,3,1,0,2,5:4,1,3,WLL
,12,Athletic Bilbao,https://img.a.transfermarkt.technology/wappen/big/621.png?lm=4711,3,1,0,2,3:5,-2,3,LLW
,13,Getafe CF,https://img.a.transfermarkt.technology/wappen/big/3709.png?lm=4711,2,1,0,1,1:3,-2,3,LW
,14,Real Sociedad,https://img.a.transfermarkt.technology/wappen/big/681.png?lm=4711,3,1,0,2,3:6,-3,3,LLW
,15,Villarreal CF,https://img.a.transfermarkt.technology/wappen/big/1050.png?lm=4711,3,0,2,1,4:5,-1,2,DDL
,16,Rayo Vallecano,https://img.a.transfermarkt.technology/wappen/big/367.png?lm=4711,2,0,1,1,2:3,-1,1,LD
,17,Celta de Vigo,https://img.a.transfermarkt.technology/wappen/big/940.png?lm=4711,3,0,1,2,1:4,-3,1,LDL
,18,Valencia CF,https://img.a.transfermarkt.technology/wappen/big/1049.png?lm=4711,3,0,1,2,1:4,-3,1,LDL
,19,Elche CF,https://img.a.transfermarkt.technology/wappen/big/1531.png?lm=4711,3,0,1,2,3:9,-6,1,DLL
,20,Málaga CF,https://img.a.transfermarkt.technology/wappen/big/1084.png?lm=4711,3,0,1,2,1:7,-6,1,LDL
