id,name,link
13,Atlético de Madrid,/atletico-de-madrid/startseite/verein/13
131,FC Barcelona,/fc-barcelona/startseite/verein/131
418,Real Madrid,/real-madrid/startseite/verein/418
368,Sevilla FC,/sevilla-fc/startseite/verein/368
681,Real Sociedad,/real-sociedad/startseite/verein/681
1050,Villarreal CF,/villarreal-cf/startseite/verein/1050
150,Real Betis Balompié,/real-betis-balompie/startseite/verein/150
621,Athletic Bilbao,/athletic-bilbao/startseite/verein/621
16795,Granada CF,/granada-cf/startseite/verein/16795
940,Celta de Vigo,/celta-de-vigo/startseite/verein/940
2687,Cádiz CF,/cadiz-cf/startseite/verein/2687
714,RCD Espanyol Barcelona,/rcd-espanyol-barcelona/startseite/verein/714
331,CA Osasuna,/ca-osasuna/startseite/verein/331
3368,Levante UD,/levante-ud/startseite/verein/3368
1049,Valencia CF,/valencia-cf/startseite/verein/1049
3709,Getafe CF,/getafe-cf/startseite/verein/3709
1108,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108
1531,Elche CF,/elche-cf/startseite/verein/1531
237,RCD Mallorca,/rcd-mallorca/startseite/verein/237
367,Rayo Vallecano,/rayo-vallecano/startseite/verein/367
