id,name,link,rank,played,wins,draws,losses,goals,diff,points
131,FC Barcelona,/fc-barcelona/startseite/verein/131,1,30,25,1,4,80:29,51,76
418,Real Madrid,/real-madrid/startseite/verein/418,2,30,22,3,5,64:28,36,69
1050,Villarreal CF,/fc-villarreal/startseite/verein/1050,3,30,18,4,8,54:35,19,58
13,Atlético de Madrid,/atletico-madrid/startseite/verein/13,4,30,17,6,7,50:30,20,57
150,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,5,30,11,12,7,44:37,7,45
940,Celta de Vigo,/celta-vigo/startseite/verein/940,6,30,11,11,8,44:37,7,44
681,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,7,30,11,8,11,46:45,1,41
3709,Getafe CF,/fc-getafe/startseite/verein/3709,8,30,12,5,13,27:31,-4,41
331,CA Osasuna,/ca-osasuna/startseite/verein/331,9,30,10,8,12,36:37,-1,38
714,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,10,30,10,8,12,36:44,-8,38
621,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,11,30,11,5,14,32:43,-11,38
12321,Girona FC,/fc-girona/startseite/verein/12321,12,30,9,10,11,32:44,-12,37
367,Rayo Vallecano,/rayo-vallecano/startseite/verein/367,13,30,8,11,11,29:35,-6,35
1049,Valencia CF,/fc-valencia/startseite/verein/1049,14,30,9,8,13,34:45,-11,35
1108,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,15,30,8,8,14,32:43,-11,32
237,RCD Mallorca,/rcd-mallorca/startseite/verein/237,16,30,8,7,15,36:48,-12,31
368,Sevilla FC,/fc-sevilla/startseite/verein/368,17,30,8,7,15,37:50,-13,31
1531,Elche CF,/fc-elche/startseite/verein/1531,18,30,6,11,13,38:47,-9,29
3368,Levante UD,/ud-levante/startseite/verein/3368,19,30,6,8,16,34:50,-16,26
2497,Real Oviedo,/real-oviedo/startseite/verein/2497,20,30,5,9,16,21:48,-27,24
