id,name,shirtNumber,positionId,link
533738,Jonathan David,9,4,/jonathan-david/profil/spieler/533738
258027,Renato Sanches,18,3,/renato-sanches/profil/spieler/258027
324690,Jonathan Ikoné,10,4,/jonathan-ikone/profil/spieler/324690
361093,Sven Botman,4,2,/sven-botman/profil/spieler/361093
292818,Jonathan Bamba,7,4,/jonathan-bamba/profil/spieler/292818
251075,Zeki Celik,2,2,/zeki-celik/profil/spieler/251075
386726,Yusuf Yazici,11,3,/yusuf-yazici/profil/spieler/386726
84301,Benjamin André,21,3,/benjamin-andre/profil/spieler/84301
370846,Timothy Weah,22,4,/timothy-weah/profil/spieler/370846
240692,Reinildo Mandava,28,2,/reinildo-mandava/profil/spieler/240692
290256,Xeka,8,3,/xeka/profil/spieler/290256
357796,Domagoj Bradaric,29,2,/domagoj-bradaric/profil/spieler/357796
418659,Amine Gouiri,11,4,/amine-gouiri/profil/spieler/418659
283196,Kasper Dolberg,9,4,/kasper-dolberg/profil/spieler/283196
122797,Andy Delort,7,4,/andy-delort/profil/spieler/122797
416108,Youcef Atal,20,2,/youcef-atal/profil/spieler/416108
330659,Justin Kluivert,21,4,/justin-kluivert/profil/spieler/330659
409344,Calvin Stengs,22,4,/calvin-stengs/profil/spieler/409344
384593,Alexis Claude-Maurice,10,3,/alexis-claude-maurice/profil/spieler/384593
605184,Jean-Clair Todibo,25,2,/jean-clair-todibo/profil/spieler/605184
170934,Mario Lemina,18,3,/mario-lemina/profil/spieler/170934
296802,Walter Benítez,40,1,/walter-benitez/profil/spieler/296802
463618,Khéphren Thuram,19,3,/khephren-thuram/profil/spieler/463618
392770,Angel Gomes,20,3,/angel-gomes/profil/spieler/392770
420465,Tiago Djaló,3,2,/tiago-djalo/profil/spieler/420465
557610,Isaac Lihadji,19,4,/isaac-lihadji/profil/spieler/557610
226073,Ivo Grbic,1,1,/ivo-grbic/profil/spieler/226073
288415,Léo Jardim,30,1,/leo-jardim/profil/spieler/288415
485706,Amadou Onana,24,3,/amadou-onana/profil/spieler/485706
34987,Burak Yilmaz,17,4,/burak-yilmaz/profil/spieler/34987
362108,Gabriel Gudmundsson,5,2,/gabriel-gudmundsson/profil/spieler/362108
33829,José Fonte,6,2,/jose-fonte/profil/spieler/33829
60583,Jérémy Pied,26,2,/jeremy-pied/profil/spieler/60583
644032,Cheikh Niasse,27,3,/cheikh-niasse/profil/spieler/644032
290017,Hassane Kamara,13,2,/hassane-kamara/profil/spieler/290017
56818,Morgan Schneiderlin,6,3,/morgan-schneiderlin/profil/spieler/56818
313094,Jordan Lotomba,23,2,/jordan-lotomba/profil/spieler/313094
322655,Flavius Daniliuc,5,2,/flavius-daniliuc/profil/spieler/322655
370791,Pablo Rosario,8,3,/pablo-rosario/profil/spieler/370791
532775,Melvin Bard,26,2,/melvin-bard/profil/spieler/532775
560593,Hicham Boudaoui,28,4,/hicham-boudaoui/profil/spieler/560593
458715,Robson Bambu,3,2,/robson-bambu/profil/spieler/458715
495667,Lucas Da Cunha,29,4,/lucas-da-cunha/profil/spieler/495667
500689,Evann Guessand,24,4,/evann-guessand/profil/spieler/500689
16136,Dante,4,2,/dante/profil/spieler/16136
258267,Adam Jakubech,16,1,/adam-jakubech/profil/spieler/258267
16408,Orestis Karnezis,0,1,/orestis-karnezis/profil/spieler/16408
704553,Eugenio Pizzuto,15,3,/eugenio-pizzuto/profil/spieler/704553
465955,Marcin Bulka,1,1,/marcin-bulka/profil/spieler/465955
412095,Ihsan Sacko,0,3,/ihsan-sacko/profil/spieler/412095
586599,Deji Sotona,34,4,/deji-sotona/profil/spieler/586599
789419,Teddy Boulhendi,16,1,/teddy-boulhendi/profil/spieler/789419
486049,Jérémy Doku,11,4,/jeremy-doku/profil/spieler/486049
181378,Gaëtan Laborde,24,4,/gaetan-laborde/profil/spieler/181378
266359,Benjamin Bourigeaud,14,3,/benjamin-bourigeaud/profil/spieler/266359
285323,Baptiste Santamaria,8,3,/baptiste-santamaria/profil/spieler/285323
387106,Lovro Majer,21,3,/lovro-majer/profil/spieler/387106
442891,Martin Terrier,7,4,/martin-terrier/profil/spieler/442891
270541,Serhou Guirassy,9,4,/serhou-guirassy/profil/spieler/270541
654539,Adrien Truffert,3,2,/adrien-truffert/profil/spieler/654539
730581,Loïc Badé,4,2,/loic-bade/profil/spieler/730581
746695,Kamaldeen Sulemana,10,4,/kamaldeen-sulemana/profil/spieler/746695
297070,Hamari Traoré,27,2,/hamari-traore/profil/spieler/297070
