id,name,shirtNumber,positionId,position,club,link
487469,Vitinha,17,3,Midfield,Paris Saint-Germain,/vitinha/profil/spieler/487469
670681,João Neves,87,3,Midfield,Paris Saint-Germain,/joao-neves/profil/spieler/670681
288230,Ousmane Dembélé,10,4,Forward,Paris Saint-Germain,/ousmane-dembele/profil/spieler/288230
914562,Désiré Doué,14,4,Forward,Paris Saint-Germain,/desire-doue/profil/spieler/914562
502670,Khvicha Kvaratskhelia,7,4,Forward,Paris Saint-Germain,/khvicha-kvaratskhelia/profil/spieler/502670
398073,Achraf Hakimi,2,2,Defender,Paris Saint-Germain,/achraf-hakimi/profil/spieler/398073
616341,Nuno Mendes,25,2,Defender,Paris Saint-Germain,/nuno-mendes/profil/spieler/616341
661171,Willian Pacho,51,2,Defender,Paris Saint-Germain,/willian-pacho/profil/spieler/661171
708265,Bradley Barcola,29,4,Forward,Paris Saint-Germain,/bradley-barcola/profil/spieler/708265
810092,Warren Zaïre-Emery,33,3,Midfield,Paris Saint-Germain,/warren-zaire-emery/profil/spieler/810092
659089,Ilya Zabarnyi,6,2,Defender,Paris Saint-Germain,/ilya-zabarnyi/profil/spieler/659089
350219,Fabián Ruiz,8,3,Midfield,Paris Saint-Germain,/fabian-ruiz/profil/spieler/350219
903693,Senny Mayulu,24,3,Midfield,Paris Saint-Germain,/senny-mayulu/profil/spieler/903693
550550,Gonçalo Ramos,9,4,Forward,Paris Saint-Germain,/goncalo-ramos/profil/spieler/550550
1185888,Ibrahim Mbaye,49,4,Forward,Paris Saint-Germain,/ibrahim-mbaye/profil/spieler/1185888
181767,Marquinhos,5,2,Defender,Paris Saint-Germain,/marquinhos/profil/spieler/181767
463600,Lucas Chevalier,30,1,Goalkeeper,Paris Saint-Germain,/lucas-chevalier/profil/spieler/463600
557149,Kang-in Lee,19,3,Midfield,Paris Saint-Germain,/kang-in-lee/profil/spieler/557149
318470,Matvey Safonov,39,1,Goalkeeper,Paris Saint-Germain,/matvey-safonov/profil/spieler/318470
872171,Lucas Beraldo,4,2,Defender,Paris Saint-Germain,/lucas-beraldo/profil/spieler/872171
281963,Lucas Hernández,21,2,Defender,Paris Saint-Germain,/lucas-hernandez/profil/spieler/281963
1071596,Dro Fernández,27,3,Midfield,Paris Saint-Germain,/dro-fernandez/profil/spieler/1071596
1053208,Quentin Ndjantou,47,4,Forward,Paris Saint-Germain,/quentin-ndjantou/profil/spieler/1053208
1041614,Renato Marin,89,1,Goalkeeper,Paris Saint-Germain,/renato-marin/profil/spieler/1041614
808348,Mamadou Sangaré,8,3,Midfield,RC Lens,/mamadou-sangare/profil/spieler/808348
743515,Robin Risser,40,1,Goalkeeper,RC Lens,/robin-risser/profil/spieler/743515
655217,Samson Baidoo,6,2,Defender,RC Lens,/samson-baidoo/profil/spieler/655217
344596,Malang Sarr,20,2,Defender,RC Lens,/malang-sarr/profil/spieler/344596
344152,Odsonne Édouard,11,4,Forward,RC Lens,/odsonne-edouard/profil/spieler/344152
1020191,Ismaëlo Ganiou,25,2,Defender,RC Lens,/ismaelo-ganiou/profil/spieler/1020191
272642,Allan Saint-Maximin,9,4,Forward,RC Lens,/allan-saint-maximin/profil/spieler/272642
1160814,Rayan Fofana,38,4,Forward,RC Lens,/rayan-fofana/profil/spieler/1160814
344886,Matthieu Udol,14,2,Defender,RC Lens,/matthieu-udol/profil/spieler/344886
182916,Wesley Saïd,22,4,Forward,RC Lens,/wesley-said/profil/spieler/182916
402008,Amadou Haidara,21,3,Midfield,RC Lens,/amadou-haidara/profil/spieler/402008
184892,Florian Thauvin,10,4,Forward,RC Lens,/florian-thauvin/profil/spieler/184892
631927,Saud Abdulhamid,23,2,Defender,RC Lens,/saud-abdulhamid/profil/spieler/631927
986291,Andrija Bulatovic,5,3,Midfield,RC Lens,/andrija-bulatovic/profil/spieler/986291
215977,Adrien Thomasson,28,3,Midfield,RC Lens,/adrien-thomasson/profil/spieler/215977
776798,Abdallah Sima,19,4,Forward,RC Lens,/abdallah-sima/profil/spieler/776798
819566,Nidal Celik,4,2,Defender,RC Lens,/nidal-celik/profil/spieler/819566
203746,Ruben Aguilar,2,2,Defender,RC Lens,/ruben-aguilar/profil/spieler/203746
126557,Jonathan Gradit,24,2,Defender,RC Lens,/jonathan-gradit/profil/spieler/126557
