player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Jonathan David,#9,Centre-Forward,LOSC Lille,Ligue 1,11,7,-,-,-,-,,,743'
Zeki Celik,#2,Right-Back,LOSC Lille,Ligue 1,9,-,-,2,-,-,,,692'
Jonathan Bamba,#7,Left Winger,LOSC Lille,Ligue 1,6,-,-,-,-,-,,,444'
Benjamin André,#21,Defensive Midfield,LOSC Lille,Ligue 1,11,1,-,3,-,-,,,955'
Sven Botman,#4,Centre-Back,LOSC Lille,Ligue 1,9,1,-,1,-,-,,,810'
Yusuf Yazici,#11,Attacking Midfield,LOSC Lille,Ligue 1,10,1,1,2,-,-,,,367'
Renato Sanches,#18,Central Midfield,LOSC Lille,Ligue 1,4,-,-,1,-,-,,,177'
Jonathan Ikoné,#10,Second Striker,LOSC Lille,Ligue 1,11,1,-,1,-,-,,,597'
Reinildo Mandava,#28,Left-Back,LOSC Lille,Ligue 1,9,-,-,4,-,-,,,727'
Timothy Weah,#22,Right Winger,LOSC Lille,Ligue 1,9,-,2,-,-,-,,,532'
Xeka,#8,Central Midfield,LOSC Lille,Ligue 1,8,-,-,5,-,-,,,609'
Domagoj Bradaric,#29,Left-Back,LOSC Lille,Ligue 1,3,-,-,-,-,-,,,46'
Youcef Atal,#20,Right-Back,OGC Nice,Ligue 1,7,1,1,3,-,-,,,472'
Andy Delort,#7,Centre-Forward,OGC Nice,Ligue 1,10,5,2,1,-,-,,,807'
Amine Gouiri,#11,Centre-Forward,OGC Nice,Ligue 1,10,5,3,-,-,-,,,792'
Kasper Dolberg,#9,Centre-Forward,OGC Nice,Ligue 1,7,3,-,-,-,-,,,365'
Calvin Stengs,#22,Right Winger,OGC Nice,Ligue 1,7,1,-,-,-,-,,,515'
Justin Kluivert,#21,Left Winger,OGC Nice,Ligue 1,4,1,1,1,-,-,,,212'
Mario Lemina,#18,Defensive Midfield,OGC Nice,Ligue 1,9,-,-,2,-,-,,,647'
Walter Benítez,#40,Goalkeeper,OGC Nice,Ligue 1,10,-,,-,-,-,7,5,900'
Jean-Clair Todibo,#25,Centre-Back,OGC Nice,Ligue 1,10,1,-,2,-,-,,,785'
Alexis Claude-Maurice,#10,Attacking Midfield,OGC Nice,Ligue 1,2,-,1,1,-,-,,,31'
