player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
503770,Folarin Balogun,#9,Forward,AS Monaco,Ligue 1,,,,,,,,,
918969,Lamine Camara,#15,Midfield,AS Monaco,Ligue 1,2,-,-,1,-,-,,,180'
334526,Denis Zakaria,#6,Midfield,AS Monaco,Ligue 1,2,-,-,1,-,-,,,180'
659543,Matthis Abline,#11,Forward,AS Monaco,Ligue 1,1,-,-,-,-,-,,,9'
263918,Aleksandr Golovin,#10,Midfield,AS Monaco,Ligue 1,2,-,1,1,-,-,,,171'
789082,Vanderson,#2,Defender,AS Monaco,Ligue 1,2,-,-,1,-,-,,,179'
1171981,Mathys Detourbet,#7,Forward,AS Monaco,Ligue 1,1,-,-,-,-,-,,,5'
1005240,Christian Mawissa,#13,Defender,AS Monaco,Ligue 1,,,,,,,,,
364245,Jordan Teze,#4,Defender,AS Monaco,Ligue 1,,,,,,,,,
466810,Ansu Fati,#31,Forward,AS Monaco,Ligue 1,,,,,,,,,
565821,Mika Biereth,#14,Forward,AS Monaco,Ligue 1,2,-,-,-,-,-,,,42'
745173,Mamadou Coulibaly,#28,Midfield,AS Monaco,Ligue 1,2,-,-,-,-,-,,,138'
228948,Thilo Kehrer,#5,Defender,AS Monaco,Ligue 1,1,-,-,-,-,-,,,1'
165793,Takumi Minamino,#18,Forward,AS Monaco,Ligue 1,,,,,,,,,
563963,Mohammed Salisu,#22,Defender,AS Monaco,Ligue 1,,,,,,,,,
1111777,Sadibou Sané,#72,Defender,AS Monaco,Ligue 1,2,-,-,-,-,-,,,180'
668587,Nazinho,#20,Defender,AS Monaco,Ligue 1,2,-,1,1,-,-,,,170'
743387,Stanis Idumbo,#17,Midfield,AS Monaco,Ligue 1,2,-,-,-,-,-,,,166'
175722,Eric Dier,#15,Defender,AS Monaco,Ligue 1,2,1,1,-,-,-,,,180'
251322,Philipp Köhn,#16,Goalkeeper,AS Monaco,Ligue 1,,,,,,,,,
745178,Edan Diop,#37,Midfield,AS Monaco,Ligue 1,,,,,,,,,
918414,Paris Brunner,#29,Forward,AS Monaco,Ligue 1,2,2,-,-,-,-,,,138'
48015,Lukas Hradecky,#1,Goalkeeper,AS Monaco,Ligue 1,2,-,,1,-,-,-,2,180'
1075588,Pape Cabral,#19,Midfield,AS Monaco,Ligue 1,,,,,,,,,
981700,Samuel Nibombe,#44,Defender,AS Monaco,Ligue 1,,,,,,,,,
745341,Yann Lienard,#50,Goalkeeper,AS Monaco,Ligue 1,,,,,,,,,
1363293,Patrick Zabi,#8,Midfield,Paris FC,Ligue 1,2,-,1,-,-,-,,,27'
1241211,Rudy Matondo,#23,Midfield,Paris FC,Ligue 1,2,-,-,-,-,-,,,90'
660860,Diego Coppola,#42,Defender,Paris FC,Ligue 1,2,-,-,-,-,-,,,180'
810411,Pablo Pagis,#7,Forward,Paris FC,Ligue 1,2,-,-,-,-,-,,,153'
739769,Ilan Kebbal,#10,Forward,Paris FC,Ligue 1,2,-,2,-,-,-,,,173'
955281,Nhoa Sangui,#19,Defender,Paris FC,Ligue 1,,,,,,,,,
818495,Otávio,#6,Defender,Paris FC,Ligue 1,2,-,-,1,-,-,,,173'
569140,Lassine Sinayoko,#9,Forward,Paris FC,Ligue 1,2,1,-,-,-,-,,,169'
649026,Moustapha Mbow,#5,Defender,Paris FC,Ligue 1,1,-,-,-,-,-,,,90'
274862,Moses Simon,#27,Forward,Paris FC,Ligue 1,2,-,-,-,-,-,,,108'
745461,Luca Koleosho,#15,Forward,Paris FC,Ligue 1,1,-,-,-,-,-,,,45'
750878,Obed Nkambadio,#16,Goalkeeper,Paris FC,Ligue 1,,,,,,,,,
290862,Maxime Lopez,#21,Midfield,Paris FC,Ligue 1,2,-,-,-,-,-,,,117'
377393,Pierre Lees-Melou,#33,Midfield,Paris FC,Ligue 1,2,-,-,-,-,-,,,180'
324690,Jonathan Ikoné,#93,Forward,Paris FC,Ligue 1,,,,,,,,,
358515,Jean-Philippe Krasso,#11,Forward,Paris FC,Ligue 1,,,,,,,,,
668167,Samir Chergui,#31,Defender,Paris FC,Ligue 1,1,1,-,-,-,-,,,90'
973949,Adama Camara,#17,Midfield,Paris FC,Ligue 1,2,-,-,-,-,-,,,180'
340177,Thibault De Smet,#28,Defender,Paris FC,Ligue 1,,,,,,,,,
