rank,club,played,wins,draws,losses,goals,diff,points
1,Paris SG,9,8,0,1,22:9,13,24
2,Lens,9,5,3,1,16:10,6,18
3,OGC Nice,8,5,2,1,17:4,13,16
4,SCO Angers,9,4,4,1,14:9,5,16
5,Marseille,8,4,2,2,14:10,4,14
6,Monaco,9,4,2,3,14:11,3,14
7,FC Lorient,9,3,5,1,10:9,1,14
8,LOSC Lille,9,4,2,3,13:14,-1,14
9,FC Nantes,9,4,1,4,13:10,3,13
10,Olympique Lyon,9,3,4,2,14:13,1,13
11,Stade Rennais,9,3,3,3,12:9,3,12
12,R. Strasbourg,9,3,2,4,13:14,-1,11
13,Montpellier,9,2,4,3,16:16,0,10
14,Stade Reims,9,2,4,3,10:11,-1,10
15,Clermont Foot,9,2,4,3,12:20,-8,10
16,G. Bordeaux,9,1,4,4,11:20,-9,7
17,Troyes,9,1,3,5,8:14,-6,6
18,FC Metz,9,1,3,5,11:19,-8,6
19,Stade Brestois,9,0,4,5,10:18,-8,4
20,Saint-Étienne,9,0,4,5,8:18,-10,4
