rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Paris Saint-Germain,https://tmssl.akamaized.net//images/wappen/tiny/583.png?lm=1728026461,27,20,3,4,61:23,38,63,WWLWW
2,RC Lens,https://tmssl.akamaized.net//images/wappen/tiny/826.png?lm=1595457059,28,19,2,7,54:27,27,59,LDWLWL
3,LOSC Lille,https://tmssl.akamaized.net//images/wappen/tiny/244.png?lm=1775675175,28,15,5,8,45:34,11,50,WWDWWW
4,Olympique Marseille,https://tmssl.akamaized.net//images/wappen/tiny/1082.png?lm=1529521041,28,15,4,9,55:37,18,49,LWWWLL
5,AS Monaco,https://tmssl.akamaized.net//images/wappen/tiny/273.png?lm=1691503972,28,15,4,9,49:39,10,49,WWWWWW
6,Olympique Lyon,https://tmssl.akamaized.net//images/wappen/tiny/162.png?lm=1654781919,28,14,6,8,41:29,12,48,LLDDLD
7,Stade Rennais FC,https://tmssl.akamaized.net//images/wappen/tiny/1041.png?lm=1656668172,28,13,8,7,47:40,7,47,WWWLDW
8,RC Strasbourg Alsace,https://tmssl.akamaized.net//images/wappen/tiny/667.png?lm=1664991833,28,12,7,9,46:34,12,43,WDDDWW
9,FC Lorient,https://tmssl.akamaized.net//images/wappen/tiny/1158.png?lm=1406642498,28,9,11,8,38:42,-4,38,DDDWLD
10,FC Toulouse,https://tmssl.akamaized.net//images/wappen/tiny/415.png?lm=1740065124,28,10,7,11,39:35,4,37,DLLWWL
11,Stade Brestois 29,https://tmssl.akamaized.net//images/wappen/tiny/3911.png?lm=1768836091,28,10,6,12,37:43,-6,36,WWWLLL
12,Angers SCO,https://tmssl.akamaized.net//images/wappen/tiny/10004.png?lm=1411995262,28,9,6,13,24:37,-13,33,LLWLLD
13,Paris FC,https://tmssl.akamaized.net//images/wappen/tiny/1420.png?lm=1687525425,28,7,11,10,33:44,-11,32,DWDDWD
14,Le Havre AC,https://tmssl.akamaized.net//images/wappen/tiny/738.png?lm=1408780648,28,6,10,12,23:36,-13,28,LLLDLD
15,OGC Nice,https://tmssl.akamaized.net//images/wappen/tiny/417.png?lm=1408779490,28,7,6,15,33:55,-22,27,DLLWLL
16,AJ Auxerre,https://tmssl.akamaized.net//images/wappen/tiny/290.png?lm=1635851977,28,5,8,15,23:37,-14,23,LDDLWD
17,FC Nantes,https://tmssl.akamaized.net//images/wappen/tiny/995.png?lm=1581355747,27,4,6,17,24:45,-21,18,WLLLD
18,FC Metz,https://tmssl.akamaized.net//images/wappen/tiny/347.png?lm=1625391843,28,3,6,19,25:60,-35,15,LLLLDD
