group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,AS Monaco,https://img.a.transfermarkt.technology/wappen/big/162.png?lm=4711,2,2,0,0,3:0,3,6,WW
,2,Paris FC,https://img.a.transfermarkt.technology/wappen/big/10004.png?lm=4711,2,1,1,0,3:0,3,4,DW
,3,LOSC Lille,https://img.a.transfermarkt.technology/wappen/big/1082.png?lm=4711,2,1,1,0,4:2,2,4,WD
,4,Olympique Lyon,https://img.a.transfermarkt.technology/wappen/big/1041.png?lm=4711,2,1,1,0,3:1,2,4,WD
,5,Stade Rennais FC,https://img.a.transfermarkt.technology/wappen/big/273.png?lm=4711,2,1,1,0,5:4,1,4,DW
,6,ESTAC Troyes,https://img.a.transfermarkt.technology/wappen/big/1095.png?lm=4711,2,1,1,0,2:1,1,4,DW
,7,RC Lens,https://img.a.transfermarkt.technology/wappen/big/826.png?lm=4711,2,1,0,1,6:4,2,3,WL
,8,Olympique Marseille,https://img.a.transfermarkt.technology/wappen/big/244.png?lm=4711,2,1,0,1,4:2,2,3,WL
,9,Angers SCO,https://img.a.transfermarkt.technology/wappen/big/1420.png?lm=4711,2,1,0,1,3:3,0,3,LW
,10,RC Strasbourg Alsace,https://img.a.transfermarkt.technology/wappen/big/667.png?lm=4711,2,1,0,1,2:5,-3,3,LW
,11,Paris Saint-Germain,https://img.a.transfermarkt.technology/wappen/big/583.png?lm=4711,2,0,2,0,4:4,0,2,DD
,12,Stade Brestois 29,https://img.a.transfermarkt.technology/wappen/big/3911.png?lm=4711,2,0,2,0,4:4,0,2,DD
,13,Le Mans FC,https://img.a.transfermarkt.technology/wappen/big/1164.png?lm=4711,2,0,1,1,4:5,-1,1,DL
,14,FC Lorient,https://img.a.transfermarkt.technology/wappen/big/1158.png?lm=4711,2,0,1,1,1:2,-1,1,DL
,15,Le Havre AC,https://img.a.transfermarkt.technology/wappen/big/738.png?lm=4711,2,0,1,1,1:2,-1,1,LD
,16,FC Toulouse,https://img.a.transfermarkt.technology/wappen/big/415.png?lm=4711,2,0,1,1,2:4,-2,1,LD
,17,OGC Nice,https://img.a.transfermarkt.technology/wappen/big/417.png?lm=4711,2,0,1,1,0:3,-3,1,DL
,18,AJ Auxerre,https://img.a.transfermarkt.technology/wappen/big/290.png?lm=4711,2,0,0,2,3:8,-5,0,LL
