id,name,link
1082,LOSC Lille,/losc-lille/startseite/verein/1082
583,Paris Saint-Germain,/paris-saint-germain/startseite/verein/583
162,AS Monaco,/as-monaco/startseite/verein/162
1041,Olympique Lyon,/olympique-lyon/startseite/verein/1041
244,Olympique Marseille,/olympique-marseille/startseite/verein/244
273,Stade Rennais FC,/stade-rennais-fc/startseite/verein/273
826,RC Lens,/rc-lens/startseite/verein/826
969,Montpellier HSC,/montpellier-hsc/startseite/verein/969
417,OGC Nice,/ogc-nice/startseite/verein/417
347,FC Metz,/fc-metz/startseite/verein/347
618,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618
40,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40
1420,SCO Angers,/sco-angers/startseite/verein/1420
1421,Stade Reims,/stade-reims/startseite/verein/1421
667,RC Strasbourg Alsace,/rc-strasbourg-alsace/startseite/verein/667
1158,FC Lorient,/fc-lorient/startseite/verein/1158
3911,Stade Brestois 29,/stade-brestois-29/startseite/verein/3911
995,FC Nantes,/fc-nantes/startseite/verein/995
1095,ESTAC Troyes,/estac-troyes/startseite/verein/1095
3524,Clermont Foot 63,/clermont-foot-63/startseite/verein/3524
