id,name,link,rank,played,wins,draws,losses,goals,diff,points
583,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,1,27,20,3,4,61:23,38,63
826,RC Lens,/rc-lens/startseite/verein/826,2,28,19,2,7,54:27,27,59
1082,LOSC Lille,/losc-lille/startseite/verein/1082,3,28,15,5,8,45:34,11,50
244,Olympique Marseille,/olympique-marseille/startseite/verein/244,4,28,15,4,9,55:37,18,49
162,AS Monaco,/as-monaco/startseite/verein/162,5,28,15,4,9,49:39,10,49
1041,Olympique Lyon,/olympique-lyon/startseite/verein/1041,6,28,14,6,8,41:29,12,48
273,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,7,28,13,8,7,47:40,7,47
667,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,8,28,12,7,9,46:34,12,43
1158,FC Lorient,/fc-lorient/startseite/verein/1158,9,28,9,11,8,38:42,-4,38
415,FC Toulouse,/fc-toulouse/startseite/verein/415,10,28,10,7,11,39:35,4,37
3911,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,11,28,10,6,12,37:43,-6,36
1420,Angers SCO,/sco-angers/startseite/verein/1420,12,28,9,6,13,24:37,-13,33
10004,Paris FC,/paris-fc/startseite/verein/10004,13,28,7,11,10,33:44,-11,32
738,Le Havre AC,/ac-le-havre/startseite/verein/738,14,28,6,10,12,23:36,-13,28
417,OGC Nice,/ogc-nizza/startseite/verein/417,15,28,7,6,15,33:55,-22,27
290,AJ Auxerre,/aj-auxerre/startseite/verein/290,16,28,5,8,15,23:37,-14,23
995,FC Nantes,/fc-nantes/startseite/verein/995,17,27,4,6,17,24:45,-21,18
347,FC Metz,/fc-metz/startseite/verein/347,18,28,3,6,19,25:60,-35,15
