id,name,shirtNumber,positionId,link
180337,Sardar Azmoun,7,4,/sardar-azmoun/profil/spieler/180337
323704,Malcom,10,4,/malcom/profil/spieler/323704
257668,Wilmar Barrios,5,3,/wilmar-barrios/profil/spieler/257668
499721,Wendel,8,3,/wendel/profil/spieler/499721
220793,Douglas Santos,3,2,/douglas-santos/profil/spieler/220793
403315,Claudinho,11,3,/claudinho/profil/spieler/403315
37838,Dejan Lovren,6,2,/dejan-lovren/profil/spieler/37838
48067,Artem Dzyuba,22,4,/artem-dzyuba/profil/spieler/48067
279570,Daler Kuzyaev,14,3,/daler-kuzyaev/profil/spieler/279570
170620,Vyacheslav Karavaev,15,2,/vyacheslav-karavaev/profil/spieler/170620
89222,Yaroslav Rakitskiy,44,2,/yaroslav-rakitskiy/profil/spieler/89222
300538,Nikolay Komlichenko,27,4,/nikolay-komlichenko/profil/spieler/300538
229817,Ali Sowe,22,4,/ali-sowe/profil/spieler/229817
293829,Maksim Osipenko,55,2,/maksim-osipenko/profil/spieler/293829
570423,Danil Glebov,15,3,/danil-glebov/profil/spieler/570423
300532,Pontus Almqvist,11,4,/pontus-almqvist/profil/spieler/300532
183436,Kento Hashimoto,18,3,/kento-hashimoto/profil/spieler/183436
189715,Khoren Bayramyan,19,3,/khoren-bayramyan/profil/spieler/189715
322065,Dennis Hadzikadunic,5,2,/dennis-hadzikadunic/profil/spieler/322065
98539,Dmitri Poloz,7,4,/dmitri-poloz/profil/spieler/98539
651269,Armin Gigovic,8,3,/armin-gigovic/profil/spieler/651269
137206,Magomed Ozdoev,27,3,/magomed-ozdoev/profil/spieler/137206
84483,Aleksandr Erokhin,21,3,/aleksandr-erokhin/profil/spieler/84483
362570,Andrey Mostovoy,17,4,/andrey-mostovoy/profil/spieler/362570
235339,Dmitri Chistyakov,2,2,/dmitri-chistyakov/profil/spieler/235339
98547,Stanislav Kritsyuk,1,1,/stanislav-kritsyuk/profil/spieler/98547
217033,Aleksey Sutormin,19,4,/aleksey-sutormin/profil/spieler/217033
27706,Mikhail Kerzhakov,41,1,/mikhail-kerzhakov/profil/spieler/27706
372535,Danil Krugovoy,4,2,/danil-krugovoy/profil/spieler/372535
529870,Danila Khotulev,94,2,/danila-khotulev/profil/spieler/529870
607814,Kirill Kravtsov,64,3,/kirill-kravtsov/profil/spieler/607814
555135,Daniil Odoevskiy,71,1,/daniil-odoevskiy/profil/spieler/555135
195810,Bastos,16,2,/bastos/profil/spieler/195810
38802,Pavel Mamaev,10,3,/pavel-mamaev/profil/spieler/38802
61397,Sergey Pesjakov,30,1,/sergey-pesjakov/profil/spieler/61397
146918,Egor Baburin,1,1,/egor-baburin/profil/spieler/146918
449721,Nikolay Poyarkov,71,2,/nikolay-poyarkov/profil/spieler/449721
267396,Igor Kalinin,13,2,/igor-kalinin/profil/spieler/267396
289643,Roman Tugarev,23,4,/roman-tugarev/profil/spieler/289643
144583,Denis Terentjev,4,2,/denis-terentjev/profil/spieler/144583
699265,Danila Sukhomlinov,76,3,/danila-sukhomlinov/profil/spieler/699265
485658,Kirill Folmer,25,3,/kirill-folmer/profil/spieler/485658
601500,Konstantin Kovalev,24,2,/konstantin-kovalev/profil/spieler/601500
235347,Maksim Rudakov,77,1,/maksim-rudakov/profil/spieler/235347
485657,Danila Proshlyakov,31,4,/danila-proshlyakov/profil/spieler/485657
566046,Nikita Kotin,42,2,/nikita-kotin/profil/spieler/566046
727569,Andrey Langovich,87,2,/andrey-langovich/profil/spieler/727569
866001,Viktor Melekhin,92,2,/viktor-melekhin/profil/spieler/866001
102740,Mário Fernandes,2,2,/mario-fernandes/profil/spieler/102740
287183,Fedor Chalov,9,4,/fedor-chalov/profil/spieler/287183
500067,Chidera Ejuke,11,4,/chidera-ejuke/profil/spieler/500067
419845,Ivan Oblyakov,98,3,/ivan-oblyakov/profil/spieler/419845
381834,Konstantin Kuchaev,20,3,/konstantin-kuchaev/profil/spieler/381834
532732,Igor Diveev,78,2,/igor-diveev/profil/spieler/532732
334440,Ilzat Akhmetov,7,3,/ilzat-akhmetov/profil/spieler/334440
15570,Igor Akinfeev,35,1,/igor-akinfeev/profil/spieler/15570
130353,Hördur Magnússon,23,2,/hordur-magnusson/profil/spieler/130353
344299,Baktiyar Zaynutdinov,19,3,/baktiyar-zaynutdinov/profil/spieler/344299
563692,Bruno Fuchs,3,2,/bruno-fuchs/profil/spieler/563692
623274,Maksim Mukhin,6,3,/maksim-mukhin/profil/spieler/623274
69683,Alan Dzagoev,10,3,/alan-dzagoev/profil/spieler/69683
70114,Anton Zabolotnyi,91,4,/anton-zabolotnyi/profil/spieler/70114
371851,Jaka Bijol,29,3,/jaka-bijol/profil/spieler/371851
375857,Kristijan Bistrovic,25,3,/kristijan-bistrovic/profil/spieler/375857
70097,Georgiy Shchennikov,42,2,/georgiy-shchennikov/profil/spieler/70097
406806,Emil Bohinen,88,3,/emil-bohinen/profil/spieler/406806
60134,Viktor Vasin,5,2,/viktor-vasin/profil/spieler/60134
221119,Cédric Gogoua,27,2,/cedric-gogoua/profil/spieler/221119
646896,Vladislav Yakovlev,46,4,/vladislav-yakovlev/profil/spieler/646896
38805,Kirill Nababkin,14,2,/kirill-nababkin/profil/spieler/38805
555143,Arsen Zakharyan,47,3,/arsen-zakharyan/profil/spieler/555143
316934,Nikola Moro,8,3,/nikola-moro/profil/spieler/316934
320748,Sebastian Szymanski,53,3,/sebastian-szymanski/profil/spieler/320748
532676,Konstantin Tyukavin,70,4,/konstantin-tyukavin/profil/spieler/532676
400713,Daniil Fomin,74,3,/daniil-fomin/profil/spieler/400713
285548,Fabián Balbuena,5,2,/fabian-balbuena/profil/spieler/285548
315252,Daniil Lesovoy,19,4,/daniil-lesovoy/profil/spieler/315252
599203,Denis Makarov,25,3,/denis-makarov/profil/spieler/599203
281917,Dmitri Skopintsev,7,2,/dmitri-skopintsev/profil/spieler/281917
422838,Roman Evgenjev,24,2,/roman-evgenjev/profil/spieler/422838
118850,Ivan Ordets,18,2,/ivan-ordets/profil/spieler/118850
555146,Vladislav Torop,49,1,/vladislav-torop/profil/spieler/555146
185245,Jhon Córdoba,9,4,/jhon-cordoba/profil/spieler/185245
318470,Matvey Safonov,39,1,/matvey-safonov/profil/spieler/318470
45184,Grzegorz Krychowiak,3,3,/grzegorz-krychowiak/profil/spieler/45184
116598,Viktor Claesson,16,4,/viktor-claesson/profil/spieler/116598
113707,Rémy Cabella,7,3,/remy-cabella/profil/spieler/113707
236202,Wanderson,10,4,/wanderson/profil/spieler/236202
182581,Tonny Vilhena,52,3,/tonny-vilhena/profil/spieler/182581
189485,Cristian Ramírez,6,2,/cristian-ramirez/profil/spieler/189485
160222,Uros Spajic,5,2,/uros-spajic/profil/spieler/160222
102581,Sergey Petrov,98,2,/sergey-petrov/profil/spieler/102581
182381,Quincy Promes,24,4,/quincy-promes/profil/spieler/182381
308552,Jordan Larsson,11,4,/jordan-larsson/profil/spieler/308552
166277,Roman Zobnin,47,3,/roman-zobnin/profil/spieler/166277
351419,Aleksandr Maksimenko,98,1,/aleksandr-maksimenko/profil/spieler/351419
