id,name,shirtNumber,positionId,position,club,link
617520,Stanislav Agkatsev,1,1,Goalkeeper,FC Krasnodar,/stanislav-agkatsev/profil/spieler/617520
546212,Diego Costa,4,2,Defender,FC Krasnodar,/diego-costa/profil/spieler/546212
658678,Christian,18,3,Midfield,FC Krasnodar,/christian/profil/spieler/658678
185245,Jhon Córdoba,9,4,Forward,FC Krasnodar,/jhon-cordoba/profil/spieler/185245
432112,Aleksandr Chernikov,53,3,Midfield,FC Krasnodar,/aleksandr-chernikov/profil/spieler/432112
517300,Vítor Tormena,3,2,Defender,FC Krasnodar,/vitor-tormena/profil/spieler/517300
514256,João Batxi,11,4,Forward,FC Krasnodar,/joao-batxi/profil/spieler/514256
746180,Nikita Krivtsov,88,3,Midfield,FC Krasnodar,/nikita-krivtsov/profil/spieler/746180
393621,Douglas Augusto,8,3,Midfield,FC Krasnodar,/douglas-augusto/profil/spieler/393621
370287,Dmitriy Vorobyov,10,4,Forward,FC Krasnodar,/dmitriy-vorobyov/profil/spieler/370287
544586,Kevin Pina,6,3,Midfield,FC Krasnodar,/kevin-pina/profil/spieler/544586
216240,Lucas Olaza,15,2,Defender,FC Krasnodar,/lucas-olaza/profil/spieler/216240
515050,Ilya Vakhania,40,2,Defender,FC Krasnodar,/ilya-vakhania/profil/spieler/515050
615650,Valentin Paltsev,17,2,Defender,FC Krasnodar,/valentin-paltsev/profil/spieler/615650
375667,Daniil Utkin,47,3,Midfield,FC Krasnodar,/daniil-utkin/profil/spieler/375667
487421,Juan Manuel Boselli,23,4,Forward,FC Krasnodar,/juan-manuel-boselli/profil/spieler/487421
149928,Jubal,5,2,Defender,FC Krasnodar,/jubal/profil/spieler/149928
137206,Magomed Ozdoev,21,3,Midfield,FC Krasnodar,/magomed-ozdoev/profil/spieler/137206
687463,Aleksandr Koryakin,16,1,Goalkeeper,FC Krasnodar,/aleksandr-koryakin/profil/spieler/687463
817843,Aleksandr Koksharov,96,4,Forward,FC Krasnodar,/aleksandr-koksharov/profil/spieler/817843
375662,Vitaliy Stezhko,2,2,Defender,FC Krasnodar,/vitaliy-stezhko/profil/spieler/375662
1052493,Artem Khmarin,59,2,Defender,FC Krasnodar,/artem-khmarin/profil/spieler/1052493
1109231,Efim Burkin,27,3,Midfield,FC Krasnodar,/efim-burkin/profil/spieler/1109231
1244035,Eldar Guseynov,29,4,Forward,FC Krasnodar,/eldar-guseynov/profil/spieler/1244035
102581,Sergey Petrov,98,2,Defender,FC Krasnodar,/sergey-petrov/profil/spieler/102581
685982,Roman Safronov,0,1,Goalkeeper,FC Krasnodar,/roman-safronov/profil/spieler/685982
715339,Grigoriy Lovtsov,0,3,Midfield,FC Krasnodar,/grigoriy-lovtsov/profil/spieler/715339
797594,Timur Abdrashitov,41,4,Forward,FC Krasnodar,/timur-abdrashitov/profil/spieler/797594
456623,Esequiel Barco,5,3,Midfield,Spartak Moscow,/esequiel-barco/profil/spieler/456623
337800,Gedson Fernandes,83,3,Midfield,Spartak Moscow,/gedson-fernandes/profil/spieler/337800
645173,Manfred Ugalde,9,4,Forward,Spartak Moscow,/manfred-ugalde/profil/spieler/645173
521872,Mirlind Daku,19,4,Forward,Spartak Moscow,/mirlind-daku/profil/spieler/521872
756991,Pablo Solari,7,4,Forward,Spartak Moscow,/pablo-solari/profil/spieler/756991
381833,Nail Umyarov,18,3,Midfield,Spartak Moscow,/nail-umyarov/profil/spieler/381833
516722,Marquinhos,10,4,Forward,Spartak Moscow,/marquinhos/profil/spieler/516722
381714,Danil Prutsev,25,3,Midfield,Spartak Moscow,/danil-prutsev/profil/spieler/381714
520073,Ruslan Litvinov,68,2,Defender,Spartak Moscow,/ruslan-litvinov/profil/spieler/520073
572326,Christopher Wooh,3,2,Defender,Spartak Moscow,/christopher-wooh/profil/spieler/572326
351419,Aleksandr Maksimenko,98,1,Goalkeeper,Spartak Moscow,/aleksandr-maksimenko/profil/spieler/351419
222805,Srdjan Babic,6,2,Defender,Spartak Moscow,/srdjan-babic/profil/spieler/222805
591957,Victor Parada,33,2,Defender,Spartak Moscow,/victor-parada/profil/spieler/591957
649303,Daniil Denisov,97,2,Defender,Spartak Moscow,/daniil-denisov/profil/spieler/649303
250844,Alexander Djiku,4,2,Defender,Spartak Moscow,/alexander-djiku/profil/spieler/250844
248054,Christopher Martins,35,3,Midfield,Spartak Moscow,/christopher-martins/profil/spieler/248054
817700,Igor Dmitriev,27,4,Forward,Spartak Moscow,/igor-dmitriev/profil/spieler/817700
166277,Roman Zobnin,47,3,Midfield,Spartak Moscow,/roman-zobnin/profil/spieler/166277
706618,Vladislav Saus,17,3,Midfield,Spartak Moscow,/vladislav-saus/profil/spieler/706618
621436,Daniil Khlusevich,82,2,Defender,Spartak Moscow,/daniil-khlusevich/profil/spieler/621436
263962,Anton Zinkovskiy,8,4,Forward,Spartak Moscow,/anton-zinkovskiy/profil/spieler/263962
217686,Ilya Pomazun,1,1,Goalkeeper,Spartak Moscow,/ilya-pomazun/profil/spieler/217686
726445,Daniil Zorin,28,3,Midfield,Spartak Moscow,/daniil-zorin/profil/spieler/726445
1180777,Nikita Massalyga,24,4,Forward,Spartak Moscow,/nikita-massalyga/profil/spieler/1180777
1384080,Pavel Polekh,62,4,Forward,Spartak Moscow,/pavel-polekh/profil/spieler/1384080
47004,Aleksandr Dovbnya,56,1,Goalkeeper,Spartak Moscow,/aleksandr-dovbnya/profil/spieler/47004
800175,Luiz Henrique,11,4,Forward,Zenit St. Petersburg,/luiz-henrique/profil/spieler/800175
1004741,Pedro,20,4,Forward,Zenit St. Petersburg,/pedro/profil/spieler/1004741
834899,Felipe Augusto,9,4,Forward,Zenit St. Petersburg,/felipe-augusto/profil/spieler/834899
448981,Maksim Glushenkov,10,4,Forward,Zenit St. Petersburg,/maksim-glushenkov/profil/spieler/448981
499721,Wendel,8,3,Midfield,Zenit St. Petersburg,/wendel/profil/spieler/499721
964582,Jhon Jhon,14,3,Midfield,Zenit St. Petersburg,/jhon-jhon/profil/spieler/964582
520454,Nino,33,2,Defender,Zenit St. Petersburg,/nino/profil/spieler/520454
532732,Igor Diveev,78,2,Defender,Zenit St. Petersburg,/igor-diveev/profil/spieler/532732
220793,Douglas Santos,3,2,Defender,Zenit St. Petersburg,/douglas-santos/profil/spieler/220793
