player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Sardar Azmoun,#7,Centre-Forward,Zenit S-Pb,Premier Liga,9,5,1,-,-,1,,,568'
Malcom,#10,Right Winger,Zenit S-Pb,Premier Liga,7,2,2,1,-,-,,,524'
Claudinho,#11,Attacking Midfield,Zenit S-Pb,Premier Liga,5,1,2,-,-,-,,,347'
Wendel,#8,Central Midfield,Zenit S-Pb,Premier Liga,10,2,1,2,-,-,,,890'
Douglas Santos,#3,Left-Back,Zenit S-Pb,Premier Liga,10,-,1,-,-,-,,,900'
Artem Dzyuba,#22,Centre-Forward,Zenit S-Pb,Premier Liga,10,4,4,-,-,-,,,671'
Wilmar Barrios,#5,Defensive Midfield,Zenit S-Pb,Premier Liga,8,-,-,-,-,-,,,700'
Dejan Lovren,#6,Centre-Back,Zenit S-Pb,Premier Liga,6,-,-,1,-,-,,,540'
Daler Kuzyaev,#14,Central Midfield,Zenit S-Pb,Premier Liga,9,-,4,3,1,-,,,649'
Yaroslav Rakitskiy,#44,Centre-Back,Zenit S-Pb,Premier Liga,9,-,2,1,-,-,,,775'
Maksim Osipenko,#55,Centre-Back,Rostov,Premier Liga,10,1,-,1,-,-,,,900'
Danil Glebov,#15,Central Midfield,Rostov,Premier Liga,10,2,1,-,-,-,,,893'
Vyacheslav Karavaev,#15,Right-Back,Zenit S-Pb,Premier Liga,6,-,-,-,-,-,,,462'
Ali Sowe,#22,Centre-Forward,Rostov,Premier Liga,3,-,-,1,-,-,,,99'
Nikolay Komlichenko,#27,Centre-Forward,Rostov,Premier Liga,10,3,-,1,-,-,,,783'
Pontus Almqvist,#11,Right Winger,Rostov,Premier Liga,9,-,2,2,-,-,,,644'
Armin Gigovic,#8,Defensive Midfield,Rostov,Premier Liga,8,-,1,-,-,-,,,210'
Khoren Bayramyan,#19,Left Midfield,Rostov,Premier Liga,7,-,-,2,-,-,,,386'
Kento Hashimoto,#18,Defensive Midfield,Rostov,Premier Liga,7,1,1,-,-,-,,,556'
Aleksandr Erokhin,#21,Attacking Midfield,Zenit S-Pb,Premier Liga,10,5,1,1,-,-,,,528'
Andrey Mostovoy,#17,Left Winger,Zenit S-Pb,Premier Liga,9,-,-,-,-,-,,,193'
Dmitri Chistyakov,#2,Centre-Back,Zenit S-Pb,Premier Liga,9,-,-,-,-,-,,,478'
Magomed Ozdoev,#27,Central Midfield,Zenit S-Pb,Premier Liga,1,-,-,1,-,-,,,9'
Aleksey Sutormin,#19,Right Winger,Zenit S-Pb,Premier Liga,10,3,1,-,-,-,,,449'
Dennis Hadzikadunic,#5,Centre-Back,Rostov,Premier Liga,8,-,-,2,-,-,,,630'
Danil Krugovoy,#4,Left-Back,Zenit S-Pb,Premier Liga,8,-,-,1,-,-,,,95'
Danila Khotulev,#94,Centre-Back,Zenit 2 S-Pb,U19 M-Liga,3,-,1,-,-,-,,,270'
Stanislav Kritsyuk,#1,Goalkeeper,Zenit S-Pb,Premier Liga,4,-,,-,-,-,5,-,360'
Kirill Kravtsov,#64,Defensive Midfield,Zenit 2 S-Pb,Premier Liga,7,-,-,-,-,-,,,130'
Dmitri Poloz,#7,Centre-Forward,Rostov,Premier Liga,7,3,-,1,-,-,,,333'
Daniil Odoevskiy,#71,Goalkeeper,Zenit 2 S-Pb,UEFA Youth League,1,-,,-,-,-,3,-,90'
Mikhail Kerzhakov,#41,Goalkeeper,Zenit S-Pb,Premier Liga,6,-,,-,-,-,7,1,540'
Egor Baburin,#1,Goalkeeper,Rostov,Premier Liga,1,-,,-,-,-,4,-,90'
Denis Terentjev,#4,Right-Back,Rostov,Premier Liga,10,-,1,2,-,-,,,725'
Bastos,#16,Centre-Back,Rostov,Premier Liga,7,-,1,1,-,-,,,584'
Sergey Pesjakov,#30,Goalkeeper,Rostov,Premier Liga,9,-,,1,-,-,16,-,810'
Nikolay Poyarkov,#71,Left-Back,Rostov,Premier Liga,4,-,-,1,-,-,,,192'
Maksim Rudakov,#77,Goalkeeper,Rostov,Premier Liga,-,-,,-,-,-,-,-,-
Nikita Kotin,#42,Centre-Back,Rostov,,,,,,,,,,
Andrey Langovich,#87,Right-Back,Rostov II,Premier Liga,4,-,-,1,-,-,,,182'
Roman Tugarev,#23,Left Winger,Rostov,Premier Liga,2,-,-,-,-,-,,,29'
Viktor Melekhin,#92,Centre-Back,Rostov II,Premier Liga,3,-,-,1,-,-,,,178'
Konstantin Kovalev,#24,Right-Back,Rostov,,,,,,,,,,
Mário Fernandes,#2,Right-Back,CSKA Moscow,Premier Liga,9,-,-,1,-,-,,,781'
Chidera Ejuke,#11,Left Winger,CSKA Moscow,Premier Liga,10,2,2,-,-,-,,,730'
Ivan Oblyakov,#98,Central Midfield,CSKA Moscow,Premier Liga,10,-,1,3,-,-,,,900'
Fedor Chalov,#9,Centre-Forward,CSKA Moscow,Premier Liga,10,2,1,-,-,-,,,708'
Konstantin Kuchaev,#20,Attacking Midfield,CSKA Moscow,Premier Liga,8,-,-,1,-,-,,,183'
Ilzat Akhmetov,#7,Attacking Midfield,CSKA Moscow,Premier Liga,10,1,2,-,-,-,,,614'
Igor Akinfeev,#35,Goalkeeper,CSKA Moscow,Premier Liga,10,-,,-,-,-,8,5,900'
Igor Diveev,#78,Centre-Back,CSKA Moscow,Premier Liga,10,1,-,1,-,-,,,900'
Hördur Magnússon,#23,Centre-Back,CSKA Moscow,,,,,,,,,,
Bruno Fuchs,#3,Centre-Back,CSKA Moscow,U19 M-Liga,1,-,-,-,-,-,,,59'
Maksim Mukhin,#6,Defensive Midfield,CSKA Moscow,Premier Liga,9,-,-,4,-,-,,,710'
Alan Dzagoev,#10,Central Midfield,CSKA Moscow,Premier Liga,9,-,1,1,-,-,,,382'
Anton Zabolotnyi,#91,Centre-Forward,CSKA Moscow,Premier Liga,8,2,1,-,1,-,,,525'
Jaka Bijol,#29,Defensive Midfield,CSKA Moscow,Premier Liga,10,1,1,1,-,-,,,778'
Kristijan Bistrovic,#25,Central Midfield,CSKA Moscow,Premier Liga,4,1,-,-,-,-,,,163'
Georgiy Shchennikov,#42,Left-Back,CSKA Moscow,Premier Liga,1,-,-,-,-,-,,,90'
Igor Kalinin,#13,Left-Back,Rostov,Premier Liga,4,-,-,1,-,-,,,341'
Viktor Vasin,#5,Centre-Back,CSKA Moscow,Premier Liga,3,-,-,-,-,-,,,270'
Cédric Gogoua,#27,Centre-Back,CSKA Moscow,,,,,,,,,,
Emil Bohinen,#88,Central Midfield,CSKA Moscow,Premier Liga,5,-,-,2,-,-,,,169'
Kirill Nababkin,#14,Right-Back,CSKA Moscow,Premier Liga,4,-,-,-,-,-,,,170'
Arsen Zakharyan,#47,Central Midfield,Dynamo Moscow,Premier Liga,10,2,3,2,-,-,,,855'
Nikola Moro,#8,Defensive Midfield,Dynamo Moscow,Premier Liga,10,-,1,-,-,-,,,822'
