player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
524403,Fernando Costanza,#22,Midfield,Krylya Sovetov Samara,Russian Premier League,24,3,2,7,-,-,,,1.919'
1120902,Gonzalo Requena,#31,Defender,Krylya Sovetov Samara,Russian Premier League,2,-,-,1,-,-,,,170'
622461,Sergey Babkin,#6,Midfield,Krylya Sovetov Samara,Russian Premier League,21,1,2,2,2,-,,,1.715'
214238,Nikita Chernov,#23,Defender,Krylya Sovetov Samara,Russian Premier League,14,1,-,4,-,-,,,1.226'
334440,Ilzat Akhmetov,#77,Midfield,Krylya Sovetov Samara,Russian Premier League,23,1,6,3,-,-,,,1.400'
371627,Ivan Oleynikov,#19,Forward,Krylya Sovetov Samara,Russian Premier League,23,5,2,2,-,-,,,1.334'
585082,Mihajlo Banjac,#14,Midfield,Krylya Sovetov Samara,Russian Premier League,25,-,2,4,-,-,,,1.148'
539469,Thomas Galdames,#3,Defender,Krylya Sovetov Samara,Russian Premier League,11,1,-,1,1,1,,,430'
285868,Nikolay Rasskazov,#15,Defender,Krylya Sovetov Samara,Russian Premier League,24,-,4,7,-,-,,,1.581'
498015,Kirill Pechenin,#2,Defender,Krylya Sovetov Samara,Russian Premier League,28,1,2,3,-,-,,,2.122'
538773,Chinedu Geoffrey,#99,Forward,Krylya Sovetov Samara,Russian Premier League,5,2,-,-,-,-,,,341'
353559,Dominik Oroz,#5,Defender,Krylya Sovetov Samara,Russian Premier League,19,-,-,4,-,-,,,1.574'
422838,Roman Evgenjev,#24,Defender,Krylya Sovetov Samara,Russian Premier League,9,-,1,4,-,-,,,731'
538954,Nikita Kokarev,#80,Goalkeeper,Krylya Sovetov Samara,Russian Premier League,,,,,,,,,
898119,Artem Shumanskiy,#70,Forward,Krylya Sovetov Samara,Russian Premier League,18,-,-,1,-,-,,,596'
372730,Jimmy Marín,#26,Forward,Krylya Sovetov Samara,Russian Premier League,20,1,-,3,-,-,,,991'
265282,Sergey Bozhin,#47,Defender,Krylya Sovetov Samara,Russian Premier League,22,1,1,4,-,-,,,1.965'
697954,Ivan Lepskiy,#18,Defender,Krylya Sovetov Samara,Russian Premier League,16,-,-,-,-,-,,,1.150'
166086,Amar Rahmanovic,#11,Midfield,Krylya Sovetov Samara,Russian Premier League,22,4,-,3,-,-,,,1.413'
447101,Maksim Vityugov,#8,Midfield,Krylya Sovetov Samara,Russian Premier League,16,1,2,2,-,-,,,744'
403187,Dani Fernández,#72,Defender,Krylya Sovetov Samara,Russian Premier League,5,-,-,-,-,-,,,301'
217033,Aleksey Sutormin,#9,Forward,Krylya Sovetov Samara,Russian Premier League,16,-,-,1,-,-,,,639'
718763,Kirill Stolbov,#20,Midfield,Krylya Sovetov Samara,Russian Premier League,8,-,-,-,-,-,,,214'
430484,Vladimir Khubulov,#10,Forward,Krylya Sovetov Samara,Russian Premier League,4,-,-,3,-,-,,,183'
1249173,Vladimir Ignatenko,#91,Forward,Krylya Sovetov Samara,Russian Premier League,19,4,-,-,-,-,,,382'
61397,Sergey Pesjakov,#30,Goalkeeper,Krylya Sovetov Samara,Russian Premier League,28,-,,1,-,-,48,6,2.520'
177350,Evgeniy Frolov,#39,Goalkeeper,Krylya Sovetov Samara,Russian Premier League,,,,,,,,,
337800,Gedson Fernandes,#83,Midfield,Spartak Moscow,Russian Premier League,25,5,2,2,-,-,,,2.055'
645173,Manfred Ugalde,#9,Forward,Spartak Moscow,Russian Premier League,27,5,2,5,-,-,,,1.673'
456623,Esequiel Barco,#5,Midfield,Spartak Moscow,Russian Premier League,28,8,7,-,-,-,,,2.396'
354587,Levi García,#11,Forward,Spartak Moscow,Russian Premier League,23,5,3,1,-,-,,,835'
381833,Nail Umyarov,#18,Midfield,Spartak Moscow,Russian Premier League,27,-,3,7,-,-,,,2.418'
756991,Pablo Solari,#7,Forward,Spartak Moscow,Russian Premier League,26,7,3,7,-,-,,,1.708'
516722,Marquinhos,#10,Forward,Spartak Moscow,Russian Premier League,24,5,6,4,1,-,,,1.669'
222805,Srdjan Babic,#6,Defender,Spartak Moscow,Russian Premier League,10,-,-,-,-,-,,,589'
520073,Ruslan Litvinov,#68,Defender,Spartak Moscow,Russian Premier League,25,1,4,6,-,-,,,1.920'
248054,Christopher Martins,#35,Midfield,Spartak Moscow,Russian Premier League,25,4,1,2,-,-,,,1.105'
351419,Aleksandr Maksimenko,#98,Goalkeeper,Spartak Moscow,Russian Premier League,28,-,,1,-,-,38,6,2.520'
572326,Christopher Wooh,#3,Defender,Spartak Moscow,Russian Premier League,17,1,-,4,-,-,,,1.443'
280701,Théo Bongonda,#77,Forward,Spartak Moscow,Russian Premier League,4,-,-,-,-,-,,,47'
649303,Daniil Denisov,#97,Defender,Spartak Moscow,Russian Premier League,27,-,-,3,-,-,,,2.015'
250844,Alexander Djiku,#4,Defender,Spartak Moscow,Russian Premier League,18,-,-,5,-,1,,,1.545'
817700,Igor Dmitriev,#27,Forward,Spartak Moscow,Russian Premier League,23,1,6,4,-,-,,,1.133'
461512,Oleg Reabciuk,#2,Defender,Spartak Moscow,Russian Premier League,10,-,-,1,-,-,,,302'
522030,Ilya Samoshnikov,#14,Defender,Spartak Moscow,Russian Premier League,3,-,-,-,-,-,,,76'
166277,Roman Zobnin,#47,Midfield,Spartak Moscow,Russian Premier League,23,2,1,-,-,-,,,1.076'
706618,Vladislav Saus,#17,Midfield,Spartak Moscow,Russian Premier League,19,1,2,5,-,-,,,1.540'
217686,Ilya Pomazun,#1,Goalkeeper,Spartak Moscow,Russian Premier League,,,,,,,,,
726445,Daniil Zorin,#28,Midfield,Spartak Moscow,Russian Premier League,2,-,-,-,-,-,,,6'
70114,Anton Zabolotnyi,#91,Forward,Spartak Moscow,Russian Premier League,9,-,1,-,-,1,,,156'
1180777,Nikita Massalyga,#24,Forward,Spartak Moscow,Russian Premier League,3,-,-,-,-,-,,,5'
1384080,Pavel Polekh,#62,Forward,Spartak Moscow,Russian Premier League,2,-,-,-,-,-,,,13'
47004,Aleksandr Dovbnya,#56,Goalkeeper,Spartak Moscow,Russian Premier League,,,,,,,,,
720286,Aleksey Batrakov,#83,Midfield,Lokomotiv Moscow,Russian Premier League,27,13,10,8,-,-,,,2.404'
516751,Sergey Pinyaev,#9,Forward,Lokomotiv Moscow,Russian Premier League,10,1,-,1,-,-,,,241'
387687,César Montes,#23,Defender,Lokomotiv Moscow,Russian Premier League,26,4,1,5,-,-,,,2.206'
515051,Aleksandr Silyanov,#45,Defender,Lokomotiv Moscow,Russian Premier League,26,1,2,1,-,-,,,2.177'
691920,Artem Karpukas,#93,Midfield,Lokomotiv Moscow,Russian Premier League,26,1,2,2,-,-,,,1.965'
370287,Dmitriy Vorobyov,#10,Forward,Lokomotiv Moscow,Russian Premier League,24,10,6,9,-,-,,,1.693'
381714,Danil Prutsev,#25,Midfield,Lokomotiv Moscow,Russian Premier League,23,2,3,1,-,-,,,1.836'
729266,Lucas Fasson,#3,Defender,Lokomotiv Moscow,Russian Premier League,24,2,2,2,-,-,,,1.749'
652270,Evgeniy Morozov,#85,Defender,Lokomotiv Moscow,Russian Premier League,16,-,2,1,1,-,,,1.422'
378953,Gerzino Nyamsi,#5,Defender,Lokomotiv Moscow,Russian Premier League,13,1,-,4,-,-,,,988'
300538,Nikolay Komlichenko,#27,Forward,Lokomotiv Moscow,Russian Premier League,26,5,5,5,1,-,,,1.083'
382535,Maksim Nenakhov,#24,Defender,Lokomotiv Moscow,Russian Premier League,19,-,1,3,1,-,,,1.072'
745284,Vadim Rakov,#27,Forward,Lokomotiv Moscow,Russian Premier League,10,5,2,-,-,-,,,570'
689628,Lucas Vera,#32,Midfield,Lokomotiv Moscow,Russian Premier League,8,-,-,-,-,-,,,158'
260677,Anton Mitryushkin,#1,Goalkeeper,Lokomotiv Moscow,Russian Premier League,27,-,,1,-,-,34,6,2.430'
318468,Aleksandr Rudenko,#19,Forward,Lokomotiv Moscow,Russian Premier League,26,6,3,4,1,-,,,1.941'
279242,Zelimkhan Bakaev,#7,Forward,Lokomotiv Moscow,Russian Premier League,24,3,5,7,1,-,,,1.532'
189485,Cristian Ramírez,#2,Defender,Lokomotiv Moscow,Russian Premier League,8,-,-,2,-,-,,,208'
697724,Egor Pogostnov,#59,Defender,Lokomotiv Moscow,Russian Premier League,5,-,-,3,-,-,,,320'
697728,Nikita Saltykov,#14,Forward,Lokomotiv Moscow,Russian Premier League,8,-,-,-,-,-,,,213'
230946,Ilya Lantratov,#22,Goalkeeper,Lokomotiv Moscow,Russian Premier League,1,-,,-,-,-,2,-,90'
948363,Danila Godyaev,#90,Midfield,Lokomotiv Moscow,Russian Premier League,3,-,-,-,-,-,,,16'
211727,Artem Timofeev,#94,Midfield,Lokomotiv Moscow,Russian Premier League,1,-,-,-,-,-,,,5'
393864,Vladislav Sarveli,#8,Forward,Lokomotiv Moscow,Russian Premier League,5,-,-,-,-,-,,,119'
749186,Mikhail Shchetinin,#88,Midfield,Lokomotiv Moscow,Russian Premier League,,,,,,,,,
946413,Ruslan Myalkovskiy,#99,Forward,Lokomotiv Moscow,Russian Premier League,6,-,-,1,-,-,,,53'
