rank,club,played,wins,draws,losses,goals,diff,points
1,Zenit S-Pb,10,7,2,1,22:12,10,23
2,Dynamo Moscow,10,6,1,3,14:9,5,19
3,Sochi,10,6,0,4,14:10,4,18
4,Krasnodar,10,5,2,3,17:9,8,17
5,Loko Moscow,10,4,5,1,13:8,5,17
6,CSKA Moscow,10,5,2,3,13:8,5,17
7,Spartak Moscow,10,5,1,4,11:8,3,16
8,Rubin Kazan,10,4,2,4,13:11,2,14
9,Nizhny Novgorod,10,4,2,4,12:13,-1,14
10,KS Samara,10,4,1,5,12:13,-1,13
11,Akhmat Grozny,10,4,0,6,11:16,-5,12
12,Rostov,10,2,3,5,13:20,-7,9
13,Arsenal Tula,10,2,3,5,12:19,-7,9
14,Ural,10,2,3,5,5:13,-8,9
15,Ufa,10,2,2,6,11:17,-6,8
16,Khimki,10,1,5,4,8:15,-7,8
