rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Zenit St. Petersburg,https://tmssl.akamaized.net//images/wappen/head/964.png?lm=1687671770,30,20,8,2,53:19,34,68,WDWWWW
2,FC Krasnodar,https://tmssl.akamaized.net//images/wappen/head/16704.png?lm=1499524238,30,20,6,4,60:23,37,66,DWWWLW
3,Lokomotiv Moscow,https://tmssl.akamaized.net//images/wappen/head/932.png?lm=1486195738,30,14,11,5,54:39,15,53,WDLDWL
4,Spartak Moscow,https://tmssl.akamaized.net//images/wappen/head/232.png?lm=1769954012,30,15,7,8,47:39,8,52,WLWLWD
5,CSKA Moscow,https://tmssl.akamaized.net//images/wappen/head/2410.png?lm=1409222667,30,15,6,9,44:33,11,51,DDDLWW
6,Baltika Kaliningrad,https://tmssl.akamaized.net//images/wappen/head/2741.png?lm=1673959895,30,11,13,6,38:21,17,46,DDLLLL
7,Dynamo Moscow,https://tmssl.akamaized.net//images/wappen/head/121.png?lm=1597937447,30,12,9,9,51:40,11,45,DLWDWW
8,Rubin Kazan,https://tmssl.akamaized.net//images/wappen/head/2698.png?lm=1561987986,30,11,10,9,29:30,-1,43,DWDWLD
9,Akhmat Grozny,https://tmssl.akamaized.net//images/wappen/head/3725.png?lm=1497737399,30,9,10,11,35:39,-4,37,LDLWDD
10,FC Rostov,https://tmssl.akamaized.net//images/wappen/head/1083.png?lm=1604130993,30,8,9,13,25:32,-7,33,LDLWWL
11,Krylya Sovetov Samara,https://tmssl.akamaized.net//images/wappen/head/2696.png?lm=1658044381,30,8,8,14,35:50,-15,32,DLWWLW
12,FC Orenburg,https://tmssl.akamaized.net//images/wappen/head/14589.png?lm=1749721638,30,7,8,15,29:44,-15,29,LWWLWL
13,Akron Tolyatti,https://tmssl.akamaized.net//images/wappen/head/71985.png?lm=1689321065,30,6,9,15,35:53,-18,27,DDWLLL
14,Dinamo Makhachkala,https://tmssl.akamaized.net//images/wappen/head/75231.png?lm=1625214744,30,5,11,14,19:37,-18,26,LDLLDD
15,FC Pari Nizhniy Novgorod,https://tmssl.akamaized.net//images/wappen/head/49702.png?lm=1698688936,30,6,5,19,26:50,-24,23,DLLLLD
16,FC Sochi,https://tmssl.akamaized.net//images/wappen/head/41231.png?lm=1549213557,30,6,4,20,29:60,-31,22,WWLWLD
