group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,FC Krasnodar,https://img.a.transfermarkt.technology/wappen/big/16704.png?lm=4711,6,6,0,0,11:4,7,18,WWWWW
,2,Spartak Moscow,https://img.a.transfermarkt.technology/wappen/big/232.png?lm=4711,6,4,1,1,11:5,6,13,WLWWD
,3,Zenit St. Petersburg,https://img.a.transfermarkt.technology/wappen/big/964.png?lm=4711,6,4,0,2,13:4,9,12,WLWLW
,4,CSKA Moscow,https://img.a.transfermarkt.technology/wappen/big/2410.png?lm=4711,6,3,3,0,9:6,3,12,DDWWD
,5,Baltika Kaliningrad,https://img.a.transfermarkt.technology/wappen/big/2741.png?lm=4711,6,3,1,2,10:6,4,10,WWLDW
,6,Dynamo Moscow,https://img.a.transfermarkt.technology/wappen/big/121.png?lm=4711,6,3,1,2,8:7,1,10,LWLWW
,7,Rubin Kazan,https://img.a.transfermarkt.technology/wappen/big/2698.png?lm=4711,6,2,3,1,9:8,1,9,WDDDW
,8,Dinamo Makhachkala,https://img.a.transfermarkt.technology/wappen/big/75231.png?lm=4711,6,3,0,3,10:10,0,9,WLWLL
,9,FC Orenburg,https://img.a.transfermarkt.technology/wappen/big/14589.png?lm=4711,6,1,4,1,5:7,-2,7,LDDDD
,10,Akhmat Grozny,https://img.a.transfermarkt.technology/wappen/big/3725.png?lm=4711,6,1,3,2,9:8,1,6,LDLWD
,11,Krylya Sovetov Samara,https://img.a.transfermarkt.technology/wappen/big/2696.png?lm=4711,6,1,3,2,8:10,-2,6,DLLWD
,12,FC Rostov,https://img.a.transfermarkt.technology/wappen/big/1083.png?lm=4711,6,1,2,3,7:10,-3,5,WDDLL
,13,Rodina Moscow,https://img.a.transfermarkt.technology/wappen/big/59024.png?lm=4711,6,1,1,4,8:17,-9,4,LWDLL
,14,Lokomotiv Moscow,https://img.a.transfermarkt.technology/wappen/big/932.png?lm=4711,6,0,3,3,5:8,-3,3,LDDLL
,15,Akron Tolyatti,https://img.a.transfermarkt.technology/wappen/big/71985.png?lm=4711,6,0,3,3,6:15,-9,3,LDDLD
,16,Fakel Voronezh,https://img.a.transfermarkt.technology/wappen/big/1124.png?lm=4711,6,0,2,4,3:7,-4,2,LDLDL
