id,name,link
964,Zenit St. Petersburg,/zenit-st-petersburg/startseite/verein/964
232,Spartak Moscow,/spartak-moscow/startseite/verein/232
932,Lokomotiv Moscow,/lokomotiv-moscow/startseite/verein/932
2698,Rubin Kazan,/rubin-kazan/startseite/verein/2698
41231,FC Sochi,/fc-sochi/startseite/verein/41231
2410,CSKA Moscow,/cska-moscow/startseite/verein/2410
121,Dynamo Moscow,/dynamo-moscow/startseite/verein/121
3719,FK Khimki,/fk-khimki/startseite/verein/3719
1083,FK Rostov,/fk-rostov/startseite/verein/1083
16704,FK Krasnodar,/fk-krasnodar/startseite/verein/16704
3725,Akhmat Grozny,/akhmat-grozny/startseite/verein/3725
11127,Ural Yekaterinburg,/ural-yekaterinburg/startseite/verein/11127
28095,FK Ufa,/fk-ufa/startseite/verein/28095
3729,Arsenal Tula,/arsenal-tula/startseite/verein/3729
2696,Krylya Sovetov Samara,/krylya-sovetov-samara/startseite/verein/2696
49702,FK Nizhny Novgorod,/fk-nizhny-novgorod/startseite/verein/49702
