id,name,link,rank,played,wins,draws,losses,goals,diff,points
16704,FC Krasnodar,/fk-krasnodar/startseite/verein/16704,1,23,16,4,3,48:16,32,52
964,Zenit St. Petersburg,/zenit-st-petersburg/startseite/verein/964,2,23,15,6,2,43:16,27,51
932,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,3,23,12,8,3,49:32,17,44
2741,Baltika Kaliningrad,/baltika-kaliningrad/startseite/verein/2741,4,23,11,10,2,32:11,21,43
2410,CSKA Moscow,/zska-moskau/startseite/verein/2410,5,23,13,3,7,36:25,11,42
232,Spartak Moscow,/spartak-moskau/startseite/verein/232,6,23,12,5,6,37:31,6,41
2698,Rubin Kazan,/rubin-kazan/startseite/verein/2698,7,23,9,6,8,23:25,-2,33
121,Dynamo Moscow,/dinamo-moskau/startseite/verein/121,8,23,8,7,8,40:33,7,31
3725,Akhmat Grozny,/akhmat-grozny/startseite/verein/3725,9,23,8,6,9,27:29,-2,30
1083,FC Rostov,/fk-rostov/startseite/verein/1083,10,23,6,7,10,18:25,-7,25
71985,Akron Tolyatti,/akron-togliatti/startseite/verein/71985,11,23,5,7,11,28:40,-12,22
75231,Dinamo Makhachkala,/fk-makhachkala/startseite/verein/75231,12,23,5,7,11,14:29,-15,22
2696,Krylya Sovetov Samara,/krylya-sovetov-samara/startseite/verein/2696,13,23,5,6,12,23:42,-19,21
49702,FC Pari Nizhniy Novgorod,/fk-nizhny-novgorod/startseite/verein/49702,14,23,6,2,15,18:37,-19,20
14589,FC Orenburg,/fk-orenburg/startseite/verein/14589,15,23,4,7,12,24:36,-12,19
41231,FC Sochi,/fk-sochi/startseite/verein/41231,16,23,2,3,18,20:53,-33,9
