id,name,shirtNumber,positionId,link
406625,Lautaro Martínez,10,4,/lautaro-martinez/profil/spieler/406625
255942,Nicolò Barella,23,3,/nicolo-barella/profil/spieler/255942
204069,Milan Skriniar,37,2,/milan-skriniar/profil/spieler/204069
315853,Alessandro Bastoni,95,2,/alessandro-bastoni/profil/spieler/315853
111196,Stefan de Vrij,6,2,/stefan-de-vrij/profil/spieler/111196
156617,Marcelo Brozovic,77,3,/marcelo-brozovic/profil/spieler/156617
126414,Hakan Calhanoglu,20,3,/hakan-calhanoglu/profil/spieler/126414
227081,Joaquín Correa,19,4,/joaquin-correa/profil/spieler/227081
321528,Denzel Dumfries,2,2,/denzel-dumfries/profil/spieler/321528
197471,Roberto Gagliardini,5,3,/roberto-gagliardini/profil/spieler/197471
540941,Mikkel Damsgaard,38,4,/mikkel-damsgaard/profil/spieler/540941
256339,Emil Audero,1,1,/emil-audero/profil/spieler/256339
503638,Mohamed Ihattaren,20,3,/mohamed-ihattaren/profil/spieler/503638
226524,Morten Thorsby,2,3,/morten-thorsby/profil/spieler/226524
144143,Bartosz Bereszynski,24,2,/bartosz-bereszynski/profil/spieler/144143
174733,Omar Colley,15,2,/omar-colley/profil/spieler/174733
112343,Manolo Gabbiadini,23,4,/manolo-gabbiadini/profil/spieler/112343
434676,Ronaldo Vieira,14,3,/ronaldo-vieira/profil/spieler/434676
159883,Ernesto Torregrossa,9,4,/ernesto-torregrossa/profil/spieler/159883
198116,Federico Dimarco,32,2,/federico-dimarco/profil/spieler/198116
42460,Ivan Perisic,14,3,/ivan-perisic/profil/spieler/42460
216179,Stefano Sensi,12,3,/stefano-sensi/profil/spieler/216179
143812,Matías Vecino,8,3,/matias-vecino/profil/spieler/143812
54906,Matteo Darmian,36,2,/matteo-darmian/profil/spieler/54906
40433,Alexis Sánchez,7,4,/alexis-sanchez/profil/spieler/40433
55769,Danilo D'Ambrosio,33,2,/danilo-dambrosio/profil/spieler/55769
303657,Ionut Radu,97,1,/ionut-radu/profil/spieler/303657
84765,Francesco Caputo,10,4,/francesco-caputo/profil/spieler/84765
