player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Lautaro Martínez,#10,Centre-Forward,Inter,Serie A,8,5,-,2,-,-,,,541'
Milan Skriniar,#37,Centre-Back,Inter,Serie A,9,2,-,1,-,-,,,810'
Marcelo Brozovic,#77,Defensive Midfield,Inter,Serie A,9,-,1,2,-,-,,,733'
Joaquín Correa,#19,Second Striker,Inter,Serie A,5,2,-,2,-,-,,,154'
Hakan Calhanoglu,#20,Attacking Midfield,Inter,Serie A,8,1,3,2,-,-,,,494'
Alessandro Bastoni,#95,Centre-Back,Inter,Serie A,8,-,-,2,-,-,,,609'
Nicolò Barella,#23,Central Midfield,Inter,Serie A,9,1,6,3,-,-,,,773'
Stefan de Vrij,#6,Centre-Back,Inter,Serie A,9,-,-,-,-,-,,,787'
Roberto Gagliardini,#5,Central Midfield,Inter,Serie A,4,-,1,1,-,-,,,119'
Mikkel Damsgaard,#38,Left Winger,Sampdoria,Serie A,7,-,-,1,-,-,,,515'
Mohamed Ihattaren,#20,Attacking Midfield,Sampdoria,Champions League Qu.,-,-,-,-,-,-,,,-
Denzel Dumfries,#2,Right-Back,Inter,Serie A,8,-,1,1,-,-,,,273'
Bartosz Bereszynski,#24,Right-Back,Sampdoria,Serie A,9,-,2,5,-,-,,,788'
Morten Thorsby,#2,Central Midfield,Sampdoria,Serie A,8,1,-,5,-,-,,,671'
Manolo Gabbiadini,#23,Centre-Forward,Sampdoria,Serie A,3,-,1,1,-,-,,,194'
Omar Colley,#15,Centre-Back,Sampdoria,Serie A,9,-,-,2,-,-,,,802'
Federico Dimarco,#32,Left-Back,Inter,Serie A,8,1,2,-,-,-,,,366'
Stefano Sensi,#12,Central Midfield,Inter,Serie A,3,-,-,-,-,-,,,94'
Ernesto Torregrossa,#9,Centre-Forward,Sampdoria,Serie A,5,-,-,1,-,-,,,68'
Ronaldo Vieira,#14,Central Midfield,Sampdoria,,,,,,,,,,
Ivan Perisic,#14,Left Midfield,Inter,Serie A,8,2,1,2,-,-,,,596'
Emil Audero,#1,Goalkeeper,Sampdoria,Serie A,9,-,,-,-,-,17,2,810'
Matías Vecino,#8,Central Midfield,Inter,Serie A,7,1,-,1,-,-,,,182'
Tommaso Augello,#3,Left-Back,Sampdoria,Serie A,9,1,-,-,-,-,,,695'
Matteo Darmian,#36,Right-Back,Inter,Serie A,8,1,1,2,-,-,,,606'
Danilo D'Ambrosio,#33,Right-Back,Inter,Serie A,2,-,-,-,-,-,,,39'
Francesco Caputo,#10,Centre-Forward,Sampdoria,Serie A,9,2,3,1,-,-,,,697'
Ionut Radu,#97,Goalkeeper,Inter,Champions League,-,-,,-,-,-,-,-,-
Alexis Sánchez,#7,Centre-Forward,Inter,Serie A,4,-,1,-,-,-,,,70'
Fabio Depaoli,#12,Right-Back,Sampdoria,Serie A,5,-,-,1,-,-,,,107'
Nicola Murru,#29,Left-Back,Sampdoria,Serie A,4,-,-,2,-,-,,,115'
Adrien Silva,#5,Central Midfield,Sampdoria,Serie A,9,-,1,1,-,-,,,504'
Edin Dzeko,#9,Centre-Forward,Inter,Serie A,9,7,2,1,-,-,,,687'
Maya Yoshida,#22,Centre-Back,Sampdoria,Serie A,9,2,-,1,-,-,,,810'
Valerio Verre,#8,Central Midfield,Sampdoria,Serie A,5,-,-,-,-,-,,,143'
Arturo Vidal,#22,Central Midfield,Inter,Serie A,4,1,1,1,-,-,,,115'
Aleksandar Kolarov,#11,Left-Back,Inter,Champions League,1,-,-,-,-,-,,,5'
Albin Ekdal,#6,Defensive Midfield,Sampdoria,Serie A,6,-,-,2,-,-,,,304'
Facundo Colidio,,Centre-Forward,Inter,,,,,,,,,,
Gabriel Brazão,,Goalkeeper,Inter,,,,,,,,,,
