rank,club,played,wins,draws,losses,goals,diff,points
1,SSC Napoli,7,7,0,0,18:3,15,21
2,AC Milan,7,6,1,0,15:5,10,19
3,Inter,7,5,2,0,22:8,14,17
4,AS Roma,7,5,0,2,16:8,8,15
5,Fiorentina,7,4,0,3,10:11,-1,12
6,Lazio,7,3,2,2,15:12,3,11
7,Bologna,7,3,2,2,12:14,-2,11
8,Juventus,7,3,2,2,11:10,1,11
9,Atalanta BC,7,3,2,2,10:9,1,11
10,FC Empoli,7,3,0,4,9:12,-3,9
11,Hellas Verona,7,2,2,3,15:14,1,8
12,Torino,7,2,2,3,9:7,2,8
13,Udinese Calcio,7,2,2,3,9:11,-2,8
14,Sassuolo,7,2,1,4,7:9,-2,7
15,Sampdoria,7,1,3,3,10:13,-3,6
16,Genoa,7,1,2,4,10:16,-6,5
17,Venezia,7,1,2,4,5:12,-7,5
18,Spezia Calcio,7,1,1,5,8:19,-11,4
19,Salernitana,7,1,1,5,5:15,-10,4
20,Cagliari Calcio,7,0,3,4,8:16,-8,3
