rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Inter Milan,https://tmssl.akamaized.net//images/wappen/head/46.png?lm=1618900989,33,25,3,5,78:29,49,78,LDDWWW
2,AC Milan,https://tmssl.akamaized.net//images/wappen/head/5.png?lm=1605166627,33,19,9,5,48:27,21,66,WLWLLW
3,SSC Napoli,https://tmssl.akamaized.net//images/wappen/head/6195.png?lm=1753167643,33,20,6,7,48:33,15,66,WWWWDL
4,Juventus FC,https://tmssl.akamaized.net//images/wappen/head/506.png?lm=1626441487,33,18,9,6,57:29,28,63,WWDWWW
5,Como 1907,https://tmssl.akamaized.net//images/wappen/head/1047.png?lm=1565704078,33,16,10,7,57:28,29,58,WWWDLL
6,AS Roma,https://tmssl.akamaized.net//images/wappen/head/12.png?lm=1751979202,33,18,4,11,46:29,17,58,LLWLWD
7,Atalanta BC,https://tmssl.akamaized.net//images/wappen/head/800.png?lm=1438547428,33,14,12,7,45:29,16,54,DDWWLD
8,Bologna FC 1909,https://tmssl.akamaized.net//images/wappen/head/1025.png?lm=1626441324,33,14,6,13,42:39,3,48,LWLWWL
9,SS Lazio,https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,33,12,11,10,34:30,4,47,WWWDLW
10,US Sassuolo,https://tmssl.akamaized.net//images/wappen/head/6574.png?lm=1755894334,33,13,6,14,41:44,-3,45,LLDWLW
11,Udinese Calcio,https://tmssl.akamaized.net//images/wappen/head/410.png?lm=1688982584,33,12,7,14,38:43,-5,43,DLWDWL
12,Torino FC,https://tmssl.akamaized.net//images/wappen/head/416.png?lm=1438548174,33,11,7,15,37:54,-17,40,LWLWWD
13,Genoa CFC,https://tmssl.akamaized.net//images/wappen/head/252.png?lm=1655305880,33,10,9,14,40:46,-6,39,WWLLWW
14,Parma Calcio 1913,https://tmssl.akamaized.net//images/wappen/head/130.png?lm=1530945992,33,9,12,12,24:40,-16,39,DLLDDW
15,ACF Fiorentina,https://tmssl.akamaized.net//images/wappen/head/430.png?lm=1722844765,32,8,11,13,37:44,-7,35,DWDWW
16,Cagliari Calcio,https://tmssl.akamaized.net//images/wappen/head/1390.png?lm=1626441409,33,8,9,16,33:47,-14,33,LLLLWL
17,US Cremonese,https://tmssl.akamaized.net//images/wappen/head/2239.png?lm=1501770762,33,6,10,17,26:47,-21,28,LLWLLD
18,US Lecce,https://tmssl.akamaized.net//images/wappen/head/1005.png?lm=1689169528,32,7,6,19,21:45,-24,27,WLLLL
19,Hellas Verona,https://tmssl.akamaized.net//images/wappen/head/276.png?lm=1617228746,33,3,9,21,23:56,-33,18,WLLLLL
20,Pisa Sporting Club,https://tmssl.akamaized.net//images/wappen/head/4172.png?lm=1693294828,33,2,12,19,24:60,-36,18,LWLLLL
