group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,Inter Milan,https://img.a.transfermarkt.technology/wappen/big/46.png?lm=4711,2,2,0,0,5:1,4,6,WW
,2,AC Milan,https://img.a.transfermarkt.technology/wappen/big/5.png?lm=4711,2,2,0,0,4:1,3,6,WW
,3,Juventus FC,https://img.a.transfermarkt.technology/wappen/big/506.png?lm=4711,2,2,0,0,3:0,3,6,WW
,4,SS Lazio,https://img.a.transfermarkt.technology/wappen/big/398.png?lm=4711,2,2,0,0,2:0,2,6,WW
,5,Udinese Calcio,https://img.a.transfermarkt.technology/wappen/big/410.png?lm=4711,2,1,1,0,4:3,1,4,DW
,6,Como 1907,https://img.a.transfermarkt.technology/wappen/big/1047.png?lm=4711,2,1,1,0,3:2,1,4,DW
,7,AS Roma,https://img.a.transfermarkt.technology/wappen/big/12.png?lm=4711,1,1,0,0,4:0,4,3,W
,8,Frosinone Calcio,https://img.a.transfermarkt.technology/wappen/big/8970.png?lm=4711,2,1,0,1,3:1,2,3,LW
,9,US Lecce,https://img.a.transfermarkt.technology/wappen/big/1005.png?lm=4711,1,1,0,0,2:0,2,3,W
,10,SSC Napoli,https://img.a.transfermarkt.technology/wappen/big/6195.png?lm=4711,2,1,0,1,3:2,1,3,WL
,11,Atalanta BC,https://img.a.transfermarkt.technology/wappen/big/800.png?lm=4711,1,1,0,0,2:1,1,3,W
,12,US Sassuolo,https://img.a.transfermarkt.technology/wappen/big/6574.png?lm=4711,2,1,0,1,3:3,0,3,LW
,13,Cagliari Calcio,https://img.a.transfermarkt.technology/wappen/big/1390.png?lm=4711,2,1,0,1,1:1,0,3,WL
,14,Bologna FC 1909,https://img.a.transfermarkt.technology/wappen/big/1025.png?lm=4711,1,0,0,1,0:1,-1,0,L
,15,Torino FC,https://img.a.transfermarkt.technology/wappen/big/416.png?lm=4711,2,0,0,2,2:4,-2,0,LL
,16,Parma Calcio 1913,https://img.a.transfermarkt.technology/wappen/big/130.png?lm=4711,2,0,0,2,0:3,-3,0,LL
,17,Genoa CFC,https://img.a.transfermarkt.technology/wappen/big/252.png?lm=4711,2,0,0,2,0:3,-3,0,LL
,18,AC Monza,https://img.a.transfermarkt.technology/wappen/big/2919.png?lm=4711,2,0,0,2,3:7,-4,0,LL
,19,Venezia FC,https://img.a.transfermarkt.technology/wappen/big/607.png?lm=4711,2,0,0,2,0:4,-4,0,LL
,20,ACF Fiorentina,https://img.a.transfermarkt.technology/wappen/big/430.png?lm=4711,2,0,0,2,0:7,-7,0,LL
