id,name,link
46,Inter Milan,/inter-milan/startseite/verein/46
5,AC Milan,/ac-milan/startseite/verein/5
800,Atalanta BC,/atalanta-bc/startseite/verein/800
506,Juventus FC,/juventus-fc/startseite/verein/506
6195,SSC Napoli,/ssc-napoli/startseite/verein/6195
398,SS Lazio,/ss-lazio/startseite/verein/398
12,AS Roma,/as-roma/startseite/verein/12
6574,US Sassuolo,/us-sassuolo/startseite/verein/6574
1038,UC Sampdoria,/uc-sampdoria/startseite/verein/1038
276,Hellas Verona,/hellas-verona/startseite/verein/276
252,Genoa CFC,/genoa-cfc/startseite/verein/252
1025,Bologna FC 1909,/bologna-fc-1909/startseite/verein/1025
410,Udinese Calcio,/udinese-calcio/startseite/verein/410
430,ACF Fiorentina,/acf-fiorentina/startseite/verein/430
3522,Spezia Calcio,/spezia-calcio/startseite/verein/3522
1390,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390
416,Torino FC,/torino-fc/startseite/verein/416
749,FC Empoli,/fc-empoli/startseite/verein/749
380,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380
607,Venezia FC,/venezia-fc/startseite/verein/607
