id,name,link,rank,played,wins,draws,losses,goals,diff,points
46,Inter Milan,/inter-mailand/startseite/verein/46,1,31,23,3,5,71:26,45,72
6195,SSC Napoli,/ssc-neapel/startseite/verein/6195,2,31,20,5,6,47:30,17,65
5,AC Milan,/ac-mailand/startseite/verein/5,3,31,18,9,4,47:24,23,63
1047,Como 1907,/como-1907/startseite/verein/1047,4,31,16,10,5,53:22,31,58
506,Juventus FC,/juventus-turin/startseite/verein/506,5,31,16,9,6,54:29,25,57
12,AS Roma,/as-rom/startseite/verein/12,6,31,17,3,11,42:28,14,54
800,Atalanta BC,/atalanta-bergamo/startseite/verein/800,7,31,14,11,6,44:27,17,53
1025,Bologna FC 1909,/fc-bologna/startseite/verein/1025,8,31,13,6,12,40:37,3,45
398,SS Lazio,/lazio-rom/startseite/verein/398,9,31,11,11,9,32:29,3,44
6574,US Sassuolo,/us-sassuolo/startseite/verein/6574,10,31,12,6,13,38:41,-3,42
410,Udinese Calcio,/udinese-calcio/startseite/verein/410,11,31,11,7,13,35:42,-7,40
416,Torino FC,/fc-turin/startseite/verein/416,12,31,10,6,15,35:53,-18,36
130,Parma Calcio 1913,/parma-calcio-1913/startseite/verein/130,13,31,8,11,12,22:39,-17,35
252,Genoa CFC,/genua-cfc/startseite/verein/252,14,31,8,9,14,36:44,-8,33
430,ACF Fiorentina,/ac-florenz/startseite/verein/430,15,31,7,11,13,36:44,-8,32
1390,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,16,31,7,9,15,32:44,-12,30
2239,US Cremonese,/us-cremonese/startseite/verein/2239,17,31,6,9,16,26:46,-20,27
1005,US Lecce,/us-lecce/startseite/verein/1005,18,31,7,6,18,21:43,-22,27
276,Hellas Verona,/hellas-verona/startseite/verein/276,19,31,3,9,19,22:53,-31,18
4172,Pisa Sporting Club,/ac-pisa-1909/startseite/verein/4172,20,31,2,12,17,23:55,-32,18
