id,name,shirtNumber,positionId,position,club,link
357662,Declan Rice,41,3,Midfield,Arsenal,/declan-rice/profil/spieler/357662
433177,Bukayo Saka,7,4,Forward,Arsenal,/bukayo-saka/profil/spieler/433177
495666,William Saliba,2,2,Defender,Arsenal,/william-saliba/profil/spieler/495666
423440,Martín Zubimendi,36,3,Midfield,Arsenal,/martin-zubimendi/profil/spieler/423440
435338,Gabriel,6,2,Defender,Arsenal,/gabriel/profil/spieler/435338
420243,Jurriën Timber,12,2,Defender,Arsenal,/jurrien-timber/profil/spieler/420243
316264,Martin Ødegaard,8,3,Midfield,Arsenal,/martin-odegaard/profil/spieler/316264
325443,Viktor Gyökeres,14,4,Forward,Arsenal,/viktor-gyokeres/profil/spieler/325443
479999,Eberechi Eze,10,3,Midfield,Arsenal,/eberechi-eze/profil/spieler/479999
503987,Noni Madueke,20,4,Forward,Arsenal,/noni-madueke/profil/spieler/503987
502821,Riccardo Calafiori,33,2,Defender,Arsenal,/riccardo-calafiori/profil/spieler/502821
309400,Kai Havertz,29,4,Forward,Arsenal,/kai-havertz/profil/spieler/309400
659813,Piero Hincapié,5,2,Defender,Arsenal,/piero-hincapie/profil/spieler/659813
655488,Gabriel Martinelli,11,4,Forward,Arsenal,/gabriel-martinelli/profil/spieler/655488
262749,David Raya,1,1,Goalkeeper,Arsenal,/david-raya/profil/spieler/262749
890721,Myles Lewis-Skelly,49,2,Defender,Arsenal,/myles-lewis-skelly/profil/spieler/890721
646750,Cristhian Mosquera,3,2,Defender,Arsenal,/cristhian-mosquera/profil/spieler/646750
338424,Mikel Merino,23,3,Midfield,Arsenal,/mikel-merino/profil/spieler/338424
335721,Ben White,4,2,Defender,Arsenal,/ben-white/profil/spieler/335721
144028,Leandro Trossard,19,4,Forward,Arsenal,/leandro-trossard/profil/spieler/144028
1187629,Max Dowman,56,4,Forward,Arsenal,/max-dowman/profil/spieler/1187629
363205,Gabriel Jesus,9,4,Forward,Arsenal,/gabriel-jesus/profil/spieler/363205
192279,Kepa Arrizabalaga,13,1,Goalkeeper,Arsenal,/kepa-arrizabalaga/profil/spieler/192279
148367,Christian Nørgaard,16,3,Midfield,Arsenal,/christian-norgaard/profil/spieler/148367
566723,Michael Olise,17,4,Forward,Bayern Munich,/michael-olise/profil/spieler/566723
580195,Jamal Musiala,10,3,Midfield,Bayern Munich,/jamal-musiala/profil/spieler/580195
