player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
598577,Florian Wirtz,#7,Midfield,Liverpool,Champions League,11,1,4,-,-,-,,,840'
349066,Alexander Isak,#9,Forward,Liverpool,Champions League,7,-,-,-,-,-,,,285'
451276,Dominik Szoboszlai,#8,Midfield,Liverpool,Champions League,12,5,4,1,-,-,,,1.053'
709726,Hugo Ekitiké,#22,Forward,Liverpool,Champions League,12,3,1,1,-,-,,,838'
478573,Ryan Gravenberch,#38,Midfield,Liverpool,Champions League,11,1,2,2,-,-,,,961'
534033,Alexis Mac Allister,#10,Midfield,Liverpool,Champions League,12,3,1,3,-,-,,,853'
434675,Cody Gakpo,#18,Forward,Liverpool,Champions League,11,2,1,-,-,-,,,470'
357119,Ibrahima Konaté,#5,Defender,Liverpool,Champions League,10,1,-,1,-,-,,,871'
730861,Milos Kerkez,#6,Defender,Liverpool,Champions League,9,-,-,1,-,-,,,594'
433188,Curtis Jones,#17,Midfield,Liverpool,Champions League,9,-,-,2,-,-,,,433'
484547,Jeremie Frimpong,#30,Defender,Liverpool,Champions League,9,-,-,-,-,-,,,465'
148455,Mohamed Salah,#11,Forward,Liverpool,Champions League,10,3,2,-,-,-,,,687'
624258,Conor Bradley,#12,Defender,Liverpool,Champions League,5,-,-,2,-,-,,,243'
502676,Giorgi Mamardashvili,#25,Goalkeeper,Liverpool,Champions League,7,-,,-,-,-,10,1,574'
1086619,Giovanni Leoni,#15,Defender,Liverpool,Champions League,,,,,,,,,
1108466,Rio Ngumoha,#73,Forward,Liverpool,Champions League,4,-,-,-,-,-,,,63'
139208,Virgil van Dijk,#4,Defender,Liverpool,Champions League,12,2,3,2,-,-,,,1.080'
105470,Alisson,#1,Goalkeeper,Liverpool,Champions League,6,-,,-,-,-,3,4,506'
341092,Federico Chiesa,#14,Forward,Liverpool,Champions League,5,1,-,-,-,-,,,78'
256178,Joe Gomez,#2,Defender,Liverpool,Champions League,6,-,-,1,-,-,,,374'
234803,Andrew Robertson,#26,Defender,Liverpool,Champions League,7,1,1,-,-,-,,,486'
1045123,Trey Nyoni,#42,Midfield,Liverpool,Champions League,3,-,-,-,-,-,,,25'
146310,Wataru Endo,#3,Midfield,Liverpool,Champions League,1,-,-,-,-,-,,,86'
864799,Stefan Bajcetic,#43,Midfield,Liverpool,Champions League,,,,,,,,,
226049,Freddie Woodman,#28,Goalkeeper,Liverpool,Champions League,,,,,,,,,
633652,Calvin Ramsay,#47,Defender,Liverpool,Champions League,,,,,,,,,
503679,Rhys Williams,#46,Defender,Liverpool,Champions League,,,,,,,,,
706815,Harvey Davies,#95,Goalkeeper,Liverpool,Champions League,,,,,,,,,
557459,Micky van de Ven,#37,Defender,Tottenham,Champions League,8,2,-,3,-,-,,,720'
543499,Mohammed Kudus,#20,Forward,Tottenham,Champions League,5,1,-,-,-,-,,,271'
566931,Xavi Simons,#7,Midfield,Tottenham,Champions League,10,3,1,1,-,-,,,571'
355915,Cristian Romero,#17,Defender,Tottenham,Champions League,8,1,3,2,-,-,,,694'
553875,Pedro Porro,#23,Defender,Tottenham,Champions League,9,1,3,2,-,-,,,772'
866246,Lucas Bergvall,#15,Midfield,Tottenham,Champions League,7,-,1,1,-,-,,,378'
922693,Archie Gray,#14,Midfield,Tottenham,Champions League,8,-,1,2,-,-,,,584'
556385,Destiny Udogie,#13,Defender,Tottenham,Champions League,7,-,-,1,-,-,,,311'
488362,Conor Gallagher,#22,Midfield,Tottenham,Champions League,8,1,-,-,-,-,,,340'
431755,Dejan Kulusevski,#21,Midfield,Tottenham,Champions League,,,,,,,,,
258889,Dominic Solanke,#19,Forward,Tottenham,Champions League,3,3,-,-,-,-,,,132'
568693,Pape Matar Sarr,#29,Midfield,Tottenham,Champions League,9,-,-,-,-,-,,,643'
483348,Djed Spence,#24,Defender,Tottenham,Champions League,10,-,-,1,-,-,,,706'
378710,Richarlison,#9,Forward,Tottenham,Champions League,7,1,1,3,-,-,,,481'
801734,Mathys Tel,#11,Forward,Tottenham,Champions League,3,-,1,-,-,-,,,158'
294057,James Maddison,#10,Midfield,Tottenham,Champions League,,,,,,,,,
286047,Guglielmo Vicario,#1,Goalkeeper,Tottenham,Champions League,10,-,,2,-,-,11,6,883'
487969,Randal Kolo Muani,#39,Forward,Tottenham,Champions League,9,4,2,2,-,-,,,450'
354362,Rodrigo Bentancur,#30,Midfield,Tottenham,Champions League,5,-,-,-,-,-,,,412'
263236,Kevin Danso,#4,Defender,Tottenham,Champions League,8,-,-,1,-,-,,,477'
568559,Radu Drăgușin,#3,Defender,Tottenham,Champions League,1,-,-,-,-,-,,,66'
743498,Wilson Odobert,#28,Forward,Tottenham,Champions League,7,1,2,-,-,-,,,484'
257455,João Palhinha,#6,Midfield,Tottenham,Champions League,8,1,1,2,-,-,,,377'
725912,Antonín Kinský,#31,Goalkeeper,Tottenham,Champions League,1,-,,-,-,-,3,-,17'
410425,Yves Bissouma,#8,Midfield,Tottenham,Champions League,,,,,,,,,
1086258,Souza,#38,Defender,Tottenham,Champions League,,,,,,,,,
192765,Ben Davies,#33,Defender,Tottenham,Champions League,1,-,-,-,-,-,,,22'
428016,Brandon Austin,#40,Goalkeeper,Tottenham,Champions League,,,,,,,,,
937958,Lamine Yamal,#10,Forward,Barcelona,Champions League,10,6,4,4,-,-,,,874'
683840,Pedri,#8,Midfield,Barcelona,Champions League,9,-,2,-,-,-,,,695'
636703,Fermín López,#16,Midfield,Barcelona,Champions League,11,6,4,2,-,-,,,802'
962110,Pau Cubarsí,#5,Defender,Barcelona,Champions League,10,-,-,1,-,1,,,745'
411295,Raphinha,#11,Forward,Barcelona,Champions League,7,3,3,-,-,-,,,544'
411975,Jules Koundé,#23,Defender,Barcelona,Champions League,10,2,1,1,-,-,,,868'
293385,Dani Olmo,#20,Midfield,Barcelona,Champions League,10,1,2,1,-,-,,,445'
636688,Alejandro Balde,#3,Defender,Barcelona,Champions League,8,-,1,1,-,-,,,525'
398184,Ferran Torres,#7,Forward,Barcelona,Champions League,10,3,1,-,-,-,,,357'
326330,Frenkie de Jong,#21,Midfield,Barcelona,Champions League,8,-,1,3,-,-,,,514'
258923,Marcus Rashford,#14,Forward,Barcelona,Champions League,11,5,4,-,-,-,,,579'
561613,Joan García,#13,Goalkeeper,Barcelona,Champions League,9,-,,-,-,-,14,-,802'
466794,Eric García,#24,Defender,Barcelona,Champions League,11,-,-,-,-,1,,,781'
1018920,Marc Bernal,#22,Midfield,Barcelona,Champions League,6,1,-,-,-,-,,,241'
646740,Gavi,#6,Midfield,Barcelona,Champions League,2,-,-,2,-,-,,,126'
705395,Gerard Martín,#18,Defender,Barcelona,Champions League,12,-,1,2,-,-,,,791'
636695,Marc Casadó,#17,Midfield,Barcelona,Champions League,6,-,-,2,-,-,,,195'
480267,Ronald Araujo,#4,Defender,Barcelona,Champions League,10,-,-,-,1,-,,,443'
792331,Roony Bardghji,#19,Forward,Barcelona,Champions League,5,-,1,-,-,-,,,85'
196948,Andreas Christensen,#15,Defender,Barcelona,Champions League,4,-,-,-,-,-,,,53'
182712,João Cancelo,#2,Defender,Barcelona,Champions League,4,-,-,1,-,-,,,331'
38253,Robert Lewandowski,#9,Forward,Barcelona,Champions League,11,4,1,-,-,-,,,623'
44058,Wojciech Szczęsny,#25,Goalkeeper,Barcelona,Champions League,4,-,,-,-,-,6,-,278'
938144,Diego Kochen,#31,Goalkeeper,Barcelona,Champions League,,,,,,,,,
687626,Moisés Caicedo,#25,Midfield,Chelsea,Champions League,10,2,-,1,-,-,,,851'
568177,Cole Palmer,#10,Midfield,Chelsea,Champions League,4,1,2,-,-,-,,,277'
648195,Enzo Fernández,#8,Midfield,Chelsea,Champions League,10,3,2,2,-,-,,,748'
1056993,Estêvão,#41,Forward,Chelsea,Champions League,7,3,-,1,-,-,,,427'
626724,João Pedro,#20,Forward,Chelsea,Champions League,8,3,-,-,1,-,,,532'
472423,Reece James,#24,Defender,Chelsea,Champions League,8,-,2,1,-,-,,,564'
487465,Pedro Neto,#7,Forward,Chelsea,Champions League,8,-,1,1,-,-,,,614'
284857,Marc Cucurella,#3,Defender,Chelsea,Champions League,9,-,-,-,-,-,,,721'
614258,Levi Colwill,#6,Defender,Chelsea,Champions League,,,,,,,,,
743600,Andrey Santos,#17,Midfield,Chelsea,Champions League,6,-,2,2,-,-,,,306'
811779,Alejandro Garnacho,#49,Forward,Chelsea,Champions League,9,1,-,-,-,-,,,330'
346314,Trevoh Chalobah,#23,Defender,Chelsea,Champions League,8,-,-,1,-,-,,,571'
904802,Jorrel Hato,#21,Defender,Chelsea,Champions League,4,-,-,-,-,-,,,340'
620322,Malo Gusto,#27,Defender,Chelsea,Champions League,7,1,1,1,-,-,,,476'
670882,Jamie Gittens,#11,Forward,Chelsea,Champions League,7,-,1,1,-,-,,,320'
610849,Liam Delap,#9,Forward,Chelsea,Champions League,5,1,-,-,-,-,,,184'
475411,Wesley Fofana,#29,Defender,Chelsea,Champions League,6,-,1,1,-,-,,,480'
628451,Roméo Lavia,#45,Midfield,Chelsea,Champions League,4,-,-,-,-,-,,,111'
910905,Mamadou Sarr,#19,Defender,Chelsea,Champions League,1,-,-,-,-,-,,,45'
1004708,Josh Acheampong,#34,Defender,Chelsea,Champions League,5,-,-,-,-,-,,,193'
403151,Robert Sánchez,#1,Goalkeeper,Chelsea,Champions League,8,-,,-,-,-,12,3,675'
258878,Tosin Adarabioyo,#4,Defender,Chelsea,Champions League,5,-,-,1,-,-,,,258'
463603,Benoît Badiashile,#5,Defender,Chelsea,Champions League,4,-,-,-,-,-,,,262'
670717,Dário Essugo,#14,Midfield,Chelsea,Champions League,,,,,,,,,
585323,Filip Jørgensen,#12,Goalkeeper,Chelsea,Champions League,3,-,,-,-,-,6,1,225'
938158,Marc Guiu,#38,Forward,Chelsea,Champions League,1,1,-,-,-,-,,,45'
746833,Caleb Wiley,#0,Defender,Chelsea,Champions League,,,,,,,,,
656316,Gabriel Slonina,#44,Goalkeeper,Chelsea,Champions League,,,,,,,,,
731466,Teddy Sharman-Lowe,#28,Goalkeeper,Chelsea,Champions League,,,,,,,,,
537860,Mykhaylo Mudryk,#0,Forward,Chelsea,Champions League,,,,,,,,,
503765,James Hillson,#0,Goalkeeper,Chelsea,Champions League,,,,,,,,,
974982,Ousmane Diomande,#26,Defender,Sporting,Champions League,9,1,-,-,-,-,,,614'
461496,Morten Hjulmand,#42,Midfield,Sporting,Champions League,10,-,-,5,-,-,,,910'
1138758,Geovany Quenda,#7,Forward,Sporting,Champions League,6,2,2,1,-,-,,,406'
549006,Gonçalo Inácio,#25,Defender,Sporting,Champions League,11,1,-,-,-,-,,,956'
412669,Francisco Trincão,#17,Midfield,Sporting,Champions League,11,4,3,-,-,-,,,957'
548193,Zeno Debast,#6,Defender,Sporting,Champions League,4,-,-,1,-,-,,,179'
424784,Luis Suárez,#97,Forward,Sporting,Champions League,12,5,2,2,-,-,,,956'
426620,Pedro Gonçalves,#8,Forward,Sporting,Champions League,8,1,1,3,-,-,,,532'
572675,Maxi Araújo,#20,Defender,Sporting,Champions League,11,2,1,4,-,-,,,982'
701979,Geny Catamo,#10,Forward,Sporting,Champions League,11,1,1,-,-,-,,,772'
532444,Fotis Ioannidis,#89,Forward,Sporting,Champions League,5,-,1,-,-,-,,,203'
504073,Eduardo Quaresma,#72,Defender,Sporting,Champions League,7,-,-,1,-,-,,,445'
958937,João Simões,#52,Midfield,Sporting,Champions League,10,-,1,1,-,-,,,655'
946883,Iván Fresneda,#22,Defender,Sporting,Champions League,10,-,1,1,-,-,,,920'
991800,Luís Guilherme,#31,Forward,Sporting,Champions League,1,-,-,-,-,-,,,80'
546186,Georgios Vagiannidis,#13,Defender,Sporting,Champions League,5,-,1,-,-,-,,,172'
461943,Daniel Bragança,#23,Midfield,Sporting,Champions League,6,-,1,-,-,-,,,166'
524315,Hidemasa Morita,#5,Midfield,Sporting,Champions League,11,-,1,1,-,-,,,466'
234811,Rui Silva,#1,Goalkeeper,Sporting,Champions League,11,-,,-,-,-,14,3,1.020'
405564,Giorgi Kochorashvili,#14,Midfield,Sporting,Champions League,2,-,1,1,-,-,,,62'
290391,Nuno Santos,#11,Defender,Sporting,Champions League,2,-,-,1,-,-,,,79'
666971,Souleymane Faye,#15,Forward,Sporting,Champions League,2,-,-,-,-,-,,,37'
314944,Ricardo Mangas,#91,Defender,Sporting,Champions League,2,-,-,1,-,-,,,87'
1057523,Rafael Nel,#90,Forward,Sporting,Champions League,3,1,-,-,-,-,,,20'
329813,João Virgínia,#12,Goalkeeper,Sporting,Champions League,1,-,,-,-,-,1,-,90'
418560,Erling Haaland,#9,Forward,Man City,Champions League,10,8,-,-,-,-,,,755'
406635,Phil Foden,#47,Midfield,Man City,Champions League,7,2,1,1,-,-,,,508'
583255,Antoine Semenyo,#42,Forward,Man City,Champions League,2,-,-,-,-,-,,,102'
475959,Josko Gvardiol,#24,Defender,Man City,Champions League,5,-,2,-,-,-,,,440'
607223,Rayan Cherki,#10,Midfield,Man City,Champions League,8,3,-,1,-,-,,,394'
486049,Jérémy Doku,#11,Forward,Man City,Champions League,9,1,3,-,-,-,,,630'
392757,Marc Guéhi,#15,Defender,Man City,Champions League,2,-,-,-,-,-,,,135'
357565,Rodri,#16,Midfield,Man City,Champions League,5,-,-,1,1,-,,,347'
258004,Rúben Dias,#3,Defender,Man City,Champions League,7,-,-,1,-,-,,,506'
445939,Omar Marmoush,#7,Forward,Man City,Champions League,8,-,-,-,-,-,,,222'
460939,Tijjani Reijnders,#4,Midfield,Man City,Champions League,10,-,3,-,-,-,,,579'
743413,Nico O'Reilly,#33,Defender,Man City,Champions League,8,1,2,2,-,-,,,671'
315858,Gianluigi Donnarumma,#25,Goalkeeper,Man City,Champions League,9,-,,2,-,-,12,3,810'
601883,Matheus Nunes,#27,Defender,Man City,Champions League,6,-,-,-,-,-,,,434'
466805,Nico González,#14,Midfield,Man City,Champions League,8,-,-,-,-,-,,,410'
743591,Savinho,#26,Forward,Man City,Champions League,7,-,1,2,-,-,,,369'
578391,Rayan Aït-Nouri,#21,Defender,Man City,Champions League,6,-,-,1,-,-,,,339'
763079,Abdukodir Khusanov,#45,Defender,Man City,Champions League,6,-,-,1,-,-,,,515'
701057,Rico Lewis,#82,Defender,Man City,Champions League,4,-,1,-,-,-,,,218'
241641,Bernardo Silva,#20,Midfield,Man City,Champions League,8,1,-,3,-,1,,,551'
566799,James Trafford,#1,Goalkeeper,Man City,Champions League,1,-,,-,-,-,2,-,90'
911736,Sverre Nypan,#41,Midfield,Man City,Champions League,,,,,,,,,
186590,John Stones,#5,Defender,Man City,Champions League,4,-,-,-,-,-,,,343'
177476,Nathan Aké,#6,Defender,Man City,Champions League,5,-,-,-,-,-,,,238'
51471,Mateo Kovacic,#8,Midfield,Man City,Champions League,1,-,-,-,-,-,,,33'
843595,Max Alleyne,#68,Defender,Man City,Champions League,1,-,-,-,-,-,,,90'
116648,Marcus Bettinelli,#13,Goalkeeper,Man City,Champions League,,,,,,,,,
342229,Kylian Mbappé,#10,Forward,Real Madrid,Champions League,11,15,1,2,-,-,,,911'
371998,Vinicius Junior,#7,Forward,Real Madrid,Champions League,14,5,8,2,-,-,,,1.171'
581678,Jude Bellingham,#5,Midfield,Real Madrid,Champions League,9,2,1,2,-,-,,,607'
369081,Federico Valverde,#8,Midfield,Real Madrid,Champions League,13,3,4,-,-,-,,,1.163'
861410,Arda Güler,#15,Midfield,Real Madrid,Champions League,14,2,4,1,1,-,,,1.030'
413112,Aurélien Tchouaméni,#14,Midfield,Real Madrid,Champions League,13,1,1,3,-,-,,,1.125'
890290,Dean Huijsen,#24,Defender,Real Madrid,Champions League,9,-,-,2,-,-,,,770'
314353,Trent Alexander-Arnold,#12,Defender,Real Madrid,Champions League,9,-,1,1,-,-,,,630'
811778,Álvaro Carreras,#18,Defender,Real Madrid,Champions League,9,-,-,4,-,-,,,798'
640428,Eduardo Camavinga,#6,Midfield,Real Madrid,Champions League,11,1,1,1,1,-,,,479'
412363,Rodrygo,#11,Forward,Real Madrid,Champions League,5,1,2,1,1,-,,,229'
1057316,Franco Mastantuono,#30,Forward,Real Madrid,Champions League,8,1,1,-,-,-,,,293'
314678,Brahim Díaz,#21,Forward,Real Madrid,Champions League,12,1,1,1,-,-,,,414'
935230,Gonzalo García,#16,Forward,Real Madrid,Champions League,5,-,1,-,-,-,,,173'
401530,Éder Militão,#3,Defender,Real Madrid,Champions League,5,-,-,2,-,-,,,388'
935245,Raúl Asencio,#17,Defender,Real Madrid,Champions League,8,-,1,1,1,-,,,559'
1375227,Thiago Pitarch,#45,Midfield,Real Madrid,Champions League,6,-,-,-,-,-,,,220'
108390,Thibaut Courtois,#1,Goalkeeper,Real Madrid,Champions League,11,-,,-,-,-,11,4,945'
404839,Andriy Lunin,#13,Goalkeeper,Real Madrid,Champions League,4,-,,-,-,-,9,-,315'
341264,Fran García,#20,Defender,Real Madrid,Champions League,7,-,-,-,-,-,,,246'
86202,Antonio Rüdiger,#22,Defender,Real Madrid,Champions League,7,-,-,2,-,-,,,630'
319745,Dani Ceballos,#19,Midfield,Real Madrid,Champions League,4,-,-,-,-,-,,,247'
1186235,Jorge Cestero,#28,Midfield,Real Madrid,Champions League,1,-,-,-,-,-,,,12'
291417,Ferland Mendy,#23,Defender,Real Madrid,Champions League,3,-,-,-,-,-,,,225'
138927,Daniel Carvajal,#2,Defender,Real Madrid,Champions League,5,-,-,-,-,1,,,96'
646824,Manuel Ángel,#37,Midfield,Real Madrid,Champions League,2,-,-,-,-,-,,,30'
59016,David Alaba,#4,Defender,Real Madrid,Champions League,3,-,-,-,-,-,,,115'
1055220,Fran González,#26,Goalkeeper,Real Madrid,Champions League,,,,,,,,,
406625,Lautaro Martínez,#10,Forward,Inter,Champions League,8,4,-,2,-,-,,,459'
315853,Alessandro Bastoni,#95,Defender,Inter,Champions League,9,1,1,2,-,-,,,691'
318528,Marcus Thuram,#9,Forward,Inter,Champions League,9,2,1,1,-,-,,,577'
255942,Nicolò Barella,#23,Midfield,Inter,Champions League,8,-,-,1,-,-,,,596'
198116,Federico Dimarco,#32,Defender,Inter,Champions League,9,1,-,1,-,-,,,714'
930781,Pio Esposito,#94,Forward,Inter,Champions League,9,2,2,1,-,-,,,518'
441986,Yann Bisseck,#31,Defender,Inter,Champions League,7,-,1,1,-,-,,,558'
827734,Ange-Yoan Bonny,#14,Forward,Inter,Champions League,10,-,3,-,-,-,,,282'
668207,Petar Sučić,#8,Midfield,Inter,Champions League,10,1,-,-,-,-,,,480'
585982,Carlos Augusto,#30,Defender,Inter,Champions League,7,1,-,-,-,-,,,386'
321528,Denzel Dumfries,#2,Defender,Inter,Champions League,5,2,-,-,-,-,,,342'
691316,Luis Henrique,#11,Midfield,Inter,Champions League,7,-,-,-,-,-,,,363'
394300,Davide Frattesi,#16,Midfield,Inter,Champions League,7,-,1,-,-,-,,,297'
126414,Hakan Çalhanoğlu,#20,Midfield,Inter,Champions League,6,1,2,-,-,-,,,338'
711976,Andy Diouf,#17,Midfield,Inter,Champions League,4,1,-,-,-,-,,,39'
284730,Manuel Akanji,#25,Defender,Inter,Champions League,10,-,-,1,-,-,,,707'
181136,Piotr Zieliński,#7,Midfield,Inter,Champions League,10,1,-,-,-,-,,,633'
388516,Josep Martínez,#13,Goalkeeper,Inter,Champions League,,,,,,,,,
55735,Henrikh Mkhitaryan,#22,Midfield,Inter,Champions League,4,-,-,2,-,-,,,315'
111196,Stefan de Vrij,#6,Defender,Inter,Champions League,3,-,-,1,-,-,,,225'
131075,Francesco Acerbi,#15,Defender,Inter,Champions League,5,-,-,2,-,-,,,391'
42205,Yann Sommer,#1,Goalkeeper,Inter,Champions League,10,-,,-,-,-,12,4,900'
54906,Matteo Darmian,#36,Defender,Inter,Champions League,2,-,-,-,-,-,,,89'
70580,Raffaele Di Gennaro,#12,Goalkeeper,Inter,Champions League,,,,,,,,,
397033,Sandro Tonali,#8,Midfield,Newcastle,Champions League,11,1,1,2,-,-,,,955'
520624,Bruno Guimarães,#39,Midfield,Newcastle,Champions League,7,-,-,1,-,-,,,544'
455661,Nick Woltemade,#27,Forward,Newcastle,Champions League,10,1,1,-,-,-,,,654'
503733,Anthony Gordon,#10,Forward,Newcastle,Champions League,12,10,2,1,-,-,,,771'
521964,Malick Thiaw,#12,Defender,Newcastle,Champions League,11,1,-,3,-,-,,,927'
583189,Anthony Elanga,#20,Forward,Newcastle,Champions League,10,2,1,1,-,-,,,478'
503981,Tino Livramento,#21,Defender,Newcastle,Champions League,5,-,-,-,-,-,,,308'
670858,Lewis Hall,#3,Defender,Newcastle,Champions League,10,-,1,-,-,-,,,648'
503749,Jacob Ramsey,#41,Midfield,Newcastle,Champions League,9,-,-,-,-,-,,,399'
361093,Sven Botman,#4,Defender,Newcastle,Champions League,8,1,-,-,-,-,,,544'
398065,Harvey Barnes,#11,Forward,Newcastle,Champions League,12,6,4,-,-,-,,,809'
333241,Joelinton,#7,Midfield,Newcastle,Champions League,10,2,1,3,-,-,,,591'
388165,Yoane Wissa,#9,Forward,Newcastle,Champions League,4,1,1,-,-,-,,,101'
922769,Lewis Miley,#67,Midfield,Newcastle,Champions League,7,1,-,-,-,-,,,340'
340329,Joe Willock,#28,Midfield,Newcastle,Champions League,9,1,-,3,-,-,,,312'
199527,Jacob Murphy,#23,Forward,Newcastle,Champions League,9,1,3,-,-,-,,,369'
609556,William Osula,#18,Forward,Newcastle,Champions League,6,-,1,-,-,-,,,193'
427568,Aaron Ramsdale,#32,Goalkeeper,Newcastle,Champions League,4,-,,1,-,-,12,-,360'
192080,Nick Pope,#1,Goalkeeper,Newcastle,Champions League,8,-,,-,-,-,6,4,720'
135343,Fabian Schär,#5,Defender,Newcastle,Champions League,3,-,-,-,-,-,,,131'
134270,Dan Burn,#33,Defender,Newcastle,Champions League,11,1,2,2,-,-,,,965'
95810,Kieran Trippier,#2,Defender,Newcastle,Champions League,9,-,3,1,-,-,,,669'
900601,Alex Murphy,#37,Defender,Newcastle,Champions League,1,-,-,-,-,-,,,90'
184528,Emil Krafth,#17,Defender,Newcastle,Champions League,,,,,,,,,
142389,Mark Gillespie,#29,Goalkeeper,Newcastle,Champions League,,,,,,,,,
29712,John Ruddy,#26,Goalkeeper,Newcastle,Champions League,,,,,,,,,
845654,Kenan Yıldız,#10,Forward,Juventus,Champions League,10,1,3,2,-,-,,,768'
463618,Khéphren Thuram,#19,Midfield,Juventus,Champions League,9,1,2,1,-,-,,,593'
533738,Jonathan David,#30,Forward,Juventus,Champions League,9,2,1,-,-,-,,,397'
516716,Bremer,#3,Defender,Juventus,Champions League,4,-,-,-,-,-,,,304'
357498,Dušan Vlahović,#9,Forward,Juventus,Champions League,4,3,1,-,-,-,,,192'
368887,Loïs Openda,#20,Forward,Juventus,Champions League,8,1,-,-,-,-,,,320'
585949,Pierre Kalulu,#15,Defender,Juventus,Champions League,10,-,2,-,-,-,,,919'
332697,Weston McKennie,#22,Midfield,Juventus,Champions League,10,4,1,1,-,-,,,900'
459658,Andrea Cambiaso,#27,Defender,Juventus,Champions League,9,-,1,3,-,-,,,642'
487474,Francisco Conceição,#7,Forward,Juventus,Champions League,9,1,-,1,-,-,,,500'
265088,Manuel Locatelli,#5,Midfield,Juventus,Champions League,9,1,-,2,-,-,,,646'
