rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Arsenal,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,8,,,,23:4,19,24,
2,Bayern Munich,https://tmssl.akamaized.net//images/wappen/head/27.png?lm=1729503608,8,,,,22:8,14,21,
3,Liverpool,https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,8,,,,20:8,12,18,
4,Tottenham,https://tmssl.akamaized.net//images/wappen/head/148.png?lm=1732011953,8,,,,17:7,10,17,
5,Barcelona,https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,8,,,,22:14,8,16,
6,Chelsea,https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,8,,,,17:10,7,16,
7,Sporting,https://tmssl.akamaized.net//images/wappen/head/336.png?lm=1621513752,8,,,,17:11,6,16,
8,Man City,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,8,,,,15:9,6,16,
9,Real Madrid,https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,8,,,,21:12,9,15,
10,Inter,https://tmssl.akamaized.net//images/wappen/head/46.png?lm=1618900989,8,,,,15:7,8,15,
11,PSG,https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461,8,,,,21:11,10,14,
12,Newcastle,https://tmssl.akamaized.net//images/wappen/head/762.png?lm=1472921161,8,,,,17:7,10,14,
13,Juventus,https://tmssl.akamaized.net//images/wappen/head/506.png?lm=1626441487,8,,,,14:10,4,13,
14,Atlético,https://tmssl.akamaized.net//images/wappen/head/13.png?lm=1719915566,8,,,,17:15,2,13,
15,Atalanta,https://tmssl.akamaized.net//images/wappen/head/800.png?lm=1438547428,8,,,,10:10,0,13,
16,Leverkusen,https://tmssl.akamaized.net//images/wappen/head/15.png?lm=1710156317,8,,,,13:14,-1,12,
17,Dortmund,https://tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,8,,,,19:17,2,11,
18,Olympiacos,https://tmssl.akamaized.net//images/wappen/head/683.png?lm=1717764764,8,,,,10:14,-4,11,
19,Club Brugge,https://tmssl.akamaized.net//images/wappen/head/2282.png?lm=1716279106,8,,,,15:17,-2,10,
20,Galatasaray,https://tmssl.akamaized.net//images/wappen/head/141.png?lm=1406739071,8,,,,9:11,-2,10,
21,Monaco,https://tmssl.akamaized.net//images/wappen/head/162.png?lm=1654781919,8,,,,8:14,-6,10,
22,Qarabağ,https://tmssl.akamaized.net//images/wappen/head/10625.png?lm=1545410555,8,,,,13:21,-8,10,
23,Bodø/Glimt,https://tmssl.akamaized.net//images/wappen/head/501.png?lm=1410462743,8,,,,14:15,-1,9,
24,Benfica,https://tmssl.akamaized.net//images/wappen/head/294.png?lm=1535908439,8,,,,10:12,-2,9,
25,Marseille,https://tmssl.akamaized.net//images/wappen/head/244.png?lm=1775675175,8,,,,11:14,-3,9,
26,Pafos,https://tmssl.akamaized.net//images/wappen/head/45457.png?lm=1534711579,8,,,,8:11,-3,9,
27,Union SG,https://tmssl.akamaized.net//images/wappen/head/3948.png?lm=1624390507,8,,,,8:17,-9,9,
28,PSV,https://tmssl.akamaized.net//images/wappen/head/383.png?lm=1682925949,8,,,,16:16,0,8,
29,Athletic Club,https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,8,,,,9:14,-5,8,
30,Napoli,https://tmssl.akamaized.net//images/wappen/head/6195.png?lm=1753167643,8,,,,9:15,-6,8,
31,Copenhagen,https://tmssl.akamaized.net//images/wappen/head/190.png?lm=1722282896,8,,,,12:21,-9,8,
32,Ajax,https://tmssl.akamaized.net//images/wappen/head/610.png?lm=1750408025,8,,,,8:21,-13,6,
33,Frankfurt,https://tmssl.akamaized.net//images/wappen/head/24.png?lm=1700074979,8,,,,10:21,-11,4,
34,Slavia Praha,https://tmssl.akamaized.net//images/wappen/head/62.png?lm=1659955223,8,,,,5:19,-14,3,
35,Villarreal,https://tmssl.akamaized.net//images/wappen/head/1050.png?lm=1408655310,8,,,,5:18,-13,1,
36,Kairat Almaty,https://tmssl.akamaized.net//images/wappen/head/10482.png?lm=1706798950,8,,,,7:22,-15,1,
