id,name,shirtNumber,positionId,position,club,link
581106,Kristian Arnstad,10,4,Forward,Aarhus GF,/kristian-arnstad/profil/spieler/581106
528451,Tobias Bech,31,4,Forward,Aarhus GF,/tobias-bech/profil/spieler/528451
675278,Eric Kahl,19,2,Defender,Aarhus GF,/eric-kahl/profil/spieler/675278
651735,Magnus Knudsen,4,3,Midfield,Aarhus GF,/magnus-knudsen/profil/spieler/651735
445616,Gift Links,11,3,Midfield,Aarhus GF,/gift-links/profil/spieler/445616
418567,Markus Solbakken,7,3,Midfield,Aarhus GF,/markus-solbakken/profil/spieler/418567
542697,Rasmus Carstensen,29,3,Midfield,Aarhus GF,/rasmus-carstensen/profil/spieler/542697
403673,Mikael Anderson,23,3,Midfield,Aarhus GF,/mikael-anderson/profil/spieler/403673
405375,Colin Rösler,25,2,Defender,Aarhus GF,/colin-rosler/profil/spieler/405375
413268,Kevin Yakob,17,3,Midfield,Aarhus GF,/kevin-yakob/profil/spieler/413268
496341,Mads Hedenstad,21,1,Goalkeeper,Aarhus GF,/mads-hedenstad/profil/spieler/496341
148355,Jens Jønsson,16,3,Midfield,Aarhus GF,/jens-jonsson/profil/spieler/148355
1020226,Luka Callø,33,2,Defender,Aarhus GF,/luka-callo/profil/spieler/1020226
1004062,Frederik Emmery,39,4,Forward,Aarhus GF,/frederik-emmery/profil/spieler/1004062
341466,Tobias Mölgaard,14,2,Defender,Aarhus GF,/tobias-molgaard/profil/spieler/341466
542654,Sebastian Jørgensen,8,4,Forward,Aarhus GF,/sebastian-jorgensen/profil/spieler/542654
1237998,Richmond Gyamfi,18,4,Forward,Aarhus GF,/richmond-gyamfi/profil/spieler/1237998
294534,Janni Serra,13,4,Forward,Aarhus GF,/janni-serra/profil/spieler/294534
819798,Jacob Andersen,26,3,Midfield,Aarhus GF,/jacob-andersen/profil/spieler/819798
253210,Nicolai Poulsen,6,3,Midfield,Aarhus GF,/nicolai-poulsen/profil/spieler/253210
289683,Frederik Tingager,5,2,Defender,Aarhus GF,/frederik-tingager/profil/spieler/289683
1059479,Stefen Tchamche,27,4,Forward,Aarhus GF,/stefen-tchamche/profil/spieler/1059479
1072738,Tómas Kristjánsson,20,4,Forward,Aarhus GF,/tomas-kristjansson/profil/spieler/1072738
22860,Jesper Hansen,1,1,Goalkeeper,Aarhus GF,/jesper-hansen/profil/spieler/22860
1390988,James Bogere,28,4,Forward,Aarhus GF,/james-bogere/profil/spieler/1390988
1209442,Oskar Haugstrup,22,3,Midfield,Aarhus GF,/oskar-haugstrup/profil/spieler/1209442
683571,Tolu Arokodare,99,4,Forward,Ajax,/tolu-arokodare/profil/spieler/683571
559327,Youri Baas,15,2,Defender,Ajax,/youri-baas/profil/spieler/559327
668267,Marcos Leonardo,38,4,Forward,Ajax,/marcos-leonardo/profil/spieler/668267
187492,Julian Brandt,8,3,Midfield,Ajax,/julian-brandt/profil/spieler/187492
264372,Viktor Tsygankov,11,4,Forward,Ajax,/viktor-tsygankov/profil/spieler/264372
930571,Oscar Gloukh,10,3,Midfield,Ajax,/oscar-gloukh/profil/spieler/930571
420064,Caio Henrique,12,2,Defender,Ajax,/caio-henrique/profil/spieler/420064
287579,Sofyan Amrabat,4,3,Midfield,Ajax,/sofyan-amrabat/profil/spieler/287579
1105532,Jorthy Mokio,24,3,Midfield,Ajax,/jorthy-mokio/profil/spieler/1105532
283196,Kasper Dolberg,9,4,Forward,Ajax,/kasper-dolberg/profil/spieler/283196
765743,Dies Janse,36,2,Defender,Ajax,/dies-janse/profil/spieler/765743
701055,Anton Gaaei,3,2,Defender,Ajax,/anton-gaaei/profil/spieler/701055
468309,Lucas Rosa,2,2,Defender,Ajax,/lucas-rosa/profil/spieler/468309
598491,Rayane Bounida,43,3,Midfield,Ajax,/rayane-bounida/profil/spieler/598491
987366,Aaron Bouwman,30,2,Defender,Ajax,/aaron-bouwman/profil/spieler/987366
74857,Marc ter Stegen,1,1,Goalkeeper,Ajax,/marc-ter-stegen/profil/spieler/74857
374326,Oliver Edvardsen,20,4,Forward,Ajax,/oliver-edvardsen/profil/spieler/374326
339328,Owen Wijndal,5,2,Defender,Ajax,/owen-wijndal/profil/spieler/339328
396077,Maarten Paes,26,1,Goalkeeper,Ajax,/maarten-paes/profil/spieler/396077
182932,Davy Klaassen,18,3,Midfield,Ajax,/davy-klaassen/profil/spieler/182932
129554,Steven Berghuis,23,4,Forward,Ajax,/steven-berghuis/profil/spieler/129554
1194905,Abdellah Ouazane,68,3,Midfield,Ajax,/abdellah-ouazane/profil/spieler/1194905
12282,Daley Blind,17,2,Defender,Ajax,/daley-blind/profil/spieler/12282
923667,Joeri Heerkens,22,1,Goalkeeper,Ajax,/joeri-heerkens/profil/spieler/923667
1009765,Jofre Torrents,21,2,Defender,Ajax,/jofre-torrents/profil/spieler/1009765
704773,Amourricho van Axel Dongen,0,4,Forward,Ajax,/amourricho-van-axel-dongen/profil/spieler/704773
607854,Éderson,13,3,Midfield,Atalanta,/ederson/profil/spieler/607854
571604,Giorgio Scalvini,42,2,Defender,Atalanta,/giorgio-scalvini/profil/spieler/571604
435772,Charles De Ketelaere,17,3,Midfield,Atalanta,/charles-de-ketelaere/profil/spieler/435772
459763,Marco Carnesecchi,29,1,Goalkeeper,Atalanta,/marco-carnesecchi/profil/spieler/459763
1077175,Honest Ahanor,69,2,Defender,Atalanta,/honest-ahanor/profil/spieler/1077175
434433,Nikola Krstović,90,4,Forward,Atalanta,/nikola-krstovic/profil/spieler/434433
315867,Gianluca Scamacca,9,4,Forward,Atalanta,/gianluca-scamacca/profil/spieler/315867
405885,Giacomo Raspadori,18,4,Forward,Atalanta,/giacomo-raspadori/profil/spieler/405885
503075,Isak Hien,4,2,Defender,Atalanta,/isak-hien/profil/spieler/503075
708635,Lorenzo Bernasconi,47,3,Midfield,Atalanta,/lorenzo-bernasconi/profil/spieler/708635
550108,Nicola Zalewski,59,3,Midfield,Atalanta,/nicola-zalewski/profil/spieler/550108
746695,Kamaldeen Sulemana,7,4,Forward,Atalanta,/kamaldeen-sulemana/profil/spieler/746695
528833,Lazar Samardžić,10,3,Midfield,Atalanta,/lazar-samardzic/profil/spieler/528833
357992,Raoul Bellanova,16,3,Midfield,Atalanta,/raoul-bellanova/profil/spieler/357992
644771,Odilon Kossounou,3,2,Defender,Atalanta,/odilon-kossounou/profil/spieler/644771
400489,Eljif Elmas,99,3,Midfield,Atalanta,/eljif-elmas/profil/spieler/400489
294808,Franck Kessié,19,3,Midfield,Atalanta,/franck-kessie/profil/spieler/294808
698259,Thomas Kristensen,31,2,Defender,Atalanta,/thomas-kristensen/profil/spieler/698259
358008,Gianluca Gaetano,70,3,Midfield,Atalanta,/gianluca-gaetano/profil/spieler/358008
205938,Mario Pašalić,8,3,Midfield,Atalanta,/mario-pasalic/profil/spieler/205938
982267,Ibrahim Sulemana,6,3,Midfield,Atalanta,/ibrahim-sulemana/profil/spieler/982267
94005,Sead Kolasinac,23,2,Defender,Atalanta,/sead-kolasinac/profil/spieler/94005
173859,Davide Zappacosta,77,3,Midfield,Atalanta,/davide-zappacosta/profil/spieler/173859
361065,Mitchel Bakker,5,3,Midfield,Atalanta,/mitchel-bakker/profil/spieler/361065
650256,Paolo Vismara,95,1,Goalkeeper,Atalanta,/paolo-vismara/profil/spieler/650256
199976,Marco Sportiello,57,1,Goalkeeper,Atalanta,/marco-sportiello/profil/spieler/199976
