player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
435587,Jonatan Braut Brunes,#18,Forward,Raków,Conference League,8,3,1,1,-,-,,,667'
318257,Stratos Svarnas,#4,Defender,Raków,Conference League,8,1,-,-,-,-,,,720'
720120,Kacper Trelowski,#1,Goalkeeper,Raków,Conference League,2,-,,-,-,-,1,1,180'
555062,Tomasz Pieńko,#8,Midfield,Raków,Conference League,7,1,1,-,-,-,,,350'
555074,Oliwier Zych,#48,Goalkeeper,Raków,Conference League,6,-,,1,-,-,5,3,540'
384823,Oskar Repka,#6,Midfield,Raków,Conference League,8,2,-,-,-,-,,,699'
495669,Lamine Diaby-Fadiga,#80,Midfield,Raków,Conference League,8,3,-,1,-,-,,,379'
491039,Marko Bulat,#5,Midfield,Raków,Conference League,6,-,1,-,-,-,,,226'
248932,Vladyslav Kochergin,#30,Midfield,Raków,Conference League,,,,,,,,,
822074,Mitja Ilenic,#35,Midfield,Raków,Conference League,,,,,,,,,
804134,Bogdan Racovițan,#25,Defender,Raków,Conference League,8,-,-,1,-,-,,,720'
553562,Karol Struski,#23,Midfield,Raków,Conference League,7,1,1,1,-,-,,,497'
528414,Michael Ameyaw,#19,Midfield,Raków,Conference League,8,-,1,1,-,-,,,703'
343158,Fran Tudor,#7,Midfield,Raków,Conference League,8,-,-,2,-,-,,,604'
940548,Bogdan Mirčetić,#44,Midfield,Raków,Conference League,3,-,-,-,-,-,,,10'
282434,Jean Carlos Silva,#20,Midfield,Raków,Conference League,4,-,-,-,-,-,,,108'
248732,Paweł Dawidowicz,#27,Defender,Raków,Conference League,,,,,,,,,
1046580,Adriano,#11,Midfield,Raków,Conference League,7,-,1,-,-,-,,,432'
479675,Leonardo Rocha,#17,Forward,Raków,Conference League,2,-,-,1,-,-,,,21'
282371,Ivi López,#10,Midfield,Raków,Conference League,4,-,1,-,-,-,,,166'
442118,Erick Otieno,#26,Midfield,Raków,Conference League,,,,,,,,,
554288,Ariel Mosór,#2,Defender,Raków,Conference League,1,-,-,-,-,-,,,71'
453639,Patryk Makuch,#9,Midfield,Raków,Conference League,8,-,2,1,-,-,,,483'
1150520,Isak Brusberg,#39,Forward,Raków,Conference League,5,1,-,1,-,-,,,271'
280312,Zoran Arsenic,#24,Defender,Raków,Conference League,1,-,-,-,-,-,,,30'
1366314,Abraham Ojo,#22,Midfield,Raków,Conference League,,,,,,,,,
1048759,Jerzy Napieraj,#21,Defender,Raków,Conference League,,,,,,,,,
1284269,Wiktor Żołneczko,#29,Goalkeeper,Raków,Conference League,,,,,,,,,
1511247,Dominik Czeremski,#31,Goalkeeper,Raków,Conference League,,,,,,,,,
334042,Orbelín Pineda,#13,Midfield,AEK Athens,Conference League,10,-,2,2,-,-,,,883'
257462,Luka Jović,#9,Forward,AEK Athens,Conference League,9,3,1,3,-,-,,,730'
272636,Harold Moukoudi,#2,Defender,AEK Athens,Conference League,8,1,-,-,-,-,,,675'
422377,Aboubakary Koita,#11,Forward,AEK Athens,Conference League,10,4,-,2,-,-,,,725'
237669,Dereck Kutesa,#7,Forward,AEK Athens,Conference League,8,3,1,1,-,-,,,319'
483916,Lazaros Rota,#12,Defender,AEK Athens,Conference League,10,-,2,2,-,-,,,886'
328573,Barnabás Varga,#25,Forward,AEK Athens,Conference League,3,1,-,2,-,-,,,247'
251813,Niclas Eliasson,#19,Midfield,AEK Athens,Conference League,6,1,2,-,-,-,,,234'
567497,Filipe Relvas,#44,Defender,AEK Athens,Conference League,10,-,-,2,-,-,,,900'
295183,Răzvan Marin,#18,Midfield,AEK Athens,Conference League,10,3,2,2,-,-,,,755'
222209,Thomas Strakosha,#1,Goalkeeper,AEK Athens,Conference League,10,-,,1,-,-,13,3,900'
353634,Robert Ljubicic,#23,Midfield,AEK Athens,Conference League,1,-,1,-,-,-,,,22'
222813,Marko Grujić,#4,Midfield,AEK Athens,Conference League,5,-,-,-,-,-,,,94'
363227,James Penrice,#29,Defender,AEK Athens,Conference League,5,-,-,-,-,-,,,116'
877118,Martin Georgiev,#15,Defender,AEK Athens,Conference League,,,,,,,,,
215864,Mijat Gacinovic,#8,Midfield,AEK Athens,Conference League,8,2,1,1,-,-,,,359'
149729,João Mário,#10,Midfield,AEK Athens,Conference League,,,,,,,,,
895905,Dimitrios Kaloskamis,#17,Midfield,AEK Athens,Conference League,1,-,-,-,-,-,,,4'
990731,Hakim Sahabo,#80,Midfield,AEK Athens,Conference League,,,,,,,,,
572879,Stavro Pilo,#3,Defender,AEK Athens,Conference League,9,-,2,1,-,-,,,781'
718115,Zini,#90,Forward,AEK Athens,Conference League,4,2,-,-,-,-,,,131'
148355,Jens Jönsson,#6,Midfield,AEK Athens,Conference League,,,,,,,,,
128011,Petros Mantalos,#20,Midfield,AEK Athens,Conference League,9,-,-,2,-,-,,,463'
146799,Alberto Brignoli,#91,Goalkeeper,AEK Athens,Conference League,,,,,,,,,
112302,Roberto Pereyra,#37,Midfield,AEK Athens,Conference League,7,-,-,1,-,-,,,315'
46083,Domagoj Vida,#21,Defender,AEK Athens,Conference League,4,1,1,2,-,-,,,226'
147462,Alexander Callens,#22,Defender,AEK Athens,Conference League,,,,,,,,,
990259,Christos Kosidis,#34,Defender,AEK Athens,Conference League,,,,,,,,,
724031,Angelos Angelopoulos,#81,Goalkeeper,AEK Athens,Conference League,,,,,,,,,
990258,Marios Balamotis,#41,Goalkeeper,AEK Athens,Conference League,,,,,,,,,
655300,Patrik Vydra,#26,Midfield,Sparta Prague,Conference League,6,-,-,-,-,-,,,413'
903706,Albion Rrahmani,#9,Forward,Sparta Prague,Conference League,7,1,1,2,-,-,,,388'
239941,Lukas Haraslin,#22,Forward,Sparta Prague,Conference League,7,2,1,-,-,-,,,431'
322989,Kaan Kairinen,#6,Midfield,Sparta Prague,Conference League,6,-,-,1,-,-,,,486'
1118150,Emmanuel Uchenna,#16,Defender,Sparta Prague,Conference League,4,-,-,-,-,-,,,269'
430310,Andrew Irving,#18,Midfield,Sparta Prague,Conference League,2,-,1,-,-,-,,,144'
929887,Adam Sevinsky,#19,Defender,Sparta Prague,Conference League,7,-,-,2,-,-,,,630'
539197,Matej Rynes,#11,Midfield,Sparta Prague,Conference League,5,1,-,-,-,-,,,271'
659804,John Mercado,#7,Forward,Sparta Prague,Conference League,7,1,-,-,-,-,,,380'
541628,Oliver Sonne,#17,Defender,Sparta Prague,Conference League,2,-,-,-,-,-,,,180'
510310,Sivert Mannsverk,#20,Midfield,Sparta Prague,Conference League,5,-,1,2,-,-,,,323'
836196,Matyas Vojta,#29,Forward,Sparta Prague,Conference League,2,1,-,-,-,-,,,143'
713787,Jhoanner Chávez,#14,Defender,Sparta Prague,Conference League,,,,,,,,,
395421,Peter Vindahl,#1,Goalkeeper,Sparta Prague,Conference League,6,-,,-,-,-,3,3,540'
334802,Jan Kuchta,#10,Forward,Sparta Prague,Conference League,8,-,2,2,-,-,,,382'
615618,Santiago Eneme,#5,Midfield,Sparta Prague,Conference League,6,-,-,1,-,-,,,157'
260846,Asger Sörensen,#25,Defender,Sparta Prague,Conference League,4,1,-,2,-,-,,,329'
488784,Magnus Kofod Andersen,#8,Midfield,Sparta Prague,Conference League,,,,,,,,,
331963,Filip Panák,#27,Defender,Sparta Prague,Conference League,2,-,-,-,-,-,,,67'
143798,Pavel Kaderabek,#3,Midfield,Sparta Prague,Conference League,6,-,1,1,-,-,,,427'
1206877,Hugo Sochurek,#38,Midfield,Sparta Prague,Conference League,1,-,-,-,-,-,,,90'
