rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,R. Strasbourg,https://tmssl.akamaized.net//images/wappen/head/667.png?lm=1664991833,6,,,,11:5,6,16,
2,Raków,https://tmssl.akamaized.net//images/wappen/head/9644.png?lm=1706715423,6,,,,9:2,7,14,
3,AEK Athens,https://tmssl.akamaized.net//images/wappen/head/2441.png?lm=1730987042,6,,,,14:7,7,13,
4,Sparta Prague,https://tmssl.akamaized.net//images/wappen/head/197.png?lm=1705397331,6,,,,10:3,7,13,
5,Rayo Vallecano,https://tmssl.akamaized.net//images/wappen/head/367.png?lm=1653488445,6,,,,13:7,6,13,
6,Shakhtar D.,https://tmssl.akamaized.net//images/wappen/head/660.png?lm=1396275305,6,,,,10:5,5,13,
7,Mainz,https://tmssl.akamaized.net//images/wappen/head/39.png?lm=1564748880,6,,,,7:3,4,13,
8,AEK Larnaca,https://tmssl.akamaized.net//images/wappen/head/2156.png?lm=1738338150,6,,,,7:1,6,12,
9,Lausanne-Sport,https://tmssl.akamaized.net//images/wappen/head/527.png?lm=1688506649,6,,,,6:3,3,11,
10,Crystal Palace,https://tmssl.akamaized.net//images/wappen/head/873.png?lm=1457723287,6,,,,11:6,5,10,
11,Lech Poznan,https://tmssl.akamaized.net//images/wappen/head/238.png?lm=1667394613,6,,,,12:8,4,10,
12,Samsunspor,https://tmssl.akamaized.net//images/wappen/head/152.png?lm=1753432411,6,,,,10:6,4,10,
13,NK Celje,https://tmssl.akamaized.net//images/wappen/head/710.png?lm=1625564824,6,,,,8:7,1,10,
14,AZ Alkmaar,https://tmssl.akamaized.net//images/wappen/head/1090.png?lm=1586848339,6,,,,7:7,0,10,
15,Fiorentina,https://tmssl.akamaized.net//images/wappen/head/430.png?lm=1722844765,6,,,,8:5,3,9,
16,HNK Rijeka,https://tmssl.akamaized.net//images/wappen/head/144.png?lm=1582550780,6,,,,5:2,3,9,
17,Jagiellonia,https://tmssl.akamaized.net//images/wappen/head/2300.png?lm=1767809482,6,,,,5:4,1,9,
18,Omonia Nicosia,https://tmssl.akamaized.net//images/wappen/head/829.png?lm=1447275209,6,,,,5:4,1,8,
19,FC Noah,https://tmssl.akamaized.net//images/wappen/head/60368.png?lm=1721150323,6,,,,6:7,-1,8,
20,FC Drita,https://tmssl.akamaized.net//images/wappen/head/33741.png?lm=1729901954,6,,,,4:8,-4,8,
21,KuPS,https://tmssl.akamaized.net//images/wappen/head/6251.png?lm=1619270903,6,,,,6:5,1,7,
22,Shkendija,https://tmssl.akamaized.net//images/wappen/head/1167.png?lm=1649330451,6,,,,4:5,-1,7,
23,Zrinjski Mostar,https://tmssl.akamaized.net//images/wappen/head/6808.png?lm=1474921934,6,,,,8:10,-2,7,
24,Sigma Olomouc,https://tmssl.akamaized.net//images/wappen/head/2311.png?lm=1419785397,6,,,,7:9,-2,7,
25,CS U Craiova,https://tmssl.akamaized.net//images/wappen/head/40812.png?lm=1533830310,6,,,,6:8,-2,7,
26,Lincoln FC,https://tmssl.akamaized.net//images/wappen/head/38204.png?lm=1486307613,6,,,,7:15,-8,7,
27,Dynamo Kyiv,https://tmssl.akamaized.net//images/wappen/head/338.png?lm=1748109380,6,,,,9:9,0,6,
28,Legia Warszawa,https://tmssl.akamaized.net//images/wappen/head/255.png?lm=1463410132,6,,,,8:8,0,6,
29,Slo. Bratislava,https://tmssl.akamaized.net//images/wappen/head/540.png?lm=1415023119,6,,,,5:9,-4,6,
30,Breidablik,https://tmssl.akamaized.net//images/wappen/head/3737.png?lm=1474667051,6,,,,6:11,-5,5,
31,Shamrock Rovers,https://tmssl.akamaized.net//images/wappen/head/3258.png?lm=1423677184,6,,,,7:13,-6,4,
32,Häcken,https://tmssl.akamaized.net//images/wappen/head/1109.png?lm=1406273241,6,,,,5:8,-3,3,
33,Hamrun Spart.,https://tmssl.akamaized.net//images/wappen/head/17149.png?lm=1443519323,6,,,,4:11,-7,3,
34,Shelbourne,https://tmssl.akamaized.net//images/wappen/head/3909.png?lm=1423677598,6,,,,0:7,-7,2,
35,Aberdeen FC,https://tmssl.akamaized.net//images/wappen/head/370.png?lm=1409146897,6,,,,3:14,-11,2,
36,Rapid Vienna,https://tmssl.akamaized.net//images/wappen/head/170.png?lm=1653663056,6,,,,3:14,-11,1,
