id,name,shirtNumber,positionId,position,club,link
357498,Dušan Vlahović,28,4,Forward,Besiktas,/dusan-vlahovic/profil/spieler/357498
454567,Orkun Kökçü,10,3,Midfield,Besiktas,/orkun-kokcu/profil/spieler/454567
718303,Ernest Poku,17,4,Forward,Besiktas,/ernest-poku/profil/spieler/718303
144028,Leandro Trossard,19,4,Forward,Besiktas,/leandro-trossard/profil/spieler/144028
683895,Emmanuel Agbadou,12,2,Defender,Besiktas,/emmanuel-agbadou/profil/spieler/683895
639246,Hyeon-gyu Oh,9,4,Forward,Besiktas,/hyeon-gyu-oh/profil/spieler/639246
571607,Fabio Miretti,21,3,Midfield,Besiktas,/fabio-miretti/profil/spieler/571607
195778,Alexander Nübel,1,1,Goalkeeper,Besiktas,/alexander-nubel/profil/spieler/195778
947360,Kassoum Ouattara,11,2,Defender,Besiktas,/kassoum-ouattara/profil/spieler/947360
875334,Semih Kılıçsoy,90,4,Forward,Besiktas,/semih-kilicsoy/profil/spieler/875334
274839,Wilfred Ndidi,4,3,Midfield,Besiktas,/wilfred-ndidi/profil/spieler/274839
420465,Tiago Djaló,35,2,Defender,Besiktas,/tiago-djalo/profil/spieler/420465
531332,Emirhan Topçu,53,2,Defender,Besiktas,/emirhan-topcu/profil/spieler/531332
354482,Amir Murillo,62,2,Defender,Besiktas,/amir-murillo/profil/spieler/354482
242063,Vaclav Cerny,18,4,Forward,Besiktas,/vaclav-cerny/profil/spieler/242063
900938,Junior Olaitan,15,3,Midfield,Besiktas,/junior-olaitan/profil/spieler/900938
1043003,Yasin Özcan,58,2,Defender,Besiktas,/yasin-ozcan/profil/spieler/1043003
810100,Taylan Bulut,22,2,Defender,Besiktas,/taylan-bulut/profil/spieler/810100
1071252,Mustafa Hekimoğlu,23,4,Forward,Besiktas,/mustafa-hekimoglu/profil/spieler/1071252
477930,Rıdvan Yılmaz,33,2,Defender,Besiktas,/ridvan-yilmaz/profil/spieler/477930
