player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
971570,Endrick,#9,Centre-Forward,Lyon,Europa League,2,1,-,-,-,-,,,157'
743386,Malick Fofana,#11,Left Winger,Lyon,Europa League,4,-,-,-,-,-,,,167'
618494,Tyler Morton,#23,Defensive Midfield,Lyon,Europa League,10,-,1,2,-,-,,,638'
500053,Pavel Sulc,#10,Attacking Midfield,Lyon,Europa League,8,1,3,1,-,-,,,477'
291200,Moussa Niakhaté,#19,Centre-Back,Lyon,Europa League,9,1,-,1,-,1,,,739'
802515,Noah Nartey,#99,Attacking Midfield,Lyon,Europa League,2,-,-,-,-,-,,,152'
955070,Ernest Nuamah,#37,Right Winger,Lyon,Europa League,,,,,,,,,
190393,Corentin Tolisso,#8,Central Midfield,Lyon,Europa League,7,4,-,-,-,-,,,508'
952282,Afonso Moreira,#17,Left Winger,Lyon,Europa League,7,2,2,1,-,-,,,357'
285845,Ainsley Maitland-Niles,#98,Right-Back,Lyon,Europa League,8,1,-,1,-,-,,,544'
289592,Orel Mangala,#5,Defensive Midfield,Lyon,Europa League,3,-,-,-,-,-,,,73'
1187942,Khalis Merah,#44,Central Midfield,Lyon,Europa League,8,1,1,-,-,-,,,402'
646402,Abner,#16,Left-Back,Lyon,Europa League,7,1,1,1,-,-,,,386'
670096,Tanner Tessmann,#6,Defensive Midfield,Lyon,Europa League,9,1,-,1,-,-,,,479'
1200423,Rémi Himbert,#45,Left Winger,Lyon,Europa League,3,1,-,-,-,-,,,106'
316884,Dominik Greif,#1,Goalkeeper,Lyon,Europa League,6,-,,-,-,-,5,3,540'
652061,Adam Karabec,#7,Attacking Midfield,Lyon,Europa League,9,2,3,-,-,-,,,474'
578421,Ruben Kluivert,#21,Centre-Back,Lyon,Europa League,6,1,-,2,-,-,,,447'
131225,Nicolás Tagliafico,#3,Left-Back,Lyon,Europa League,8,-,-,2,1,-,,,560'
1004486,Mathys de Carvalho,#39,Defensive Midfield,Lyon,Europa League,8,-,1,1,-,-,,,552'
187718,Clinton Mata,#22,Centre-Back,Lyon,Europa League,9,-,1,2,-,-,,,726'
1275040,Noham Kamara,#85,Centre-Back,Lyon,Europa League,,,,,,,,,
221958,Roman Yaremchuk,#77,Centre-Forward,Lyon,Europa League,2,-,-,-,-,-,,,136'
282028,Rémy Descamps,#40,Goalkeeper,Lyon,Europa League,4,-,,-,-,-,3,2,360'
275303,Hans Hateboer,#33,Right-Back,Lyon,Europa League,,,,,,,,,
1119391,Steeve Kango,#34,Right-Back,Lyon,Europa League,2,-,-,1,-,-,,,175'
118287,Rachid Ghezzal,#18,Right Winger,Lyon,Europa League,1,-,1,-,-,-,,,25'
902862,Achraf Laâziri,#36,Left-Back,Lyon,Europa League,,,,,,,,,
1071430,Lassine Diarra,#50,Goalkeeper,Lyon,Europa League,-,-,,-,-,-,-,-,-
503743,Morgan Rogers,#27,Attacking Midfield,Aston Villa,Europa League,12,2,3,2,-,-,,,819'
485706,Amadou Onana,#24,Defensive Midfield,Aston Villa,Europa League,10,-,-,1,-,-,,,704'
413403,Ezri Konsa,#4,Centre-Back,Aston Villa,Europa League,9,2,1,1,-,-,,,684'
394327,Boubacar Kamara,#44,Defensive Midfield,Aston Villa,Europa League,6,-,1,-,-,-,,,269'
249565,Youri Tielemans,#8,Central Midfield,Aston Villa,Europa League,6,1,3,1,-,-,,,374'
485585,Ian Maatsen,#22,Left-Back,Aston Villa,Europa League,9,1,-,1,-,-,,,536'
324358,Ollie Watkins,#11,Centre-Forward,Aston Villa,Europa League,12,4,1,-,-,-,,,642'
425334,Matty Cash,#2,Right-Back,Aston Villa,Europa League,9,-,2,2,-,-,,,561'
565822,Harvey Elliott,#9,Attacking Midfield,Aston Villa,Europa League,4,-,-,-,-,-,,,101'
399776,Pau Torres,#14,Centre-Back,Aston Villa,Europa League,9,-,-,-,-,-,,,754'
331726,Tammy Abraham,#18,Centre-Forward,Aston Villa,Europa League,3,-,1,-,-,-,,,95'
447661,Douglas Luiz,#21,Central Midfield,Aston Villa,Europa League,7,-,1,1,-,-,,,426'
