rank,club,logo,played,wins,draws,losses,goals,diff,points,form
1,Lyon,https://tmssl.akamaized.net//images/wappen/head/1041.png?lm=1656668172,8,,,,18:5,13,21,
2,Aston Villa,https://tmssl.akamaized.net//images/wappen/head/405.png?lm=1717155982,8,,,,14:6,8,21,
3,Midtjylland,https://tmssl.akamaized.net//images/wappen/head/865.png?lm=1739215168,8,,,,18:8,10,19,
4,Real Betis,https://tmssl.akamaized.net//images/wappen/head/150.png?lm=1663358526,8,,,,13:7,6,17,
5,Porto,https://tmssl.akamaized.net//images/wappen/head/720.png?lm=1486310161,8,,,,13:7,6,17,
6,Braga,https://tmssl.akamaized.net//images/wappen/head/1075.png?lm=1432893871,8,,,,11:5,6,17,
7,Freiburg,https://tmssl.akamaized.net//images/wappen/head/60.png?lm=1517249279,8,,,,10:4,6,17,
8,Roma,https://tmssl.akamaized.net//images/wappen/head/12.png?lm=1751979202,8,,,,13:6,7,16,
9,Genk,https://tmssl.akamaized.net//images/wappen/head/1184.png?lm=1717666245,8,,,,11:7,4,16,
10,Bologna,https://tmssl.akamaized.net//images/wappen/head/1025.png?lm=1626441324,8,,,,14:7,7,15,
11,Stuttgart,https://tmssl.akamaized.net//images/wappen/head/79.png?lm=1680587427,8,,,,15:9,6,15,
12,Ferencváros,https://tmssl.akamaized.net//images/wappen/head/279.png?lm=1758635118,8,,,,12:11,1,15,
13,Nott'm Forest,https://tmssl.akamaized.net//images/wappen/head/703.png?lm=1598890289,8,,,,15:7,8,14,
14,Viktoria Plzeň,https://tmssl.akamaized.net//images/wappen/head/941.png?lm=1703858693,8,,,,8:3,5,14,
15,Red Star,https://tmssl.akamaized.net//images/wappen/head/159.png?lm=1567102522,8,,,,7:6,1,14,
16,Celta de Vigo,https://tmssl.akamaized.net//images/wappen/head/940.png?lm=1406966406,8,,,,15:11,4,13,
17,PAOK,https://tmssl.akamaized.net//images/wappen/head/1091.png?lm=1562577576,8,,,,17:14,3,12,
18,Lille,https://tmssl.akamaized.net//images/wappen/head/1082.png?lm=1529521041,8,,,,12:9,3,12,
19,Fenerbahçe,https://tmssl.akamaized.net//images/wappen/head/36.png?lm=1753429185,8,,,,10:7,3,12,
20,Panathinaikos,https://tmssl.akamaized.net//images/wappen/head/265.png?lm=1629382830,8,,,,11:9,2,12,
21,Celtic,https://tmssl.akamaized.net//images/wappen/head/371.png?lm=1758007391,8,,,,13:15,-2,11,
22,Ludogorets,https://tmssl.akamaized.net//images/wappen/head/31614.png?lm=1629528048,8,,,,12:15,-3,10,
23,Dinamo Zagreb,https://tmssl.akamaized.net//images/wappen/head/419.png?lm=1571921138,8,,,,12:16,-4,10,
24,SK Brann,https://tmssl.akamaized.net//images/wappen/head/1100.png?lm=1444211296,8,,,,9:11,-2,9,
25,Young Boys,https://tmssl.akamaized.net//images/wappen/head/452.png?lm=1689916664,8,,,,10:16,-6,9,
26,Sturm Graz,https://tmssl.akamaized.net//images/wappen/head/122.png?lm=1403016870,8,,,,5:11,-6,7,
27,FCSB,https://tmssl.akamaized.net//images/wappen/head/301.png?lm=1485604345,8,,,,9:16,-7,7,
28,Go Ahead Eagles,https://tmssl.akamaized.net//images/wappen/head/1435.png?lm=1540316767,8,,,,6:14,-8,7,
29,Feyenoord,https://tmssl.akamaized.net//images/wappen/head/234.png?lm=1721654567,8,,,,11:15,-4,6,
30,Basel,https://tmssl.akamaized.net//images/wappen/head/26.png?lm=1656417702,8,,,,9:13,-4,6,
31,Salzburg,https://tmssl.akamaized.net//images/wappen/head/409.png?lm=1557737354,8,,,,10:15,-5,6,
32,Rangers,https://tmssl.akamaized.net//images/wappen/head/124.png?lm=1657628093,8,,,,5:14,-9,4,
33,Nice,https://tmssl.akamaized.net//images/wappen/head/417.png?lm=1408779490,8,,,,7:15,-8,3,
34,Utrecht,https://tmssl.akamaized.net//images/wappen/head/200.png?lm=1628450351,8,,,,5:15,-10,1,
35,Malmö,https://tmssl.akamaized.net//images/wappen/head/496.png?lm=1409230098,8,,,,4:15,-11,1,
36,M. Tel Aviv,https://tmssl.akamaized.net//images/wappen/head/119.png?lm=1626682937,8,,,,2:22,-20,1,
