id,name,shirtNumber,positionId,position,club,link
552955,Santiago Gimenez,11,4,Forward,Mexico,/santiago-gimenez/profil/spieler/552955
837619,Armando González,14,4,Forward,Mexico,/armando-gonzalez/profil/spieler/837619
401356,Edson Álvarez,4,3,Midfield,Mexico,/edson-alvarez/profil/spieler/401356
416090,Julián Quiñones,16,4,Forward,Mexico,/julian-quinones/profil/spieler/416090
602324,Érik Lira,6,3,Midfield,Mexico,/erik-lira/profil/spieler/602324
532937,Johan Vásquez,5,2,Defender,Mexico,/johan-vasquez/profil/spieler/532937
1155723,Gilberto Mora,19,3,Midfield,Mexico,/gilberto-mora/profil/spieler/1155723
889435,Obed Vargas,18,3,Midfield,Mexico,/obed-vargas/profil/spieler/889435
424689,Alexis Vega,10,4,Forward,Mexico,/alexis-vega/profil/spieler/424689
724443,Brian Gutiérrez,26,3,Midfield,Mexico,/brian-gutierrez/profil/spieler/724443
387687,César Montes,3,2,Defender,Mexico,/cesar-montes/profil/spieler/387687
353583,Roberto Alvarado,25,4,Forward,Mexico,/roberto-alvarado/profil/spieler/353583
334042,Orbelín Pineda,17,3,Midfield,Mexico,/orbelin-pineda/profil/spieler/334042
687558,Israel Reyes,15,2,Defender,Mexico,/israel-reyes/profil/spieler/687558
802855,Raúl Rangel,1,1,Goalkeeper,Mexico,/raul-rangel/profil/spieler/802855
331059,Luis Chávez,24,3,Midfield,Mexico,/luis-chavez/profil/spieler/331059
261503,Álvaro Fidalgo,8,3,Midfield,Mexico,/alvaro-fidalgo/profil/spieler/261503
1066953,Mateo Chávez,20,2,Defender,Mexico,/mateo-chavez/profil/spieler/1066953
540315,César Huerta,21,4,Forward,Mexico,/cesar-huerta/profil/spieler/540315
532938,Luis Romo,7,2,Defender,Mexico,/luis-romo/profil/spieler/532938
206040,Raúl Jiménez,9,4,Forward,Mexico,/raul-jimenez/profil/spieler/206040
356042,Carlos Acevedo,12,1,Goalkeeper,Mexico,/carlos-acevedo/profil/spieler/356042
344854,Jesús Gallardo,23,2,Defender,Mexico,/jesus-gallardo/profil/spieler/344854
356044,Jorge Sánchez,2,2,Defender,Mexico,/jorge-sanchez/profil/spieler/356044
347932,Guillermo Martínez,22,4,Forward,Mexico,/guillermo-martinez/profil/spieler/347932
29559,Guillermo Ochoa,13,1,Goalkeeper,Mexico,/guillermo-ochoa/profil/spieler/29559
467623,Lyle Foster,9,4,Forward,South Africa,/lyle-foster/profil/spieler/467623
1378320,Mbekezeli Mbokazi,14,2,Defender,South Africa,/mbekezeli-mbokazi/profil/spieler/1378320
1125037,Relebohile Mofokeng,10,4,Forward,South Africa,/relebohile-mofokeng/profil/spieler/1125037
337884,Iqraam Rayners,15,4,Forward,South Africa,/iqraam-rayners/profil/spieler/337884
436372,Teboho Mokoena,4,3,Midfield,South Africa,/teboho-mokoena/profil/spieler/436372
1175086,Samukele Kabini,18,2,Defender,South Africa,/samukele-kabini/profil/spieler/1175086
673381,Oswin Appollis,7,4,Forward,South Africa,/oswin-appollis/profil/spieler/673381
735697,Thalente Mbatha,5,3,Midfield,South Africa,/thalente-mbatha/profil/spieler/735697
1107265,Ime Okon,21,2,Defender,South Africa,/ime-okon/profil/spieler/1107265
1069801,Olwethu Makhanya,24,2,Defender,South Africa,/olwethu-makhanya/profil/spieler/1069801
804472,Jayden Adams,23,3,Midfield,South Africa,/jayden-adams/profil/spieler/804472
353432,Aubrey Modiba,6,2,Defender,South Africa,/aubrey-modiba/profil/spieler/353432
453370,Sipho Chaine,16,1,Goalkeeper,South Africa,/sipho-chaine/profil/spieler/453370
399068,Nkosinathi Sibisi,19,2,Defender,South Africa,/nkosinathi-sibisi/profil/spieler/399068
746781,Evidence Makgopa,17,4,Forward,South Africa,/evidence-makgopa/profil/spieler/746781
844485,Tshepang Moremi,8,4,Forward,South Africa,/tshepang-moremi/profil/spieler/844485
450806,Khuliso Mudau,20,2,Defender,South Africa,/khuliso-mudau/profil/spieler/450806
994370,Kamogelo Sebelebele,25,2,Defender,South Africa,/kamogelo-sebelebele/profil/spieler/994370
1109254,Thabang Matuludi,2,2,Defender,South Africa,/thabang-matuludi/profil/spieler/1109254
1283140,Khulumani Ndamane,3,2,Defender,South Africa,/khulumani-ndamane/profil/spieler/1283140
555209,Bradley Cross,26,2,Defender,South Africa,/bradley-cross/profil/spieler/555209
175577,Ronwen Williams,1,1,Goalkeeper,South Africa,/ronwen-williams/profil/spieler/175577
983330,Thapelo Maseko,12,4,Forward,South Africa,/thapelo-maseko/profil/spieler/983330
401736,Yaya Sithole,13,3,Midfield,South Africa,/yaya-sithole/profil/spieler/401736
258304,Ricardo Goss,22,1,Goalkeeper,South Africa,/ricardo-goss/profil/spieler/258304
176578,Themba Zwane,11,3,Midfield,South Africa,/themba-zwane/profil/spieler/176578
557149,Kang-in Lee,19,3,Midfield,South Korea,/kang-in-lee/profil/spieler/557149
503482,Min-jae Kim,4,2,Defender,South Korea,/min-jae-kim/profil/spieler/503482
639246,Hyeon-gyu Oh,18,4,Forward,South Korea,/hyeon-gyu-oh/profil/spieler/639246
91845,Heung-min Son,7,4,Forward,South Korea,/heung-min-son/profil/spieler/91845
613192,Jens Castrop,23,3,Midfield,South Korea,/jens-castrop/profil/spieler/613192
365394,In-beom Hwang,6,3,Midfield,South Korea,/in-beom-hwang/profil/spieler/365394
639414,Young-woo Seol,22,2,Defender,South Korea,/young-woo-seol/profil/spieler/639414
292246,Hee-chan Hwang,11,4,Forward,South Korea,/hee-chan-hwang/profil/spieler/292246
853110,Hyun-jun Yang,20,4,Forward,South Korea,/hyun-jun-yang/profil/spieler/853110
912081,Jun-ho Bae,17,3,Midfield,South Korea,/jun-ho-bae/profil/spieler/912081
706963,Han-beom Lee,2,2,Defender,South Korea,/han-beom-lee/profil/spieler/706963
652537,Gue-sung Cho,9,4,Forward,South Korea,/gue-sung-cho/profil/spieler/652537
639027,Tae-seok Lee,13,2,Defender,South Korea,/tae-seok-lee/profil/spieler/639027
314398,Jae-sung Lee,10,3,Midfield,South Korea,/jae-sung-lee/profil/spieler/314398
282689,Seung-ho Paik,8,3,Midfield,South Korea,/seung-ho-paik/profil/spieler/282689
706968,Ji-sung Eom,25,4,Forward,South Korea,/ji-sung-eom/profil/spieler/706968
558086,Dong-gyeong Lee,26,3,Midfield,South Korea,/dong-gyeong-lee/profil/spieler/558086
365377,Jin-gyu Kim,24,3,Midfield,South Korea,/jin-gyu-kim/profil/spieler/365377
645847,Tae-hyeon Kim,5,2,Defender,South Korea,/tae-hyeon-kim/profil/spieler/645847
557469,Jin-seob Park,16,3,Midfield,South Korea,/jin-seob-park/profil/spieler/557469
508237,Bum-keun Song,12,1,Goalkeeper,South Korea,/bum-keun-song/profil/spieler/508237
763349,Gi-hyuk Lee,3,2,Defender,South Korea,/gi-hyuk-lee/profil/spieler/763349
524592,Moon-hwan Kim,15,2,Defender,South Korea,/moon-hwan-kim/profil/spieler/524592
260171,Hyeon-woo Jo,21,1,Goalkeeper,South Korea,/hyeon-woo-jo/profil/spieler/260171
550978,Wi-je Cho,14,2,Defender,South Korea,/wi-je-cho/profil/spieler/550978
92076,Seung-gyu Kim,1,1,Goalkeeper,South Korea,/seung-gyu-kim/profil/spieler/92076
345911,Ladislav Krejci,7,2,Defender,Czechia,/ladislav-krejci/profil/spieler/345911
500053,Pavel Sulc,15,3,Midfield,Czechia,/pavel-sulc/profil/spieler/500053
629773,Lukas Hornicek,23,1,Goalkeeper,Czechia,/lukas-hornicek/profil/spieler/629773
242086,Patrik Schick,10,4,Forward,Czechia,/patrik-schick/profil/spieler/242086
944827,Stepan Chaloupek,6,2,Defender,Czechia,/stepan-chaloupek/profil/spieler/944827
620217,Robin Hranac,4,2,Defender,Czechia,/robin-hranac/profil/spieler/620217
283628,Tomáš Souček,22,3,Midfield,Czechia,/tomas-soucek/profil/spieler/283628
552057,Adam Hlozek,9,4,Forward,Czechia,/adam-hlozek/profil/spieler/552057
550829,Matej Kovar,1,1,Goalkeeper,Czechia,/matej-kovar/profil/spieler/550829
292779,Lukas Provod,17,4,Forward,Czechia,/lukas-provod/profil/spieler/292779
321204,Michal Sadílek,18,3,Midfield,Czechia,/michal-sadilek/profil/spieler/321204
544149,David Zima,2,2,Defender,Czechia,/david-zima/profil/spieler/544149
