player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
552955,Santiago Gimenez,#11,Forward,Mexico,World Cup 2026,,,,,,,,,
837619,Armando González,#14,Forward,Mexico,World Cup 2026,1,-,-,-,-,-,,,14'
401356,Edson Álvarez,#4,Midfield,Mexico,World Cup 2026,1,-,-,-,-,-,,,14'
416090,Julián Quiñones,#16,Forward,Mexico,World Cup 2026,1,1,-,-,-,-,,,79'
602324,Érik Lira,#6,Midfield,Mexico,World Cup 2026,1,-,1,-,-,-,,,76'
532937,Johan Vásquez,#5,Defender,Mexico,World Cup 2026,1,-,-,-,-,-,,,90'
1155723,Gilberto Mora,#19,Midfield,Mexico,World Cup 2026,1,-,-,-,-,-,,,24'
889435,Obed Vargas,#18,Midfield,Mexico,World Cup 2026,,,,,,,,,
424689,Alexis Vega,#10,Forward,Mexico,World Cup 2026,1,-,-,-,-,-,,,11'
724443,Brian Gutiérrez,#26,Midfield,Mexico,World Cup 2026,1,-,-,1,-,-,,,66'
387687,César Montes,#3,Defender,Mexico,World Cup 2026,1,-,-,-,-,1,,,90'
353583,Roberto Alvarado,#25,Forward,Mexico,World Cup 2026,1,-,1,-,-,-,,,90'
334042,Orbelín Pineda,#17,Midfield,Mexico,World Cup 2026,,,,,,,,,
687558,Israel Reyes,#15,Defender,Mexico,World Cup 2026,1,-,-,-,-,-,,,90'
802855,Raúl Rangel,#1,Goalkeeper,Mexico,World Cup 2026,1,-,,-,-,-,-,1,90'
331059,Luis Chávez,#24,Midfield,Mexico,World Cup 2026,1,-,-,-,-,-,,,24'
261503,Álvaro Fidalgo,#8,Midfield,Mexico,World Cup 2026,1,-,-,-,-,-,,,66'
1066953,Mateo Chávez,#20,Defender,Mexico,World Cup 2026,,,,,,,,,
540315,César Huerta,#21,Forward,Mexico,World Cup 2026,,,,,,,,,
532938,Luis Romo,#7,Defender,Mexico,World Cup 2026,,,,,,,,,
206040,Raúl Jiménez,#9,Forward,Mexico,World Cup 2026,1,1,-,-,-,-,,,76'
356042,Carlos Acevedo,#12,Goalkeeper,Mexico,World Cup 2026,,,,,,,,,
344854,Jesús Gallardo,#23,Defender,Mexico,World Cup 2026,1,-,-,-,-,-,,,90'
356044,Jorge Sánchez,#2,Defender,Mexico,World Cup 2026,,,,,,,,,
347932,Guillermo Martínez,#22,Forward,Mexico,World Cup 2026,,,,,,,,,
29559,Guillermo Ochoa,#13,Goalkeeper,Mexico,World Cup 2026,,,,,,,,,
557149,Kang-in Lee,#19,Midfield,South Korea,World Cup 2026,1,-,1,-,-,-,,,90'
503482,Min-jae Kim,#4,Defender,South Korea,World Cup 2026,1,-,-,-,-,-,,,90'
639246,Hyeon-gyu Oh,#18,Forward,South Korea,World Cup 2026,1,1,-,-,-,-,,,21'
91845,Heung-min Son,#7,Forward,South Korea,World Cup 2026,1,-,-,-,-,-,,,69'
613192,Jens Castrop,#23,Midfield,South Korea,World Cup 2026,,,,,,,,,
365394,In-beom Hwang,#6,Midfield,South Korea,World Cup 2026,1,1,1,-,-,-,,,84'
639414,Young-woo Seol,#22,Defender,South Korea,World Cup 2026,1,-,-,-,-,-,,,90'
292246,Hee-chan Hwang,#11,Forward,South Korea,World Cup 2026,1,-,-,-,-,-,,,28'
853110,Hyun-jun Yang,#20,Forward,South Korea,World Cup 2026,,,,,,,,,
912081,Jun-ho Bae,#17,Midfield,South Korea,World Cup 2026,,,,,,,,,
706963,Han-beom Lee,#2,Defender,South Korea,World Cup 2026,1,-,-,-,-,-,,,90'
